Discipline,Gender,Event,phase,Eventunit,ENG Description,FRA Description,KOR Description,ENG longdescription,FRA longdescription,KOR longdescription,Level,Order,schedule,medalflag,Eventunittype,cisSchedule,infoSchedule,ENG unit Description,FRA unit Description,KOR unit Description,Old DDGEEEPUU
ALP,X,PLTEAM4-----------,FNL-,00020003,Alpine Team Event Small Final Run 3,"Épreuve alp. équipes, bronze, manche 3",알파인 스키 혼성 단체전 3-4위 결정전 런 3,Alpine Team Event Small Final Run 3,"Épreuve alpine par équipes, bronze, manche 3",알파인 스키 혼성 단체전 3-4위 결정전 런 3,SubUnit,,N,0,HATH,N,N,Small Final Run 3,"Bronze, manche 3",3-4위 결정전 런 3,
ALP,X,PLTEAM4-----------,FNL-,00020004,Alpine Team Event Small Final Run 4,"Épreuve alp. équipes, bronze, manche 4",알파인 스키 혼성 단체전 3-4위 결정전 런 4,Alpine Team Event Small Final Run 4,"Épreuve alpine par équipes, bronze, manche 4",알파인 스키 혼성 단체전 3-4위 결정전 런 4,SubUnit,,N,2,HATH,N,N,Small Final Run 4,"Bronze, manche 4",3-4위 결정전 런 4,
ALP,X,PLTEAM4-----------,QFNL,--------,Alpine Team Event Quarterfinals,"Épreuve alpine par équipes, 1/4 finale",알파인 스키 혼성 단체전 준준결승,Alpine Team Event Quarterfinals,"Épreuve alpine par équipes, quarts de finale",알파인 스키 혼성 단체전 준준결승,Phase,,N,0,NONE,N,N,Quarterfinals,Quarts de finale,준준결승,
ALP,X,PLTEAM4-----------,QFNL,00010000,Alpine Team Event Quarterfinal 1,"Épreuve alpine par équipes, 1/4 finale 1",알파인 스키 혼성 단체전 준준결승 1,Alpine Team Event Quarterfinal 1,"Épreuve alpine par équipes, quart de finale 1",알파인 스키 혼성 단체전 준준결승 1,Unit,,Y,0,HNOC,Y,Y,Quarterfinal 1,Quart de finale 1,준준결승 1,
ALP,X,PLTEAM4-----------,QFNL,00010001,Alpine Team Event Quarterfinal 1 Run 1,"Ép. alp. équipes, 1/4 finale 1, manche 1",알파인 스키 혼성 단체전 준준결승 1 런 1,Alpine Team Event Quarterfinal 1 Run 1,"Épreuve alpine par équipes, quart de finale 1, manche 1",알파인 스키 혼성 단체전 준준결승 1 런 1,SubUnit,,N,0,HATH,N,N,Quarterfinal 1 Run 1,"Quart de finale 1, manche 1",준준결승 1 런 1,
ALP,X,PLTEAM4-----------,QFNL,00010002,Alpine Team Event Quarterfinal 1 Run 2,"Ép. alp. équipes, 1/4 finale 1, manche 2",알파인 스키 혼성 단체전 준준결승 1 런 2,Alpine Team Event Quarterfinal 1 Run 2,"Épreuve alpine par équipes, quart de finale 1, manche 2",알파인 스키 혼성 단체전 준준결승 1 런 2,SubUnit,,N,0,HATH,N,N,Quarterfinal 1 Run 2,"Quart de finale 1, manche 2",준준결승 1 런 2,
ALP,X,PLTEAM4-----------,QFNL,00010003,Alpine Team Event Quarterfinal 1 Run 3,"Ép. alp. équipes, 1/4 finale 1, manche 3",알파인 스키 혼성 단체전 준준결승 1 런 3,Alpine Team Event Quarterfinal 1 Run 3,"Épreuve alpine par équipes, quart de finale 1, manche 3",알파인 스키 혼성 단체전 준준결승 1 런 3,SubUnit,,N,0,HATH,N,N,Quarterfinal 1 Run 3,"Quart de finale 1, manche 3",준준결승 1 런 3,
ALP,X,PLTEAM4-----------,QFNL,00010004,Alpine Team Event Quarterfinal 1 Run 4,"Ép. alp. équipes, 1/4 finale 1, manche 4",알파인 스키 혼성 단체전 준준결승 1 런 4,Alpine Team Event Quarterfinal 1 Run 4,"Épreuve alpine par équipes, quart de finale 1, manche 4",알파인 스키 혼성 단체전 준준결승 1 런 4,SubUnit,,N,0,HATH,N,N,Quarterfinal 1 Run 4,"Quart de finale 1, manche 4",준준결승 1 런 4,
ALP,X,PLTEAM4-----------,QFNL,00020000,Alpine Team Event Quarterfinal 2,"Épreuve alpine par équipes, 1/4 finale 2",알파인 스키 혼성 단체전 준준결승 2,Alpine Team Event Quarterfinal 2,"Épreuve alpine par équipes, quart de finale 2",알파인 스키 혼성 단체전 준준결승 2,Unit,,Y,0,HNOC,Y,Y,Quarterfinal 2,Quart de finale 2,준준결승 2,
ALP,X,PLTEAM4-----------,QFNL,00020001,Alpine Team Event Quarterfinal 2 Run 1,"Ép. alp. équipes, 1/4 finale 2, manche 1",알파인 스키 혼성 단체전 준준결승 2 런 1,Alpine Team Event Quarterfinal 2 Run 1,"Épreuve alpine par équipes, quart de finale 2, manche 1",알파인 스키 혼성 단체전 준준결승 2 런 1,SubUnit,,N,0,HATH,N,N,Quarterfinal 2 Run 1,"Quart de finale 2, manche 1",준준결승 2 런 1,
ALP,X,PLTEAM4-----------,QFNL,00020002,Alpine Team Event Quarterfinal 2 Run 2,"Ép. alp. équipes, 1/4 finale 2, manche 2",알파인 스키 혼성 단체전 준준결승 2 런 2,Alpine Team Event Quarterfinal 2 Run 2,"Épreuve alpine par équipes, quart de finale 2, manche 2",알파인 스키 혼성 단체전 준준결승 2 런 2,SubUnit,,N,0,HATH,N,N,Quarterfinal 2 Run 2,"Quart de finale 2, manche 2",준준결승 2 런 2,
ALP,X,PLTEAM4-----------,QFNL,00020003,Alpine Team Event Quarterfinal 2 Run 3,"Ép. alp. équipes, 1/4 finale 2, manche 3",알파인 스키 혼성 단체전 준준결승 2 런 3,Alpine Team Event Quarterfinal 2 Run 3,"Épreuve alpine par équipes, quart de finale 2, manche 3",알파인 스키 혼성 단체전 준준결승 2 런 3,SubUnit,,N,0,HATH,N,N,Quarterfinal 2 Run 3,"Quart de finale 2, manche 3",준준결승 2 런 3,
