Discipline,Gender,Event,phase,Eventunit,ENG Description,KOR Description,ENG longdescription,KOR longdescription,Level,Order,schedule,medalflag,Eventunittype,cisSchedule,infoSchedule,ENG unit Description,KOR unit Description,Old unit
ALP,M,DH------12050-----,DRAW,000300--,"Men's Downhill, Sitting, Draw",KOR,"Men's Downhill, Sitting, Draw",KOR,Draw,,Y,0,NONE,N,Y,Draw,KOR,ASM210E03
ALP,M,DH------12050-----,DRAW,000400--,"Men's Downhill, Sitting, Draw",KOR,"Men's Downhill, Sitting, Draw",KOR,Draw,,Y,0,NONE,N,Y,Draw,KOR,ASM210E04
ALP,M,DH------12050-----,FNL-,000100--,Men's Downhill - Sitting,KOR,Men's Downhill - Sitting,KOR,Unit,,Y,1,ATH,Y,Y,,,ASM210101
ALP,M,DH------12050-----,FNL-,000101--,Men's Downhill 1st Run - Sitting,KOR,Men's Downhill 1st Run - Sitting,KOR,Unit,,Y,0,ATH,Y,Y,1st Run,KOR,ASM210111
ALP,M,DH------12050-----,FNL-,000102--,Men's Downhill 2nd Run - Sitting,KOR,Men's Downhill 2nd Run - Sitting,KOR,Unit,,Y,1,ATH,Y,Y,2nd Run,KOR,ASM210112
ALP,M,DH------12050-----,TRNO,000100--,Men's Downhill 1st Trng Run - Sitting,KOR,Men's Downhill 1st Training Run - Sitting,KOR,Training,,Y,0,ATH,Y,Y,1st Training Run,KOR,ASM210O01
ALP,M,DH------12050-----,TRNO,000200--,Men's Downhill 2nd Trng Run - Sitting,KOR,Men's Downhill 2nd Training Run - Sitting,KOR,Training,,Y,0,ATH,Y,Y,2nd Training Run,KOR,ASM210O02
ALP,M,DH------12050-----,TRNO,000300--,Men's Downhill 3rd Trng Run - Sitting,KOR,Men's Downhill 3rd Training Run - Sitting,KOR,Training,,Y,0,ATH,Y,Y,3rd Training Run,KOR,ASM210O03
ALP,M,DH------12050-----,VICT,FLOWER--,"Men's Downhill, Sitting, Flowers",KOR,"Men's Downhill, Sitting, Flower Ceremony",KOR,Medal,,Y,0,NONE,N,Y,Flower Ceremony,KOR,ASM210M02
ALP,M,DH------12050-----,VICT,MEDAL---,"Men's Downhill, Sit, Vict. Ceremony",KOR,"Men's Downhill, Sitting, Victory Ceremony",KOR,Medal,,Y,0,NONE,N,Y,Victory Ceremony,KOR,ASM210M01
ALP,M,GS----------------,----,--------,Men's Giant Slalom,KOR,Men's Giant Slalom,KOR,Event,,N,0,NONE,N,N,,,ASM030000
ALP,M,GS------03030-----,----,--------,Men's Giant Slalom - Visually Impaired,KOR,Men's Giant Slalom - Visually Impaired,KOR,Event,,N,0,NONE,N,N,,,ASM330000
ALP,M,GS------03030-----,DRAW,000100--,"Men's Giant Slalom, Vis Imp, Draw",KOR,"Men's Giant Slalom, Visually Impaired, Draw",KOR,Draw,,Y,0,NONE,N,Y,Draw,KOR,ASM330E01
ALP,M,GS------03030-----,FNL-,000100--,Men's Giant Slalom 1st Run - Vis Imp,KOR,Men's Giant Slalom 1st Run - Visually Impaired,KOR,Unit,,Y,0,ATH,Y,Y,1st Run,KOR,ASM330101
ALP,M,GS------03030-----,FNL-,000200--,Men's Giant Slalom 2nd Run - Vis Imp,KOR,Men's Giant Slalom 2nd Run - Visually Impaired,KOR,Unit,,Y,1,ATH,Y,Y,2nd Run,KOR,ASM330102
ALP,M,GS------03030-----,VICT,FLOWER--,"Men's Giant Slalom, Vis Imp, Flowers",KOR,"Men's Giant Slalom, Visually Impaired, Flower Ceremony",KOR,Medal,,Y,0,NONE,N,Y,Flower Ceremony,KOR,ASM330M02
ALP,M,GS------03030-----,VICT,MEDAL---,"Men's G Slalom, Vis Imp, Vict. Ceremony",KOR,"Men's Giant Slalom, Visually Impaired, Victory Ceremony",KOR,Medal,,Y,0,NONE,N,Y,Victory Ceremony,KOR,ASM330M01
ALP,M,GS------09110-----,----,--------,Men's Giant Slalom - Standing,KOR,Men's Giant Slalom - Standing ,KOR,Event,,N,0,NONE,N,N,,,ASM130000
ALP,M,GS------09110-----,DRAW,000100--,"Men's Giant Slalom, Standing, Draw",KOR,"Men's Giant Slalom, Standing, Draw",KOR,Draw,,Y,0,NONE,N,Y,Draw,KOR,ASM130E01
ALP,M,GS------09110-----,FNL-,000100--,Men's Giant Slalom 1st Run - Standing,KOR,Men's Giant Slalom 1st Run - Standing ,KOR,Unit,,Y,0,ATH,Y,Y,1st Run,KOR,ASM130101
ALP,M,GS------09110-----,FNL-,000200--,Men's Giant Slalom 2nd Run - Standing,KOR,Men's Giant Slalom 2nd Run - Standing ,KOR,Unit,,Y,1,ATH,Y,Y,2nd Run,KOR,ASM130102
ALP,M,GS------09110-----,VICT,FLOWER--,"Men's Giant Slalom, Standing, Flowers",KOR,"Men's Giant Slalom, Standing, Flower Ceremony",KOR,Medal,,Y,0,NONE,N,Y,Flower Ceremony,KOR,ASM130M02
ALP,M,GS------09110-----,VICT,MEDAL---,"Men's G Slalom, Stand, Vict. Ceremony",KOR,"Men's Giant Slalom, Standing, Victory Ceremony",KOR,Medal,,Y,0,NONE,N,Y,Victory Ceremony,KOR,ASM130M01
ALP,M,GS------12050-----,----,--------,Men's Giant Slalom - Sitting,KOR,Men's Giant Slalom - Sitting,KOR,Event,,N,0,NONE,N,N,,,ASM230000
ALP,M,GS------12050-----,DRAW,000100--,"Men's Giant Slalom, Sitting, Draw",KOR,"Men's Giant Slalom, Sitting, Draw",KOR,Draw,,Y,0,NONE,N,Y,Draw,KOR,ASM230E01
ALP,M,GS------12050-----,FNL-,000100--,Men's Giant Slalom 1st Run - Sitting,KOR,Men's Giant Slalom 1st Run - Sitting,KOR,Unit,,Y,0,ATH,Y,Y,1st Run,KOR,ASM230101
ALP,M,GS------12050-----,FNL-,000200--,Men's Giant Slalom 2nd Run - Sitting,KOR,Men's Giant Slalom 2nd Run - Sitting,KOR,Unit,,Y,1,ATH,Y,Y,2nd Run,KOR,ASM230102
ALP,M,GS------12050-----,VICT,FLOWER--,"Men's Giant Slalom, Sitting, Flowers",KOR,"Men's Giant Slalom, Sitting, Flower Ceremony",KOR,Medal,,Y,0,NONE,N,Y,Flower Ceremony,KOR,ASM230M02
ALP,M,GS------12050-----,VICT,MEDAL---,"Men's G Slalom, Sit, Vict. Ceremony",KOR,"Men's Giant Slalom, Sitting, Victory Ceremony",KOR,Medal,,Y,0,NONE,N,Y,Victory Ceremony,KOR,ASM230M01
ALP,M,SG----------------,----,--------,Men's Super-G,KOR,Men's Super-G,KOR,Event,,N,0,NONE,N,N,,,ASM040000
ALP,M,SG------03030-----,----,--------,Men's Super-G - Visually Impaired,KOR,Men's Super-G - Visually Impaired,KOR,Event,,N,0,NONE,N,N,,,ASM340000
ALP,M,SG------03030-----,DRAW,000100--,"Men's Super-G, Vis Imp, Draw",KOR,"Men's Super-G, Visually Impaired, Draw",KOR,Draw,,Y,0,NONE,N,Y,Draw,KOR,ASM340E01
ALP,M,SG------03030-----,FNL-,000100--,Men's Super-G - Visually Impaired,KOR,Men's Super-G - Visually Impaired,KOR,Unit,,Y,1,ATH,Y,Y,,,ASM340101
ALP,M,SG------03030-----,VICT,FLOWER--,"Men's Super-G, Vis Imp, Flowers",KOR,"Men's Super-G, Visually Impaired, Flower Ceremony",KOR,Medal,,Y,0,NONE,N,Y,Flower Ceremony,KOR,ASM340M02
ALP,M,SG------03030-----,VICT,MEDAL---,"Men's Super-G, Vis Imp, Vict. Ceremony",KOR,"Men's Super-G, Visually Impaired, Victory Ceremony",KOR,Medal,,Y,0,NONE,N,Y,Victory Ceremony,KOR,ASM340M01
ALP,M,SG------09110-----,----,--------,Men's Super-G - Standing ,KOR,Men's Super-G - Standing ,KOR,Event,,N,0,NONE,N,N,,,ASM140000
ALP,M,SG------09110-----,DRAW,000100--,"Men's Super-G, Standing, Draw",KOR,"Men's Super-G, Standing, Draw",KOR,Draw,,Y,0,NONE,N,Y,Draw,KOR,ASM140E01
ALP,M,SG------09110-----,FNL-,000100--,Men's Super-G - Standing ,KOR,Men's Super-G - Standing ,KOR,Unit,,Y,1,ATH,Y,Y,,,ASM140101
ALP,M,SG------09110-----,VICT,FLOWER--,"Men's Super-G, Standing, Flowers",KOR,"Men's Super-G, Standing, Flower Ceremony",KOR,Medal,,Y,0,NONE,N,Y,Flower Ceremony,KOR,ASM140M02
ALP,M,SG------09110-----,VICT,MEDAL---,"Men's Super-G, Stand, Vict. Ceremony",KOR,"Men's Super-G, Standing, Victory Ceremony",KOR,Medal,,Y,0,NONE,N,Y,Victory Ceremony,KOR,ASM140M01
ALP,M,SG------12050-----,----,--------,Men's Super-G - Sitting,KOR,Men's Super-G - Sitting,KOR,Event,,N,0,NONE,N,N,,,ASM240000
ALP,M,SG------12050-----,DRAW,000100--,"Men's Super-G, Sitting, Draw",KOR,"Men's Super-G, Sitting, Draw",KOR,Draw,,Y,0,NONE,N,Y,Draw,KOR,ASM240E01
ALP,M,SG------12050-----,FNL-,000100--,Men's Super-G - Sitting,KOR,Men's Super-G - Sitting,KOR,Unit,,Y,1,ATH,Y,Y,,,ASM240101
ALP,M,SG------12050-----,VICT,FLOWER--,"Men's Super-G, Sitting, Flowers",KOR,"Men's Super-G, Sitting, Flower Ceremony",KOR,Medal,,Y,0,NONE,N,Y,Flower Ceremony,KOR,ASM240M02
ALP,M,SG------12050-----,VICT,MEDAL---,"Men's Super-G, Sitting, Vict. Ceremony",KOR,"Men's Super-G, Sitting, Victory Ceremony",KOR,Medal,,Y,0,NONE,N,Y,Victory Ceremony,KOR,ASM240M01
ALP,M,SL----------------,----,--------,Men's Slalom,KOR,Men's Slalom,KOR,Event,,N,0,NONE,N,N,,,ASM020000
ALP,M,SL------03030-----,----,--------,Men's Slalom - Visually Impaired,KOR,Men's Slalom - Visually Impaired,KOR,Event,,N,0,NONE,N,N,,,ASM320000
