Discipline,Gender,Event,order,ENG Description,KOR Description,ENG longdescription,KOR longdescription,Team Event,Old DDGEEE
ALP,M,GS------12050-----,23,"Men's Giant Slalom, Sitting",KOR,"Men's Giant Slalom, Sitting",KOR,N,ASM230
ALP,M,GS------03030-----,24,"Men's Giant Slalom, Visually Impaired",KOR,"Men's Giant Slalom, Visually Impaired",KOR,N,ASM330
ALP,M,SG------09110-----,25,"Men's Super-G, Standing",KOR,"Men's Super-G, Standing",KOR,N,ASM140
ALP,M,SG------12050-----,26,"Men's Super-G, Sitting",KOR,"Men's Super-G, Sitting",KOR,N,ASM240
ALP,M,SG------03030-----,27,"Men's Super-G, Visually Impaired",KOR,"Men's Super-G, Visually Impaired",KOR,N,ASM340
ALP,M,AC------09110-----,28,"Men's Combined, Standing",KOR,"Men's Combined, Standing",KOR,N,ASM160
ALP,M,AC------12050-----,29,"Men's Combined, Sitting",KOR,"Men's Combined, Sitting",KOR,N,ASM260
ALP,M,AC------03030-----,30,"Men's Combined, Visually Impaired",KOR,"Men's Combined, Visually Impaired",KOR,N,ASM360
ALP,-,------------------,,Alpine Skiing,알파인 스키,Alpine Skiing,알파인 스키,,AS0000
ALP,M,------------------,,Men's Alpine Skiing,KOR,Men's Alpine Skiing,KOR,,ASM000
ALP,M,AC----------------,,Men's Combined,KOR,Men's Combined,KOR,N,ASM060
ALP,M,DH----------------,,Men's Downhill,남자 활강,Men's Downhill,남자 활강,N,ASM010
ALP,M,GS----------------,,Men's Giant Slalom,남자 대회전,Men's Giant Slalom,남자 대회전,N,ASM030
ALP,M,SG----------------,,Men's Super-G,남자 슈퍼대회전,Men's Super-G,남자 슈퍼대회전,N,ASM040
ALP,M,SL----------------,,Men's Slalom,남자 회전,Men's Slalom,남자 회전,N,ASM020
ALP,W,------------------,,Women's Alpine Skiing,KOR,Women's Alpine Skiing,KOR,,ASW000
ALP,W,AC----------------,,Women's Combined,KOR,Women's Combined,KOR,N,ASW060
ALP,W,DH----------------,,Women's Downhill,여자 활강,Women's Downhill,여자 활강,N,ASW010
ALP,W,GS----------------,,Women's Giant Slalom,여자 대회전,Women's Giant Slalom,여자 대회전,N,ASW030
ALP,W,SG----------------,,Women's Super-G,여자 슈퍼대회전,Women's Super-G,여자 슈퍼대회전,N,ASW040
ALP,W,SL----------------,,Women's Slalom,여자 회전,Women's Slalom,여자 회전,N,ASW020
ART,-,CIRCUS------------,,Circus / Street Arts,KOR,Circus / Street Arts,KOR,N,AF0CRC
ART,-,COMEDY------------,,Comedy,KOR,Comedy,KOR,N,AF0CMD
ART,-,CULTURAL----------,,Cultural Activities,KOR,Cultural Activities,KOR,,AF0CUL
ART,-,DANCE-------------,,Dance,KOR,Dance,KOR,N,AF0DNC
ART,-,DIGITAL-----------,,Digital / Film / Video,KOR,Digital / Film / Video,KOR,N,AF0DGT
ART,-,LITERARY----------,,Literary Arts,KOR,Literary Arts,KOR,N,AF0LTR
ART,-,MUSIC-------------,,Music,KOR,Music,KOR,N,AF0MSC
ART,-,SPONSOR-----------,,Sponsor Activities,KOR,Sponsor Activities,KOR,,AF0SPO
ART,-,THEATRE-----------,,Theatre,KOR,Theatre,KOR,N,AF0THT
ART,-,VISUAL------------,,Visual Arts,KOR,Visual Arts,KOR,N,AF0VSL
BTH,W,6KM-----09070-----,1,"Women's 6km, Standing",KOR,"Women's 6km, Standing",KOR,N,BTW110
BTH,W,6KM-----12050-----,2,"Women's 6km, Sitting",KOR,"Women's 6km, Sitting",KOR,N,BTW210
BTH,W,6KM-----03030-----,3,"Women's 6km, Visually Impaired",KOR,"Women's 6km, Visually Impaired",KOR,N,BTW310
BTH,W,10KM----09070-----,4,"Women's 10km, Standing",KOR,"Women's 10km, Standing",KOR,N,BTW120
BTH,W,10KM----12050-----,5,"Women's 10km, Sitting",KOR,"Women's 10km, Sitting",KOR,N,BTW220
BTH,W,10KM----03030-----,6,"Women's 10km, Visually Impaired",KOR,"Women's 10km, Visually Impaired",KOR,N,BTW320
BTH,W,12.5KM--09070-----,7,"Women's 12.5km, Standing",KOR,"Women's 12.5km, Standing",KOR,N,BTW130
BTH,W,12.5KM--12050-----,8,"Women's 12.5km, Sitting",KOR,"Women's 12.5km, Sitting",KOR,N,BTW230
BTH,W,12.5KM--03030-----,9,"Women's 12.5km, Visually Impaired",KOR,"Women's 12.5km, Visually Impaired",KOR,N,BTW330
BTH,M,7.5KM---09070-----,10,"Men's 7.5km, Standing",KOR,"Men's 7.5km, Standing",KOR,N,BTM110
BTH,M,7.5KM---12050-----,11,"Men's 7.5km, Sitting",KOR,"Men's 7.5km, Sitting",KOR,N,BTM210
BTH,M,12.5KM--12050-----,12,"Men's 12.5km, Sitting",KOR,"Men's 12.5km, Sitting",KOR,N,BTM220
BTH,M,7.5KM---03030-----,12,"Men's 7.5km, Visually Impaired",KOR,"Men's 7.5km, Visually Impaired",KOR,N,BTM310
