Id,Venue,LocationOrder,competition,ENG Description,POR Description,SPA Description,ENG longdescription,POR longdescription,SPA longdescription,Source
WF4,YOA,5,Y,Youth Arena-WF Green Piste 1,ArenaJuventude-WF Pista Verd 1,Ar. Juventud -WF pista verde 1,Youth Arena - Wheelchair Fencing Green Piste 1,ArenaJuventude-Esgrima cadeira rodas Pista Verd 1,Ar. Juventud-Esgrima silla de ruedas pista verde 1,YOAWF1
WF5,YOA,6,Y,Youth Arena-WF Green Piste 2,ArenaJuventude-WF Pista Verd 2,Ar. Juventud -WF pista verde 2,Youth Arena - Wheelchair Fencing Green Piste 2,ArenaJuventude-Esgrima cadeira rodas Pista Verd 2,Ar. Juventud-Esgrima silla de ruedas pista verde 2,YOAWF1
WF6,YOA,7,Y,Youth Arena-WF Red Piste 1,ArenaJuventude-WF Pista Verm 1,Ar. Juventud - WF pista roja 1,Youth Arena - Wheelchair Fencing Red Piste 1,ArenaJuventude-Esgrima cadeira rodas Pista Verm 1,Ar. Juventud-Esgrima silla de ruedas pista roja 1,YOAWF1
WF7,YOA,8,Y,Youth Arena-WF Red Piste 2,ArenaJuventude-WF Pista Verm 2,Ar. Juventud - WF pista roja 2,Youth Arena - Wheelchair Fencing Red Piste 2,ArenaJuventude-Esgrima cadeira rodas Pista Verm 2,Ar. Juventud-Esgrima silla de ruedas pista roja 2,YOAWF1
WF8,YOA,9,Y,Youth Arena-WF Finals Piste 1,ArenaJuventude-WF Pista Final1,Ar. Juventud - Fin. WF pista 1,Youth Arena - Wheelchair Fencing Finals Piste 1,ArenaJuventude-Esgrima cadeira rodas Pista Final 1,Ar. Juventud-Finales esgrima silla ruedas pista 1,YOAWF1
WF9,YOA,10,Y,Youth Arena-WF Finals Piste 2,ArenaJuventude-WF Pista Final2,Ar. Juventud - Fin. WF pista 2,Youth Arena - Wheelchair Fencing Finals Piste 2,ArenaJuventude-Esgrima cadeira rodas Pista Final 2,Ar. Juventud-Finales esgrima silla ruedas pista 2,YOAWF1
WR1,CA1,1,Y,Carioca Arena 1,Arena Carioca 1,Arena Carioca 1,Carioca Arena 1,Arena Carioca 1,Arena Carioca 1,CA1WR1
WT0,OTN,1,Y,Olympic Tennis Centre - CC,Ctr. Olímpico de Tênis-Qdr Ctr,Ctro Olímpico de Tenis-Central,Olympic Tennis Centre - Centre Court,Centro Olímpico de Tênis - Quadra Central,Centro Olímpico de Tenis - Cancha central,OTNWT1
WT1,OTN,2,Y,Olympic Tennis Centre-Court 1,Centro Olímpico de Tênis-Qdr 1,Ctro Olímpico de Tenis-Canc. 1,Olympic Tennis Centre - Court 1,Centro Olímpico de Tênis - Quadra 1,Centro Olímpico de Tenis - Cancha 1,OTNWT1
WT2,OTN,3,Y,Olympic Tennis Centre-Court 2,Centro Olímpico de Tênis-Qdr 2,Ctro Olímpico de Tenis-Canc. 2,Olympic Tennis Centre - Court 2,Centro Olímpico de Tênis - Quadra 2,Centro Olímpico de Tenis - Cancha 2,OTNWT1
WT3,OTN,4,Y,Olympic Tennis Centre-Court 3,Centro Olímpico de Tênis-Qdr 3,Ctro Olímpico de Tenis-Canc. 3,Olympic Tennis Centre - Court 3,Centro Olímpico de Tênis - Quadra 3,Centro Olímpico de Tenis - Cancha 3,OTNWT1
WT4,OTN,5,Y,Olympic Tennis Centre-Court 4,Centro Olímpico de Tênis-Qdr 4,Ctro Olímpico de Tenis-Canc. 4,Olympic Tennis Centre - Court 4,Centro Olímpico de Tênis - Quadra 4,Centro Olímpico de Tenis - Cancha 4,OTNWT1
WT5,OTN,6,Y,Olympic Tennis Centre-Court 5,Centro Olímpico de Tênis-Qdr 5,Ctro Olímpico de Tenis-Canc. 5,Olympic Tennis Centre - Court 5,Centro Olímpico de Tênis - Quadra 5,Centro Olímpico de Tenis - Cancha 5,OTNWT1
WT6,OTN,7,Y,Olympic Tennis Centre-Court 6,Centro Olímpico de Tênis-Qdr 6,Ctro Olímpico de Tenis-Canc. 6,Olympic Tennis Centre - Court 6,Centro Olímpico de Tênis - Quadra 6,Centro Olímpico de Tenis - Cancha 6,OTNWT1
WT7,OTN,8,Y,Olympic Tennis Centre-Court 7,Centro Olímpico de Tênis-Qdr 7,Ctro Olímpico de Tenis-Canc. 7,Olympic Tennis Centre - Court 7,Centro Olímpico de Tênis - Quadra 7,Centro Olímpico de Tenis - Cancha 7,OTNWT1
WT8,OTN,9,Y,Olympic Tennis Centre-Court 8,Centro Olímpico de Tênis-Qdr 8,Ctro Olímpico de Tenis-Canc. 8,Olympic Tennis Centre - Court 8,Centro Olímpico de Tênis - Quadra 8,Centro Olímpico de Tenis - Cancha 8,OTNWT1
WT9,OTN,10,Y,Olympic Tennis Centre-Court 9,Centro Olímpico de Tênis-Qdr 9,Ctro Olímpico de Tenis-Canc. 9,Olympic Tennis Centre - Court 9,Centro Olímpico de Tênis - Quadra 9,Centro Olímpico de Tenis - Cancha 9,OTNWT1
YOA,YOA,,Y,Youth Arena,Arena da Juventude,Arena de la Juventud,Youth Arena,Arena da Juventude,Arena de la Juventud,YOAWF1
