Function,Discipline,Order,Category,ENG Description,FRA Description,POR Description,SPA Description,Partic,Results
CJP,GT,,J,Chair of Judges' Panel,Juge arbitre,Presidente do painel de juízes,Juez coordinador,Y,Y
D1,GT,,J,Difficulty Judge 1,Juge de difficulté 1,Árbitro de dificuldade 1 (JD1),Juez de dificultad 1,Y,Y
D2,GT,,J,Difficulty Judge 2,Juge de difficulté 2,Árbitro de dificuldade 2 (JD2),Juez de dificultad 2,Y,Y
E1,GT,,J,Execution Judge 1,Juge d'exécution 1,Juiz de execução 1,Juez de ejecución 1,Y,Y
E2,GT,,J,Execution Judge 2,Juge d'exécution 2,Juiz de execução 2,Juez de ejecución 2,Y,Y
E3,GT,,J,Execution Judge 3,Juge d'exécution 3,Juiz de execução 3,Juez de ejecución 3,Y,Y
E4,GT,,J,Execution Judge 4,Juge d'exécution 4,Juiz de execução 4,Juez de ejecución 4,Y,Y
E5,GT,,J,Execution Judge 5,Juge d'exécution 5,Juiz de execução 5,Juez de ejecución 5,Y,Y
JU,GT,,J,Judge,Juge,Juiz,Juez,Y,N
ME,GT,,S,Member,Membre,Membro,Miembro,Y,Y
PR,GT,,S,President,Président,Presidente,Presidente,Y,Y
T,GT,,J,Time of Flight Judge,Juge au temps de vol,Árbitro de tempo de voo,Juez de tiempo de vuelo,Y,Y
AA01,HB,0,A,Athlete,Athlète,Atleta,Atleta,Y,Y
AST_COA,HB,3,C,Assistant Coach,Entraîneur assistant,Assistente técnico,Entrenador asistente,Y,Y
COACH,HB,2,C,Coach,Entraîneur,Treinador,Entrenador,Y,Y
DOCTOR,HB,5,T,Doctor,Médecin,Médico,Médico,Y,Y
OFFIC,HB,7,S,Official,Officiel,Oficial,Oficial,Y,Y
P01,HB,1,A,Alternate Athlete,Athlète Remplaçant,Atleta reserva,Atleta suplente,Y,N
PHYSIO,HB,6,T,Physiotherapist,Physiothérapeute,Fisioterapeuta,Fisioterapeuta,Y,Y
RE,HB,8,J,Referee,Arbitre,Árbitro ,Árbitro,Y,Y
RR,HB,9,J,Reserve Referee,Arbitre de réserve,Árbitro reserva,Árbitro suplente,Y,Y
SK,HB,11,S,Scorekeeper,Marqueur,Anotador,Anotador,Y,Y
TK,HB,10,S,Timekeeper,Chronométreur,Cronometrista,Cronometrador,Y,Y
TM_OFFIC,HB,4,T,Team Official,Officiel d'équipe,Oficial de equipe,Oficial del equipo,Y,Y
AA01,HO,0,A,Athlete,Athlète,Atleta,Atleta,Y,Y
AST_COA,HO,4,C,Assistant Coach,Entraîneur assistant,Assistente técnico,Entrenador asistente,Y,Y
ATD,HO,13,S,Assistant Technical Delegate,Délégué technique assistant,Delegado técnico assistente,Delegado técnico asistente,Y,Y
COACH,HO,3,C,Head Coach,Entraîneur chef,Treinador principal,Entrenador principal,Y,Y
DOCTOR,HO,6,T,Doctor,Médecin,Médico,Médico,Y,Y
JU,HO,11,J,Judge,Juge,Juiz,Juez,Y,Y
P01,HO,1,A,Alternate Athlete,Athlète Remplaçant,Atleta reserva,Atleta suplente,Y,N
PHYSIO,HO,7,T,Physiotherapist,Physiothérapeute,Fisioterapeuta,Fisioterapeuta,Y,Y
RU,HO,10,S,Reserve Umpire,Arbitre de réserve,Árbitro reserva,Árbitro suplente,Y,Y
SI_MGR,HO,5,T,Stand-in Manager,Entraîneur remplaçant,Técnico interino,Entrenador suplente,Y,Y
TCH_DEL,HO,12,S,Technical Delegate,Délégué technique,Delegado técnico,Delegado técnico,Y,Y
TM_MGR,HO,2,T,Manager,Entraîneur,Técnico,Entrenador,Y,Y
UM,HO,8,S,Umpire,Arbitre,Árbitro,Árbitro,Y,Y
VU,HO,9,S,Video Umpire,Arbitre vidéo,Árbitro de vídeo,Árbitro de vídeo,Y,Y
AA01,JU,0,A,Athlete,Athlète,Atleta,Atleta,Y,Y
JU,JU,3,J,Judge,Juge,Juiz,Juez,Y,Y
P03,JU,1,C,Training Partner,Partenaire d'entraînement,Parceiro de treino,Compañero de entrenamiento,Y,N
RE,JU,2,J,Referee,Arbitre,Árbitro,Árbitro,Y,Y
AA01,MP,0,A,Athlete,Athlète,Atleta,Atleta,Y,Y
AA01,OW,0,A,Athlete,Athlète,Atleta,Atleta,Y,Y
AA01,RO,0,A,Athlete,Athlète,Atleta,Atleta,Y,Y
P01,RO,1,A,Alternate Athlete,Athlète Remplaçant,Atleta reserva,Atleta suplente,Y,N
AA01,RU,0,A,Athlete,Athlète,Atleta,Atleta,Y,Y
AR,RU,6,J,Assistant Referee,Arbitre assistant,Árbitro assistente,Árbitro asistente,Y,Y
COACH,RU,2,C,Head Coach,Entraîneur chef,Treinador principal,Entrenador principal,Y,Y
GOAL_J,RU,7,J,In-goal Judge,Juge d'en-but,Juiz de In-goal,Juez de in-goal,Y,Y
PHYSIO,RU,3,T,Physiotherapist,Physiothérapeute,Fisioterapeuta,Fisioterapeuta,Y,Y
RE,RU,5,J,Referee,Arbitre,Árbitro,Árbitro,Y,Y
TM_MGR,RU,1,T,Manager,Entraîneur,Gerente de Equipe,Entrenador,Y,Y
TM_MGR_A,RU,4,T,Management Assistant,Entraîneur assistant,Assistente técnico,Entrenador asistente,Y,Y
AA01,SA,0,A,Athlete,Athlète,Atleta,Atleta,Y,Y
AA01,SH,0,A,Athlete,Athlète,Atleta,Atleta,Y,Y
AA01,SW,0,A,Athlete,Athlète,Atleta,Atleta,Y,Y
AA01,SY,0,A,Athlete,Athlète,Atleta,Atleta,Y,Y
AR,SY,4,J,Assistant Referee,Arbitre assistant,Árbitro assistente,Árbitro asistente,Y,Y
CHOR,SY,2,T,Choreographer,Chorégraphe,Coreógrafo,Coreógrafo,Y,N
COACH,SY,1,C,Coach,Entraîneur,Treinador,Entrenador,Y,N
J1,SY,6,J,Judge 1,Juge 1,Juiz 1,Juez 1,Y,Y
J2,SY,7,J,Judge 2,Juge 2,Juiz 2,Juez 2,Y,Y
J3,SY,8,J,Judge 3,Juge 3,Juiz 3,Juez 3,Y,Y
J4,SY,9,J,Judge 4,Juge 4,Juiz 4,Juez 4,Y,Y
J5,SY,10,J,Judge 5,Juge 5,Juiz 5,Juez 5,Y,Y
JU,SY,5,J,Judge,Juge,Juiz,Juez,Y,N
RE,SY,3,J,Referee,Arbitre,Árbitro,Árbitro,Y,Y
AA01,TE,0,A,Athlete,Athlète,Atleta,Atleta,Y,Y
P03,TE,1,C,Training Partner,Partenaire d'entraînement,Parceiro de treino,Compañero de entrenamiento,Y,N
UR,TE,2,S,Chair Umpire,Arbitre de chaise,Árbitro de cadeira,Juez de silla,Y,Y
AA01,TK,0,A,Athlete,Athlète,Atleta,Atleta,Y,Y
JU,TK,3,J,Judge,Juge,Juiz,Juez,Y,Y
P03,TK,1,C,Training Partner,Partenaire d'entraînement,Parceiro de treino,Compañero de entrenamiento,Y,N
RE,TK,2,J,Referee,Arbitre,Árbitro,Árbitro,Y,Y
REV_JDG,TK,4,J,Review Jury,Jury de revue,Júri de revisão,Jurado de revisión,Y,Y
AA01,TR,0,A,Athlete,Athlète,Atleta,Atleta,Y,Y
AA01,TT,0,A,Athlete,Athlète,Atleta,Atleta,Y,Y
COACH,TT,2,C,Coach,Entraîneur,Treinador,Entrenador,Y,N
P01,TT,1,A,Alternate Athlete,Athlète Remplaçant,Atleta reserva,Atleta suplente,Y,N
UM,TT,3,S,Umpire,Arbitre,Árbitro,Árbitro,Y,Y
AA01,VO,0,A,Athlete,Athlète,Atleta,Atleta,Y,Y
AST_COA,VO,3,C,Assistant Coach,Entraîneur assistant,Assistente técnico,Entrenador asistente,Y,Y
COACH,VO,2,C,Coach,Entraîneur,Treinador,Entrenador,Y,Y
DOCTOR,VO,4,T,Doctor,Médecin,Médico,Médico,Y,Y
OFFIC,VO,9,S,Official,Officiel,Oficial,Oficial,Y,N
R1,VO,7,J,First Referee,Premier arbitre,Primeiro árbitro,Primer árbitro,Y,Y
R2,VO,8,J,Second Referee,Second arbitre,Segundo árbitro,Segundo árbitro,Y,Y
RE,VO,6,J,Referee,Arbitre,Árbitro,Árbitro,Y,N
THERAP,VO,5,T,Therapist/Trainer,Thérapeute / coach,Preparador físico,Preparador físico,Y,Y
TM_MGR,VO,1,T,Team Manager,Directeur d'équipe,Chefe de equipe,Jefe de equipo,Y,Y
AA01,WL,0,A,Athlete,Athlète,Atleta,Atleta,Y,Y
CHF_MAR,WL,7,S,Chief Marshal,Chief Marshal,Marshal principal,Jefe marshal,Y,Y
DOC_DTY,WL,11,S,Doctor on duty,Médecin de service,Médico escalado,Médico de guardia,Y,Y
JUR_ME,WL,3,J,Jury Member,Membre du jury,Membro do júri,Miembro del jurado,Y,Y
