Discipline,Gender,Event,Phase,Type,ENG Results Long Name (80),ENG Results Short Name (40),AZE Results Long Name (80),AZE Results Short Name (40)
FE,W,001,9,3,Women's Foil Individual Pool Round,Women's Foil Individual Pool Round,,,,
FE,W,001,A,3,Women's Foil Individual Pool Round Group A,Women's Foil Ind Pool Round Group A,,,,
FE,W,001,B,3,Women's Foil Individual Pool Round Group B,Women's Foil Ind Pool Round Group B,,,,
FE,W,001,C,3,Women's Foil Individual Pool Round Group C,Women's Foil Ind Pool Round Group C,,,,
FE,W,001,D,3,Women's Foil Individual Pool Round Group D,Women's Foil Ind Pool Round Group D,,,,
FE,W,001,E,3,Women's Foil Individual Pool Round Group E,Women's Foil Ind Pool Round Group E,,,,
FE,W,001,F,3,Women's Foil Individual Pool Round Group F,Women's Foil Ind Pool Round Group F,,,,
FE,W,001,M,6,Women's Foil Individual Medal Ceremony,Women's Foil Individual Medal Ceremony,,,,
FE,W,002,0,8,Women's Epee Individual,Women's Epee Individual,,,,
FE,W,002,1,3,Women's Epee Individual Finals,Women's Epee Individual Finals,,,,
FE,W,002,2,3,Women's Epee Individual Semifinals,Women's Epee Individual Semifinals,,,,
FE,W,002,3,3,Women's Epee Individual Quarterfinals,Women's Epee Individual Quarterfinals,,,,
FE,W,002,4,3,Women's Epee Individual Table of 16,Women's Epee Individual Table of 16,,,,
FE,W,002,5,3,Women's Epee Individual Table of 32,Women's Epee Individual Table of 32,,,,
FE,W,002,9,3,Women's Epee Individual Pool Round,Women's Epee Individual Pool Round,,,,
FE,W,002,A,3,Women's Epee Individual Pool Round Group A,Women's Epee Ind Pool Round Group A,,,,
FE,W,002,B,3,Women's Epee Individual Pool Round Group B,Women's Epee Ind Pool Round Group B,,,,
FE,W,002,C,3,Women's Epee Individual Pool Round Group C,Women's Epee Ind Pool Round Group C,,,,
FE,W,002,D,3,Women's Epee Individual Pool Round Group D,Women's Epee Ind Pool Round Group D,,,,
FE,W,002,E,3,Women's Epee Individual Pool Round Group E,Women's Epee Ind Pool Round Group E,,,,
FE,W,002,F,3,Women's Epee Individual Pool Round Group F,Women's Epee Ind Pool Round Group F,,,,
FE,W,002,M,6,Women's Epee Individual Medal Ceremony,Women's Epee Individual Medal Ceremony,,,,
FE,W,003,0,8,Women's Sabre Individual,Women's Sabre Individual,,,,
FE,W,003,1,3,Women's Sabre Individual Finals,Women's Sabre Individual Finals,,,,
FE,W,003,2,3,Women's Sabre Individual Semifinals,Women's Sabre Individual Semifinals,,,,
FE,W,003,3,3,Women's Sabre Individual Quarterfinals,Women's Sabre Individual Quarterfinals,,,,
FE,W,003,4,3,Women's Sabre Individual Table of 16,Women's Sabre Individual Table of 16,,,,
FE,W,003,5,3,Women's Sabre Individual Table of 32,Women's Sabre Individual Table of 32,,,,
FE,W,003,9,3,Women's Sabre Individual Pool Round,Women's Sabre Individual Pool Round,,,,
FE,W,003,A,3,Women's Sabre Individual Pool Round Group A,Women's Sabre Ind Pool Round Group A,,,,
FE,W,003,B,3,Women's Sabre Individual Pool Round Group B,Women's Sabre Ind Pool Round Group B,,,,
FE,W,003,C,3,Women's Sabre Individual Pool Round Group C,Women's Sabre Ind Pool Round Group C,,,,
FE,W,003,D,3,Women's Sabre Individual Pool Round Group D,Women's Sabre Ind Pool Round Group D,,,,
FE,W,003,E,3,Women's Sabre Individual Pool Round Group E,Women's Sabre Ind Pool Round Group E,,,,
FE,W,003,F,3,Women's Sabre Individual Pool Round Group F,Women's Sabre Ind Pool Round Group F,,,,
FE,W,003,M,6,Women's Sabre Individual Medal Ceremony,Women's Sabre Individual Med. Ceremony,,,,
FE,W,401,0,8,Women's Foil Team,Women's Foil Team,,,,
FE,W,401,1,3,Women's Foil Team Finals,Women's Foil Team Finals,,
FE,W,401,2,3,Women's Foil Team Semifinals,Women's Foil Team Semifinals,,
FE,W,401,3,3,Women's Foil Team Quarterfinals,Women's Foil Team Quarterfinals,,
FE,W,401,M,6,Women's Foil Team Medal Ceremony,Women's Foil Team Medal Ceremony,,
FE,W,402,0,8,Women's Epee Team,Women's Epee Team,,
FE,W,402,1,3,Women's Epee Team Finals,Women's Epee Team Finals,,
FE,W,402,2,3,Women's Epee Team Semifinals,Women's Epee Team Semifinals,,
FE,W,402,3,3,Women's Epee Team Quarterfinals,Women's Epee Team Quarterfinals,,
FE,W,402,M,6,Women's Epee Team Medal Ceremony,Women's Epee Team Medal Ceremony,,
FE,W,403,0,8,Women's Sabre Team,Women's Sabre Team,,
FE,W,403,1,3,Women's Sabre Team Finals,Women's Sabre Team Finals,,
FE,W,403,2,3,Women's Sabre Team Semifinals,Women's Sabre Team Semifinals,,
FE,W,403,3,3,Women's Sabre Team Quarterfinals,Women's Sabre Team Quarterfinals,,
FE,W,403,M,6,Women's Sabre Team Medal Ceremony,Women's Sabre Team Medal Ceremony,,
GA,0,000,0,8,Gymnastics Artistic,Gymnastics Artistic,,
GA,0,000,1,8,Apparatus Final,Apparatus Final,,
GA,0,000,Y,8,Gymnastic Artistic Daily Schedule,Gymnastic Artistic Daily Schedule,,
GA,0,NGA,0,8,National Gymnastics Arena,National Gymnastics Arena,,
GA,M,000,0,8,Men's Artistic Gymnastics,Men's Artistic Gymnastics,,
GA,M,000,1,3,Men's Apparatus Final,Men's Apparatus Final,,
GA,M,001,0,8,Men's Floor Exercise,Men's Floor Exercise,,
GA,M,001,1,3,Men's Floor Exercise Final,Men's Floor Exercise Final,,
GA,M,001,9,3,Men's Floor Exercise Qualification,Men's Floor Exercise Qualification,,
GA,M,001,M,6,Men's Floor Exercise Medal Ceremony,Men's Floor Exercise Medal Ceremony,,
GA,M,002,0,8,Men's Vault,Men's Vault,,
GA,M,002,1,3,Men's Vault Final,Men's Vault Final,,
GA,M,002,9,3,Men's Vault Qualification,Men's Vault Qualification,,
GA,M,002,M,6,Men's Vault Medal Ceremony,Men's Vault Medal Ceremony,,
GA,M,003,0,8,Men's Parallel Bars,Men's Parallel Bars,,
GA,M,003,1,3,Men's Parallel Bars Final,Men's Parallel Bars Final,,
GA,M,003,9,3,Men's Parallel Bars Qualification,Men's Parallel Bars Qualification,,
GA,M,003,M,6,Men's Parallel Bars Medal Ceremony,Men's Parallel Bars Medal Ceremony,,
GA,M,004,0,8,Men's Horizontal Bar,Men's Horizontal Bar,,
GA,M,004,1,3,Men's Horizontal Bar Final,Men's Horizontal Bar Final,,
GA,M,004,9,3,Men's Horizontal Bar Qualification,Men's Horizontal Bar Qualification,,
GA,M,004,M,6,Men's Horizontal Bar Medal Ceremony,Men's Horizontal Bar Medal Ceremony,,
GA,M,005,0,8,Men's Rings,Men's Rings,,
GA,M,005,1,3,Men's Rings Final,Men's Rings Final,,
GA,M,005,9,3,Men's Rings Qualification,Men's Rings Qualification,,
GA,M,005,M,6,Men's Rings Medal Ceremony,Men's Rings Medal Ceremony,,
GA,M,006,0,8,Men's Pommel Horse,Men's Pommel Horse,,
GA,M,006,1,3,Men's Pommel Horse Final,Men's Pommel Horse Final,,
GA,M,006,9,3,Men's Pommel Horse Qualification,Men's Pommel Horse Qualification,,
GA,M,006,M,6,Men's Pommel Horse Medal Ceremony,Men's Pommel Horse Medal Ceremony,,
GA,M,024,0,8,Men's Individual All-Around,Men's Individual All-Around,,
GA,M,024,1,3,Men's Individual All-Around Final,Men's Individual All-Around Final,,
GA,M,024,9,3,Men's Individual All-Around Qualification,Men's Individual All-Around Qual.,,
GA,M,024,M,6,Men's Individual All-Around Medal Ceremony,Men's Ind. All-Around Medal Ceremony,,
GA,M,400,0,8,Men's Team,Men's Team,,
GA,M,400,1,3,Men's Team Final,Men's Team Final,,
GA,M,400,9,3,Men's Team Qualification,Men's Team Qualification,,
GA,M,400,M,6,Men's Team Medal Ceremony,Men's Team Medal Ceremony,,
GA,M,000,9,3,Men's Qualification,Men's Qualification,,
GA,W,000,0,8,Women,Women,,
GA,W,000,1,3,Women's Apparatus Final,Women's Apparatus Final,,
GA,W,001,0,8,Women's Floor Exercise,Women's Floor Exercise,,
GA,W,001,1,3,Women's Floor Exercise Final,Women's Floor Exercise Final,,
GA,W,001,9,3,Women's Floor Exercise Qualification,Women's Floor Exercise Qualification,,
GA,W,001,M,6,Women's Floor Exercise Medal Ceremony,Women's Floor Exercise Medal Ceremony,,
GA,W,002,0,8,Women's Vault,Women's Vault,,
GA,W,002,1,3,Women's Vault Final,Women's Vault Final,,
GA,W,002,9,3,Women's Vault Qualification,Women's Vault Qualification,,
GA,W,002,M,6,Women's Vault Medal Ceremony,Women's Vault Medal Ceremony,,
GA,W,007,0,8,Women's Uneven Bars,Women's Uneven Bars,,
GA,W,007,1,3,Women's Uneven Bars Final,Women's Uneven Bars Final,,
GA,W,007,9,3,Women's Uneven Bars Qualification,Women's Uneven Bars Qualification,,
GA,W,007,M,6,Women's Uneven Bars Medal Ceremony,Women's Uneven Bars Medal Ceremony,,
GA,W,008,0,8,Women's Beam,Women's Beam,,
GA,W,008,1,3,Women's Beam Final,Women's Beam Final,,
GA,W,008,9,3,Women's Beam Qualification,Women's Beam Qualification,,
GA,W,008,M,6,Women's Beam Medal Ceremony,Women's Beam Medal Ceremony,,
GA,W,024,0,8,Women's Individual All-Around,Women's Individual All-Around,,
GA,W,024,1,3,Women's Individual All-Around Final,Women's Individual All-Around Final,,
GA,W,024,9,3,Women's Individual All-Around Qualification,Women's Ind. All-Around Qualification,,
GA,W,024,M,6,Women's Individual All-Around Medal Ceremony,Women's Ind. All-Around Medal Ceremony,,
GA,W,400,0,8,Women's Team,Women's Team,,
GA,W,400,1,3,Women's Team Final,Women's Team Final,,
GA,W,400,9,3,Women's Team Qualification,Women's Team Qualification,,
GA,W,400,M,6,Women's Team Medal Ceremony,Women's Team Medal Ceremony,,
GA,W,000,9,3,Women's Qualification,Women's Qualification,,
GL,0,000,0,8,General,General,,
GR,0,000,0,8,Gymnastics Rhythmic,Gymnastics Rhythmic,,
GR,0,000,Y,8,Gymnastics Rhythmic Daily Schedule,Gymnastics Rhythmic Daily Schedule,,
GR,0,NGA,0,8,National Gymnastics Arena,National Gymnastics Arena,,
GR,W,024,0,8,Individual All-Around,Individual All-Around,,
GR,W,024,1,3,Individual All-Around Final,Individual All-Around Final,,
GR,W,024,9,3,Individual All-Around Qualification,Individual All-Around Qualification,,
GR,W,024,M,6,Individual All-Around Medal Ceremony,Individual All-Around Medal Ceremony,,
GR,W,002,0,8,Individual Hoop,Individual Hoop,,
GR,W,002,1,3,Individual Hoop Final,Individual Hoop Final,,
GR,W,002,9,3,Individual Hoop Qualification,Individual Hoop Qualification,,
GR,W,002,M,6,Individual Hoop Medal Ceremony,Individual Hoop Medal Ceremony,,
GR,W,003,0,8,Individual Ball,Individual Ball,,
GR,W,003,1,3,Individual Ball Final,Individual Ball Final,,
GR,W,003,9,3,Individual Ball Qualification,Individual Ball Qualification,,
GR,W,003,M,6,Individual Ball Medal Ceremony,Individual Ball Medal Ceremony,,
GR,W,004,0,8,Individual Clubs,Individual Clubs,,
GR,W,004,1,3,Individual Clubs Final,Individual Clubs Final,,
GR,W,004,9,3,Individual Clubs Qualification,Individual Clubs Qualification,,
GR,W,004,M,6,Individual Clubs Medal Ceremony,Individual Clubs Medal Ceremony,,
GR,W,005,0,8,Individual Ribbon,Individual Ribbon,,
GR,W,005,1,3,Individual Ribbon Final,Individual Ribbon Final,,
GR,W,005,9,3,Individual Ribbon Qualification,Individual Ribbon Qualification,,
GR,W,005,M,6,Individual Ribbon Medal Ceremony,Individual Ribbon Medal Ceremony,,
GR,W,340,0,8,Group All-Around,Group All-Around,,
GR,W,340,1,3,Group All-Around Final,Group All-Around Final,,
GR,W,340,9,3,Group All-Around Qualification,Group All-Around Qualification,,
GR,W,340,M,6,Group All-Around Medal Ceremony,Group All-Around Medal Ceremony,,
GR,W,301,0,8,Group Ribbon,Group Ribbon,,
GR,W,301,1,3,Group Ribbon Final,Group Ribbon Final,,
GR,W,301,9,3,Group Ribbon Qualification,Group Ribbon Qualification,,
GR,W,301,M,6,Group Ribbon Medal Ceremony,Group Ribbon Medal Ceremony,,
GR,W,302,0,8,Group Clubs & Hoops,Group Clubs & Hoops,,
GR,W,302,1,3,Group Clubs & Hoops Final,Group Clubs & Hoops Final,,
GR,W,302,9,3,Group Clubs & Hoops Qualification,Group Clubs & Hoops Qualification,,
GR,W,302,M,6,Group Clubs & Hoops Medal Ceremony,Group Clubs & Hoops Medal Ceremony,,
GT,0,000,0,8,Gymnastics Trampoline,Gymnastics Trampoline,,
GT,0,000,Y,8,Gymnastics Trampoline Daily Schedule,Gymnastics Trampoline Daily Schedule,,
GT,0,NGA,0,8,National Gymnastics Arena,National Gymnastics Arena,,
GT,M,000,0,8,Men's Gymnastics Trampoline,Men's Gymnastics Trampoline,,
GT,M,001,0,8,Men's Individual,Men's Individual,,
GT,M,001,1,3,Men's Individual Final,Men's Individual Final,,
GT,M,001,9,3,Men's Individual Qualification,Men's Individual Qualification,,
GT,M,001,M,6,Men's Individual Medal Ceremony,Men's Individual Medal Ceremony,,
GT,M,002,0,8,Men's Synchronised,Men's Synchronised,,
GT,M,002,1,3,Men's Synchronised Final,Men's Synchronised Final,,
GT,M,002,9,3,Men's Synchronised Qualification,Men's Synchronised Qualification,,
GT,M,002,M,6,Men's Synchronised Medal Ceremony,Men's Synchronised Medal Ceremony,,
GT,W,000,0,8,Women's Gymnastics Trampoline,Women's Gymnastics Trampoline,,
GT,W,001,0,8,Women's Individual,Women's Individual,,
GT,W,001,1,3,Women's Individual Final,Women's Individual Final,,
GT,W,001,9,3,Women's Individual Qualification,Women's Individual Qualification,,
GT,W,001,M,6,Women's Individual Medal Ceremony,Women's Individual Medal Ceremony,,
GT,W,002,0,8,Women's Synchronised,Women's Synchronised,,
GT,W,002,1,3,Women's Synchronised Final,Women's Synchronised Final,,
GT,W,002,9,3,Women's Synchronised Qualification,Women's Synchronised Qualification,,
GT,W,002,M,6,Women's Synchronised Medal Ceremony,Women's Synchronised Medal Ceremony,,
JU,0,000,0,8,Judo,Judo,,
JU,0,000,Y,8,Judo Daily Schedule,Judo Daily Schedule,,
JU,0,000,Z,8,Judo - Session,Judo - Session,,
JU,M,000,0,8,Men,Men,,
JU,M,060,0,8,Men -60 kg,Men -60 kg,,
JU,M,060,1,3,Men -60 kg Final - Gold Medal,Men -60 kg Final - Gold Medal,,
JU,M,060,2,3,Men -60kg Semifinals / Bronze Medals,Men -60kg Semifinals / Bronze Medals,,
JU,M,060,3,3,Men -60 kg Quarterfinals / Repechages,Men -60 kg Quarterfinals / Repechages,,
JU,M,060,4,3,Men -60 kg Round of 16,Men -60 kg Round of 16,,
JU,M,060,5,3,Men -60 kg Round of 32,Men -60 kg Round of 32,,
JU,M,060,M,6,Men -60 kg Medal Ceremony,Men -60 kg Medal Ceremony,,
JU,M,066,0,8,Men -66 kg,Men -66 kg,,
JU,M,066,1,3,Men -66 kg Final - Gold Medal,Men -66 kg Final - Gold Medal,,
JU,M,066,2,3,Men -66kg Semifinals / Bronze Medals,Men -66kg Semifinals / Bronze Medals,,
JU,M,066,3,3,Men -66 kg Quarterfinals / Repechages,Men -66 kg Quarterfinals / Repechages,,
JU,M,066,4,3,Men -66 kg Round of 16,Men -66 kg Round of 16,,
JU,M,066,5,3,Men -66 kg Round of 32,Men -66 kg Round of 32,,
JU,M,066,M,6,Men -66 kg Medal Ceremony,Men -66 kg Medal Ceremony,,
JU,M,073,0,8,Men -73 kg,Men -73 kg,,
JU,M,073,1,3,Men -73 kg Final - Gold Medal,Men -73 kg Final - Gold Medal,,
JU,M,073,2,3,Men -73kg Semifinals / Bronze Medals,Men -73kg Semifinals / Bronze Medals,,
JU,M,073,3,3,Men -73 kg Quarterfinals / Repechages,Men -73 kg Quarterfinals / Repechages,,
JU,M,073,4,3,Men -73 kg Round of 16,Men -73 kg Round of 16,,
JU,M,073,5,3,Men -73 kg Round of 32,Men -73 kg Round of 32,,
JU,M,073,M,6,Men -73 kg Medal Ceremony,Men -73 kg Medal Ceremony,,
JU,M,081,0,8,Men -81 kg,Men -81 kg,,
JU,M,081,1,3,Men -81 kg Final - Gold Medal,Men -81 kg Final - Gold Medal,,
JU,M,081,2,3,Men -81kg Semifinals / Bronze Medals,Men -81kg Semifinals / Bronze Medals,,
JU,M,081,3,3,Men -81 kg Quarterfinals / Repechages,Men -81 kg Quarterfinals / Repechages,,
JU,M,081,4,3,Men -81 kg Round of 16,Men -81 kg Round of 16,,
JU,M,081,5,3,Men -81 kg Round of 32,Men -81 kg Round of 32,,
JU,M,081,M,6,Men -81 kg Medal Ceremony,Men -81 kg Medal Ceremony,,
JU,M,090,0,8,Men -90 kg,Men -90 kg,,
JU,M,090,1,3,Men -90 kg Final - Gold Medal,Men -90 kg Final - Gold Medal,,
JU,M,090,2,3,Men -90kg Semifinals / Bronze Medals,Men -90kg Semifinals / Bronze Medals,,
JU,M,090,3,3,Men -90 kg Quarterfinals / Repechages,Men -90 kg Quarterfinals / Repechages,,
JU,M,090,4,3,Men -90 kg Round of 16,Men -90 kg Round of 16,,
JU,M,090,5,3,Men -90 kg Round of 32,Men -90 kg Round of 32,,
JU,M,090,M,6,Men -90 kg Medal Ceremony,Men -90 kg Medal Ceremony,,
JU,M,100,0,8,Men -100 kg,Men -100 kg,,
JU,M,100,1,3,Men -100 kg Final - Gold Medal,Men -100 kg Final - Gold Medal,,
JU,M,100,2,3,Men -100kg Semifinals / Bronze Medals,Men -100kg Semifinals / Bronze Medals,,
JU,M,100,3,3,Men -100 kg Quarterfinals / Repechages,Men -100 kg Quarterfinals / Repechages,,
JU,M,100,4,3,Men -100 kg Round of 16,Men -100 kg Round of 16,,
JU,M,100,5,3,Men -100 kg Round of 32,Men -100 kg Round of 32,,
JU,M,100,M,6,Men -100 kg Medal Ceremony,Men -100 kg Medal Ceremony,,
JU,M,200,0,8,Men +100 kg,Men +100 kg,,
JU,M,200,1,3,Men +100 kg Final - Gold Medal,Men +100 kg Final - Gold Medal,,
JU,M,200,2,3,Men +100kg Semifinals / Bronze Medals,Men +100kg Semifinals / Bronze Medals,,
JU,M,200,3,3,Men +100 kg Quarterfinals / Repechages,Men +100 kg Quarterfinals / Repechages,,
JU,M,200,4,3,Men +100 kg Round of 16,Men +100 kg Round of 16,,
JU,M,200,5,3,Men +100 kg Round of 32,Men +100 kg Round of 32,,
JU,M,200,M,6,Men +100 kg Medal Ceremony,Men +100 kg Medal Ceremony,,
JU,M,155,0,8,Men Team,Men Team,,
JU,M,155,1,3,Men Team Final - Gold Medal,Men Team Final - Gold Medal,,
JU,M,155,2,3,Men Team Semifinals / Bronze Medals,Men Team Semifinals / Bronze Medals,,
JU,M,155,3,3,Men Team Quarterfinals / Repechages,Men Team Quarterfinals / Repechages,,
JU,M,155,4,3,Men Team Round of 16,Men Team Round of 16,,
JU,M,155,5,3,Men Team Round of 32,Men Team Round of 32,,
JU,M,155,M,6,Men Team Medal Ceremony,Men Team Medal Ceremony,,
JU,M,190,0,8,Men +90 kg Blind Judo,Men +90 kg Blind Judo,,
JU,M,190,1,3,Men +90 kg Blind Judo Final - Gold Medal,Men +90 kg Blind Judo Final - Gold Medal,,
JU,M,190,2,3,Men +90 kg Blind Judo Semifinals / Bronze Medals,Men +90 kg Blind Judo Semif / Bronze Medals,,
JU,M,190,3,3,Men +90 kg Blind Judo Quarterfinals / Repechages,Men +90 kg Blind Judo Quarterf / Rep,,
JU,M,190,4,3,Men +90 kg Blind Judo Round of 16,Men +90 kg Blind Judo Round of 16,,
JU,M,190,M,6,Men +90 kg Blind Judo Medal Ceremony,Men -90 kg Medal Ceremony,,
JU,W,000,0,8,Women,Women,,
JU,W,048,0,8,Women -48 kg,Women -48 kg,,
JU,W,048,1,3,Women -48 kg Final - Gold Medal,Women -48 kg Final - Gold Medal,,
JU,W,048,2,3,Women -48kg Semifinals / Bronze Medals,Women -48kg Semifinals / Bronze Medals,,
JU,W,048,3,3,Women -48 kg Quarterfinals / Repechages,Women -48 kg Quarterfinals / Repechages,,
JU,W,048,4,3,Women -48 kg Round of 16,Women -48 kg Round of 16,,
JU,W,048,5,3,Women -48 kg Round of 32,Women -48 kg Round of 32,,
JU,W,048,M,6,Women -48 kg Medal Ceremony,Women -48 kg Medal Ceremony,,
JU,W,052,0,8,Women -52 kg,Women -52 kg,,
JU,W,052,1,3,Women -52 kg Final - Gold Medal,Women -52 kg Final - Gold Medal,,
JU,W,052,2,3,Women -52kg Semifinals / Bronze Medals,Women -52kg Semifinals / Bronze Medals,,
JU,W,052,3,3,Women -52 kg Quarterfinals / Repechages,Women -52 kg Quarterfinals / Repechages,,
JU,W,052,4,3,Women -52 kg Round of 16,Women -52 kg Round of 16,,
JU,W,052,5,3,Women -52 kg Round of 32,Women -52 kg Round of 32,,
JU,W,052,M,6,Women -52 kg Medal Ceremony,Women -52 kg Medal Ceremony,,
JU,W,057,0,8,Women -57 kg,Women -57 kg,,
JU,W,057,1,3,Women -57 kg Final - Gold Medal,Women -57 kg Final - Gold Medal,,
JU,W,057,2,3,Women -57kg Semifinals / Bronze Medals,Women -57kg Semifinals / Bronze Medals,,
JU,W,057,3,3,Women -57 kg Quarterfinals / Repechages,Women -57 kg Quarterfinals / Repechages,,
JU,W,057,4,3,Women -57 kg Round of 16,Women -57 kg Round of 16,,
JU,W,057,5,3,Women -57 kg Round of 32,Women -57 kg Round of 32,,
JU,W,057,M,6,Women -57 kg Medal Ceremony,Women -57 kg Medal Ceremony,,
JU,W,063,0,8,Women -63 kg,Women -63 kg,,
JU,W,063,1,3,Women -63 kg Final - Gold Medal,Women -63 kg Final - Gold Medal,,
JU,W,063,2,3,Women -63kg Semifinals / Bronze Medals,Women -63kg Semifinals / Bronze Medals,,
JU,W,063,3,3,Women -63 kg Quarterfinals / Repechages,Women -63 kg Quarterfinals / Repechages,,
JU,W,063,4,3,Women -63 kg Round of 16,Women -63 kg Round of 16,,
JU,W,063,5,3,Women -63 kg Round of 32,Women -63 kg Round of 32,,
JU,W,063,M,6,Women -63 kg Medal Ceremony,Women -63 kg Medal Ceremony,,
JU,W,070,0,8,Women -70 kg,Women -70 kg,,
JU,W,070,1,3,Women -70 kg Final - Gold Medal,Women -70 kg Final - Gold Medal,,
JU,W,070,2,3,Women -70kg Semifinals / Bronze Medals,Women -70kg Semifinals / Bronze Medals,,
JU,W,070,3,3,Women -70 kg Quarterfinals / Repechages,Women -70 kg Quarterfinals / Repechages,,
JU,W,070,4,3,Women -70 kg Round of 16,Women -70 kg Round of 16,,
JU,W,070,5,3,Women -70 kg Round of 32,Women -70 kg Round of 32,,
JU,W,070,M,6,Women -70 kg Medal Ceremony,Women -70 kg Medal Ceremony,,
JU,W,078,0,8,Women -78 kg,Women -78 kg,,
JU,W,078,1,3,Women -78 kg Final - Gold Medal,Women -78 kg Final - Gold Medal,,
JU,W,078,2,3,Women -78kg Semifinals / Bronze Medals,Women -78kg Semifinals / Bronze Medals,,
JU,W,078,3,3,Women -78 kg Quarterfinals / Repechages,Women -78 kg Quarterfinals / Repechages,,
JU,W,078,4,3,Women -78 kg Round of 16,Women -78 kg Round of 16,,
JU,W,078,5,3,Women -78 kg Round of 32,Women -78 kg Round of 32,,
JU,W,078,M,6,Women -78 kg Medal Ceremony,Women -78 kg Medal Ceremony,,
JU,W,178,0,8,Women +78 kg,Women +78 kg,,
JU,W,178,1,3,Women +78 kg Final - Gold Medal,Women +78 kg Final - Gold Medal,,
JU,W,178,2,3,Women +78kg Semifinals / Bronze Medals,Women +78kg Semifinals / Bronze Medals,,
JU,W,178,3,3,Women +78 kg Quarterfinals / Repechages,Women +78 kg Quarterfinals / Repechages,,
JU,W,178,4,3,Women +78 kg Round of 16,Women +78 kg Round of 16,,
JU,W,178,5,3,Women +78 kg Round of 32,Women +78 kg Round of 32,,
JU,W,178,M,6,Women +78 kg Medal Ceremony,Women +78 kg Medal Ceremony,,
JU,W,155,0,8,Women Team,Women Team,,
JU,W,155,1,3,Women Team Final - Gold Medal,Women Team Final - Gold Medal,,
JU,W,155,2,3,Women Team Semifinals / Bronze Medals,Women Team Semifinals / Bronze Medals,,
JU,W,155,3,3,Women Team Quarterfinals / Repechages,Women Team Quarterfinals / Repechages,,
JU,W,155,4,3,Women Team Round of 16,Women Team Round of 16,,
JU,W,155,5,3,Women Team Round of 32,Women Team Round of 32,,
JU,W,155,M,6,Women Team Medal Ceremony,Women Team Medal Ceremony,,
JU,W,157,0,8,Women -57 kg Blind Judo,Women -57 kg Blind Judo,,
JU,W,157,1,3,Women -57 kg Blind Judo Final - Gold Medal,Women -57 kg Blind Judo Final - Gold Med,,
JU,W,157,2,3,Women -57 kg Blind Judo Semifinals / Bronze Medals,Women -57 kg Blind Judo Semif / Bronze Medals,,
JU,W,157,3,3,Women -57 kg Blind Judo Quarterfinals / Repechages,Women -57 kg Blind Judo Quarterf / Rep,,
JU,W,157,4,3,Women -57 kg Blind Judo Round of 16,Women -57kg Blind Judo Round of 16,,
JU,W,157,M,6,Women -57 kg Blind Judo Medal Ceremony,Women -57 kg Medal Ceremony,,
KA,0,000,0,8,Karate,Karate,,
KA,0,CH3,0,8,Crystal Hall 3,Crystal Hall 3,,
KA,M,000,0,8,Karate - Men,Karate - Men,,
KA,M,001,0,8,Men's Kata,Men's Kata,,
KA,M,001,1,3,Men's Kata Medals Round,Men's Kata Medals Round,,
KA,M,001,2,3,Men's Kata Semifinals Round,Men's Kata Semifinals Round,,
KA,M,001,3,3,Men's Kata Elimination Round,Men's Kata Elimination Round,,
KA,M,001,A,3,Men's Kata Elimination Round - Pool A,Men's Kata Elimination Round - Pool A,,
KA,M,001,B,3,Men's Kata Elimination Round - Pool B,Men's Kata Elimination Round - Pool B,,
KA,M,001,M,6,Men's Kata Medal Ceremony,Men's Kata Medal Ceremony,,
KA,M,060,0,8,Men's Kumite -60 kg,Men's Kumite -60 kg,,
KA,M,060,1,3,Men's Kumite -60 kg Medals Round,Men's Kumite -60 kg Medals Round,,
KA,M,060,2,3,Men's Kumite -60 kg Semifinals Round,Men's Kumite -60 kg Semifinals Round,,
KA,M,060,3,3,Men's Kumite -60 kg Elimination Round,Men's Kumite -60 kg Elimination Round,,
KA,M,060,A,3,Men's Kumite -60 kg Elimination Round - Pool A,Men's Kumite -60 kg Elimination Pool A,,
KA,M,060,B,3,Men's Kumite -60 kg Elimination Round - Pool B,Men's Kumite -60 kg Elimination Pool B,,
KA,M,060,C,3,Men's Kumite -60 kg Play Off - Pool A,Men's Kumite -60 kg Play Off Pool A,,
KA,M,060,D,3,Men's Kumite -60 kg Play Off - Pool B,Men's Kumite -60 kg Play Off Pool B,,
KA,M,060,M,6,Men's Kumite -60 kg Medal Ceremony,Men's Kumite -60 kg Medal Ceremony,,
KA,M,067,0,8,Men's Kumite -67 kg,Men's Kumite -67 kg,,
KA,M,067,1,3,Men's Kumite -67 kg Medals Round,Men's Kumite -67 kg Medals Round,,
KA,M,067,2,3,Men's Kumite -67 kg Semifinals Round,Men's Kumite -67 kg Semifinals Round,,
KA,M,067,3,3,Men's Kumite -67 kg Elimination Round,Men's Kumite -67 kg Elimination Round,,
KA,M,067,A,3,Men's Kumite -67 kg Elimination Round - Pool A,Men's Kumite -67 kg Elimination  Pool A,,
KA,M,067,B,3,Men's Kumite -67 kg Elimination Round - Pool B,Men's Kumite -67 kg Elimination Pool B,,
KA,M,067,C,3,Men's Kumite -67 kg Play Off - Pool A,Men's Kumite -67 kg Play Off Pool A,,
KA,M,067,D,3,Men's Kumite -67 kg Play Off - Pool B,Men's Kumite -67 kg Play Off Pool B,,
KA,M,067,M,6,Men's Kumite -67 kg Medal Ceremony,Men's Kumite -67 kg Medal Ceremony,,
KA,M,075,0,8,Men's Kumite -75 kg,Men's Kumite -75 kg,,
