Discipline,Gender,Event,Phase,Event Unit,Schedule Flag,Medal Flag,Event Unit Type,ENG Results Long Name (80),ENG Results Short Name (40),ENG Print Name (40),ENG TV Name,AZE Results Long Name (80),AZE Results Short Name (40),AZE Print Name (40)
FE,W,003,A,06,Y,0,HATH,Women's Sabre Individual Pool Round Group A Bout 6,Women's Sabre Ind Pool Round Gr A Bout 6,Pool Round Group A Bout 6,,,,
FE,W,003,A,07,Y,0,HATH,Women's Sabre Individual Pool Round Group A Bout 7,Women's Sabre Ind Pool Round Gr A Bout 7,Pool Round Group A Bout 7,,,,
FE,W,003,A,08,Y,0,HATH,Women's Sabre Individual Pool Round Group A Bout 8,Women's Sabre Ind Pool Round Gr A Bout 8,Pool Round Group A Bout 8,,,,
FE,W,003,A,09,Y,0,HATH,Women's Sabre Individual Pool Round Group A Bout 9,Women's Sabre Ind Pool Round Gr A Bout 9,Pool Round Group A Bout 9,,,,
FE,W,003,A,10,Y,0,HATH,Women's Sabre Individual Pool Round Group A Bout 10,Women's Sabre Ind Pool Round GrA Bout 10,Pool Round Group A Bout 10,,,,
FE,W,003,A,11,Y,0,HATH,Women's Sabre Individual Pool Round Group A Bout 11,Women's Sabre Ind Pool Round GrA Bout 11,Pool Round Group A Bout 11,,,,
FE,W,003,A,12,Y,0,HATH,Women's Sabre Individual Pool Round Group A Bout 12,Women's Sabre Ind Pool Round GrA Bout 12,Pool Round Group A Bout 12,,,,
FE,W,003,A,13,Y,0,HATH,Women's Sabre Individual Pool Round Group A Bout 13,Women's Sabre Ind Pool Round GrA Bout 13,Pool Round Group A Bout 13,,,,
FE,W,003,A,14,Y,0,HATH,Women's Sabre Individual Pool Round Group A Bout 14,Women's Sabre Ind Pool Round GrA Bout 14,Pool Round Group A Bout 14,,,,
FE,W,003,A,15,Y,0,HATH,Women's Sabre Individual Pool Round Group A Bout 15,Women's Sabre Ind Pool Round GrA Bout 15,Pool Round Group A Bout 15,,,,
FE,W,003,A,16,Y,0,HATH,Women's Sabre Individual Pool Round Group A Bout 16,Women's Sabre Ind Pool Round Gr A Bout 16,Pool Round Group A Bout 16,,,,
FE,W,003,A,17,Y,0,HATH,Women's Sabre Individual Pool Round Group A Bout 17,Women's Sabre Ind Pool Round Gr A Bout 17,Pool Round Group A Bout 17,,,,
FE,W,003,A,18,Y,0,HATH,Women's Sabre Individual Pool Round Group A Bout 18,Women's Sabre Ind Pool Round Gr A Bout 18,Pool Round Group A Bout 18,,,,
FE,W,003,A,19,Y,0,HATH,Women's Sabre Individual Pool Round Group A Bout 19,Women's Sabre Ind Pool Round Gr A Bout 19,Pool Round Group A Bout 19,,,,
FE,W,003,A,20,Y,0,HATH,Women's Sabre Individual Pool Round Group A Bout 20,Women's Sabre Ind Pool Round Gr A Bout 20,Pool Round Group A Bout 20,,,,
FE,W,003,A,21,Y,0,HATH,Women's Sabre Individual Pool Round Group A Bout 21,Women's Sabre Ind Pool Round Gr A Bout 21,Pool Round Group A Bout 21,,,,
FE,W,003,B,01,Y,0,HATH,Women's Sabre Individual Pool Round Group B Bout 1,Women's Sabre Ind Pool Round Gr B Bout 1,Pool Round Group B Bout 1,,,,
FE,W,003,B,02,Y,0,HATH,Women's Sabre Individual Pool Round Group B Bout 2,Women's Sabre Ind Pool Round Gr B Bout 2,Pool Round Group B Bout 2,,,,
FE,W,003,B,03,Y,0,HATH,Women's Sabre Individual Pool Round Group B Bout 3,Women's Sabre Ind Pool Round Gr B Bout 3,Pool Round Group B Bout 3,,,,
FE,W,003,B,04,Y,0,HATH,Women's Sabre Individual Pool Round Group B Bout 4,Women's Sabre Ind Pool Round Gr B Bout 4,Pool Round Group B Bout 4,,,,
FE,W,003,B,05,Y,0,HATH,Women's Sabre Individual Pool Round Group B Bout 5,Women's Sabre Ind Pool Round Gr B Bout 5,Pool Round Group B Bout 5,,,,
FE,W,003,B,06,Y,0,HATH,Women's Sabre Individual Pool Round Group B Bout 6,Women's Sabre Ind Pool Round Gr B Bout 6,Pool Round Group B Bout 6,,,,
FE,W,003,B,07,Y,0,HATH,Women's Sabre Individual Pool Round Group B Bout 7,Women's Sabre Ind Pool Round Gr B Bout 7,Pool Round Group B Bout 7,,,,
FE,W,003,B,08,Y,0,HATH,Women's Sabre Individual Pool Round Group B Bout 8,Women's Sabre Ind Pool Round Gr B Bout 8,Pool Round Group B Bout 8,,,,
FE,W,003,B,09,Y,0,HATH,Women's Sabre Individual Pool Round Group B Bout 9,Women's Sabre Ind Pool Round Gr B Bout 9,Pool Round Group B Bout 9,,,,
FE,W,003,B,10,Y,0,HATH,Women's Sabre Individual Pool Round Group B Bout 10,Women's Sabre Ind Pool Round GrB Bout 10,Pool Round Group B Bout 10,,,,
FE,W,003,B,11,Y,0,HATH,Women's Sabre Individual Pool Round Group B Bout 11,Women's Sabre Ind Pool Round GrB Bout 11,Pool Round Group B Bout 11,,,,
FE,W,003,B,12,Y,0,HATH,Women's Sabre Individual Pool Round Group B Bout 12,Women's Sabre Ind Pool Round GrB Bout 12,Pool Round Group B Bout 12,,,,
FE,W,003,B,13,Y,0,HATH,Women's Sabre Individual Pool Round Group B Bout 13,Women's Sabre Ind Pool Round GrB Bout 13,Pool Round Group B Bout 13,,,,
FE,W,003,B,14,Y,0,HATH,Women's Sabre Individual Pool Round Group B Bout 14,Women's Sabre Ind Pool Round GrB Bout 14,Pool Round Group B Bout 14,,,,
FE,W,003,B,15,Y,0,HATH,Women's Sabre Individual Pool Round Group B Bout 15,Women's Sabre Ind Pool Round GrB Bout 15,Pool Round Group B Bout 15,,,,
FE,W,003,B,16,Y,0,HATH,Women's Sabre Individual Pool Round Group B Bout 16,Women's Sabre Ind Pool Round Gr B Bout 16,Pool Round Group B Bout 16,,,,
FE,W,003,B,17,Y,0,HATH,Women's Sabre Individual Pool Round Group B Bout 17,Women's Sabre Ind Pool Round Gr B Bout 17,Pool Round Group B Bout 17,,,,
FE,W,003,B,18,Y,0,HATH,Women's Sabre Individual Pool Round Group B Bout 18,Women's Sabre Ind Pool Round Gr B Bout 18,Pool Round Group B Bout 18,,,,
FE,W,003,B,19,Y,0,HATH,Women's Sabre Individual Pool Round Group B Bout 19,Women's Sabre Ind Pool Round Gr B Bout 19,Pool Round Group B Bout 19,,,,
FE,W,003,B,20,Y,0,HATH,Women's Sabre Individual Pool Round Group B Bout 20,Women's Sabre Ind Pool Round Gr B Bout 20,Pool Round Group B Bout 20,,,,
FE,W,003,B,21,Y,0,HATH,Women's Sabre Individual Pool Round Group B Bout 21,Women's Sabre Ind Pool Round Gr B Bout 21,Pool Round Group B Bout 21,,,,
FE,W,003,C,01,Y,0,HATH,Women's Sabre Individual Pool Round Group C Bout 1,Women's Sabre Ind Pool Round Gr C Bout 1,Pool Round Group C Bout 1,,,,
FE,W,003,C,02,Y,0,HATH,Women's Sabre Individual Pool Round Group C Bout 2,Women's Sabre Ind Pool Round Gr C Bout 2,Pool Round Group C Bout 2,,,,
FE,W,003,C,03,Y,0,HATH,Women's Sabre Individual Pool Round Group C Bout 3,Women's Sabre Ind Pool Round Gr C Bout 3,Pool Round Group C Bout 3,,,,
FE,W,003,C,04,Y,0,HATH,Women's Sabre Individual Pool Round Group C Bout 4,Women's Sabre Ind Pool Round Gr C Bout 4,Pool Round Group C Bout 4,,,,
FE,W,003,C,05,Y,0,HATH,Women's Sabre Individual Pool Round Group C Bout 5,Women's Sabre Ind Pool Round Gr C Bout 5,Pool Round Group C Bout 5,,,,
FE,W,003,C,06,Y,0,HATH,Women's Sabre Individual Pool Round Group C Bout 6,Women's Sabre Ind Pool Round Gr C Bout 6,Pool Round Group C Bout 6,,,,
FE,W,003,C,07,Y,0,HATH,Women's Sabre Individual Pool Round Group C Bout 7,Women's Sabre Ind Pool Round Gr C Bout 7,Pool Round Group C Bout 7,,,,
FE,W,003,C,08,Y,0,HATH,Women's Sabre Individual Pool Round Group C Bout 8,Women's Sabre Ind Pool Round Gr C Bout 8,Pool Round Group C Bout 8,,,,
FE,W,003,C,09,Y,0,HATH,Women's Sabre Individual Pool Round Group C Bout 9,Women's Sabre Ind Pool Round Gr C Bout 9,Pool Round Group C Bout 9,,,,
FE,W,003,C,10,Y,0,HATH,Women's Sabre Individual Pool Round Group C Bout 10,Women's Sabre Ind Pool Round GrC Bout 10,Pool Round Group C Bout 10,,,,
FE,W,003,C,11,Y,0,HATH,Women's Sabre Individual Pool Round Group C Bout 11,Women's Sabre Ind Pool Round GrC Bout 11,Pool Round Group C Bout 11,,,,
FE,W,003,C,12,Y,0,HATH,Women's Sabre Individual Pool Round Group C Bout 12,Women's Sabre Ind Pool Round GrC Bout 12,Pool Round Group C Bout 12,,,,
FE,W,003,C,13,Y,0,HATH,Women's Sabre Individual Pool Round Group C Bout 13,Women's Sabre Ind Pool Round GrC Bout 13,Pool Round Group C Bout 13,,,,
FE,W,003,C,14,Y,0,HATH,Women's Sabre Individual Pool Round Group C Bout 14,Women's Sabre Ind Pool Round GrC Bout 14,Pool Round Group C Bout 14,,,,
FE,W,003,C,15,Y,0,HATH,Women's Sabre Individual Pool Round Group C Bout 15,Women's Sabre Ind Pool Round GrC Bout 15,Pool Round Group C Bout 15,,,,
FE,W,003,C,16,Y,0,HATH,Women's Sabre Individual Pool Round Group C Bout 16,Women's Sabre Ind Pool Round Gr C Bout 16,Pool Round Group C Bout 16,,,,
FE,W,003,C,17,Y,0,HATH,Women's Sabre Individual Pool Round Group C Bout 17,Women's Sabre Ind Pool Round Gr C Bout 17,Pool Round Group C Bout 17,,,,
FE,W,003,C,18,Y,0,HATH,Women's Sabre Individual Pool Round Group C Bout 18,Women's Sabre Ind Pool Round Gr C Bout 18,Pool Round Group C Bout 18,,,,
FE,W,003,C,19,Y,0,HATH,Women's Sabre Individual Pool Round Group C Bout 19,Women's Sabre Ind Pool Round Gr C Bout 19,Pool Round Group C Bout 19,,,,
FE,W,003,C,20,Y,0,HATH,Women's Sabre Individual Pool Round Group C Bout 20,Women's Sabre Ind Pool Round Gr C Bout 20,Pool Round Group C Bout 20,,,,
FE,W,003,C,21,Y,0,HATH,Women's Sabre Individual Pool Round Group C Bout 21,Women's Sabre Ind Pool Round Gr C Bout 21,Pool Round Group C Bout 21,,,,
FE,W,003,D,01,Y,0,HATH,Women's Sabre Individual Pool Round Group D Bout 1,Women's Sabre Ind Pool Round Gr D Bout 1,Pool Round Group D Bout 1,,,,
FE,W,003,D,02,Y,0,HATH,Women's Sabre Individual Pool Round Group D Bout 2,Women's Sabre Ind Pool Round Gr D Bout 2,Pool Round Group D Bout 2,,,,
FE,W,003,D,03,Y,0,HATH,Women's Sabre Individual Pool Round Group D Bout 3,Women's Sabre Ind Pool Round Gr D Bout 3,Pool Round Group D Bout 3,,,,
FE,W,003,D,04,Y,0,HATH,Women's Sabre Individual Pool Round Group D Bout 4,Women's Sabre Ind Pool Round Gr D Bout 4,Pool Round Group D Bout 4,,,,
FE,W,003,D,05,Y,0,HATH,Women's Sabre Individual Pool Round Group D Bout 5,Women's Sabre Ind Pool Round Gr D Bout 5,Pool Round Group D Bout 5,,,,
FE,W,003,D,06,Y,0,HATH,Women's Sabre Individual Pool Round Group D Bout 6,Women's Sabre Ind Pool Round Gr D Bout 6,Pool Round Group D Bout 6,,,,
FE,W,003,D,07,Y,0,HATH,Women's Sabre Individual Pool Round Group D Bout 7,Women's Sabre Ind Pool Round Gr D Bout 7,Pool Round Group D Bout 7,,,,
FE,W,003,D,08,Y,0,HATH,Women's Sabre Individual Pool Round Group D Bout 8,Women's Sabre Ind Pool Round Gr D Bout 8,Pool Round Group D Bout 8,,,,
FE,W,003,D,09,Y,0,HATH,Women's Sabre Individual Pool Round Group D Bout 9,Women's Sabre Ind Pool Round Gr D Bout 9,Pool Round Group D Bout 9,,,,
FE,W,003,D,10,Y,0,HATH,Women's Sabre Individual Pool Round Group D Bout 10,Women's Sabre Ind Pool Round GrD Bout 10,Pool Round Group D Bout 10,,,,
FE,W,003,D,11,Y,0,HATH,Women's Sabre Individual Pool Round Group D Bout 11,Women's Sabre Ind Pool Round GrD Bout 11,Pool Round Group D Bout 11,,,,
FE,W,003,D,12,Y,0,HATH,Women's Sabre Individual Pool Round Group D Bout 12,Women's Sabre Ind Pool Round GrD Bout 12,Pool Round Group D Bout 12,,,,
FE,W,003,D,13,Y,0,HATH,Women's Sabre Individual Pool Round Group D Bout 13,Women's Sabre Ind Pool Round GrD Bout 13,Pool Round Group D Bout 13,,,,
FE,W,003,D,14,Y,0,HATH,Women's Sabre Individual Pool Round Group D Bout 14,Women's Sabre Ind Pool Round GrD Bout 14,Pool Round Group D Bout 14,,,,
FE,W,003,D,15,Y,0,HATH,Women's Sabre Individual Pool Round Group D Bout 15,Women's Sabre Ind Pool Round GrD Bout 15,Pool Round Group D Bout 15,,,,
FE,W,003,D,16,Y,0,HATH,Women's Sabre Individual Pool Round Group D Bout 16,Women's Sabre Ind Pool Round Gr D Bout 16,Pool Round Group D Bout 16,,,,
FE,W,003,D,17,Y,0,HATH,Women's Sabre Individual Pool Round Group D Bout 16,Women's Sabre Ind Pool Round Gr D Bout 17,Pool Round Group D Bout 17,,,,
FE,W,003,D,18,Y,0,HATH,Women's Sabre Individual Pool Round Group D Bout 16,Women's Sabre Ind Pool Round Gr D Bout 18,Pool Round Group D Bout 18,,,,
FE,W,003,D,19,Y,0,HATH,Women's Sabre Individual Pool Round Group D Bout 16,Women's Sabre Ind Pool Round Gr D Bout 19,Pool Round Group D Bout 19,,,,
FE,W,003,D,20,Y,0,HATH,Women's Sabre Individual Pool Round Group D Bout 16,Women's Sabre Ind Pool Round Gr D Bout 20,Pool Round Group D Bout 20,,,,
FE,W,003,D,21,Y,0,HATH,Women's Sabre Individual Pool Round Group D Bout 16,Women's Sabre Ind Pool Round Gr D Bout 21,Pool Round Group D Bout 21,,,,
FE,W,003,E,01,Y,0,HATH,Women's Sabre Individual Pool Round Group E Bout 1,Women's Sabre Ind Pool Round Gr E Bout 1,Pool Round Group E Bout 1,,,,
FE,W,003,E,02,Y,0,HATH,Women's Sabre Individual Pool Round Group E Bout 2,Women's Sabre Ind Pool Round Gr E Bout 2,Pool Round Group E Bout 2,,,,
FE,W,003,E,03,Y,0,HATH,Women's Sabre Individual Pool Round Group E Bout 3,Women's Sabre Ind Pool Round Gr E Bout 3,Pool Round Group E Bout 3,,,,
FE,W,003,E,04,Y,0,HATH,Women's Sabre Individual Pool Round Group E Bout 4,Women's Sabre Ind Pool Round Gr E Bout 4,Pool Round Group E Bout 4,,,,
FE,W,003,E,05,Y,0,HATH,Women's Sabre Individual Pool Round Group E Bout 5,Women's Sabre Ind Pool Round Gr E Bout 5,Pool Round Group E Bout 5,,,,
FE,W,003,E,06,Y,0,HATH,Women's Sabre Individual Pool Round Group E Bout 6,Women's Sabre Ind Pool Round Gr E Bout 6,Pool Round Group E Bout 6,,,,
FE,W,003,E,07,Y,0,HATH,Women's Sabre Individual Pool Round Group E Bout 7,Women's Sabre Ind Pool Round Gr E Bout 7,Pool Round Group E Bout 7,,,,
FE,W,003,E,08,Y,0,HATH,Women's Sabre Individual Pool Round Group E Bout 8,Women's Sabre Ind Pool Round Gr E Bout 8,Pool Round Group E Bout 8,,,,
FE,W,003,E,09,Y,0,HATH,Women's Sabre Individual Pool Round Group E Bout 9,Women's Sabre Ind Pool Round Gr E Bout 9,Pool Round Group E Bout 9,,,,
FE,W,003,E,10,Y,0,HATH,Women's Sabre Individual Pool Round Group E Bout 10,Women's Sabre Ind Pool Round GrE Bout 10,Pool Round Group E Bout 10,,,,
FE,W,003,E,11,Y,0,HATH,Women's Sabre Individual Pool Round Group E Bout 11,Women's Sabre Ind Pool Round GrE Bout 11,Pool Round Group E Bout 11,,,,
FE,W,003,E,12,Y,0,HATH,Women's Sabre Individual Pool Round Group E Bout 12,Women's Sabre Ind Pool Round GrE Bout 12,Pool Round Group E Bout 12,,,,
FE,W,003,E,13,Y,0,HATH,Women's Sabre Individual Pool Round Group E Bout 13,Women's Sabre Ind Pool Round GrE Bout 13,Pool Round Group E Bout 13,,,,
FE,W,003,E,14,Y,0,HATH,Women's Sabre Individual Pool Round Group E Bout 14,Women's Sabre Ind Pool Round GrE Bout 14,Pool Round Group E Bout 14,,,,
FE,W,003,E,15,Y,0,HATH,Women's Sabre Individual Pool Round Group E Bout 15,Women's Sabre Ind Pool Round GrE Bout 15,Pool Round Group E Bout 15,,,,
FE,W,003,E,16,Y,0,HATH,Women's Sabre Individual Pool Round Group E Bout 16,Women's Sabre Ind Pool Round Gr E Bout 16,Pool Round Group E Bout 16,,,,
FE,W,003,E,17,Y,0,HATH,Women's Sabre Individual Pool Round Group E Bout 17,Women's Sabre Ind Pool Round Gr E Bout 17,Pool Round Group E Bout 17,,,,
