Discipline,Gender,Event,phase,Eventunit,schedule,medalflag,ENG Description,POR Description,ENG longdescription,POR longdescription,Level,Order,Eventunittype,cisSchedule,infoSchedule,Competition Schedule Description,ENG unit Description,POR unit Description
TT,W,005,1,01,Y,1,Women's Singles - Cl 5 Gold Mdl Match,"Simples feminino - classe 5, ouro",Women's Singles - Class 5 Gold Medal Match,"Simples feminino - classe 5, disputa pelo ouro",EventUnit,15,HATH,N,Y,Women's Singles - Class 5 Gold Medal Match,Gold Medal Match,Disputa pelo ouro
TT,W,005,1,02,Y,2,Women's Singles - Cl 5 Bronze Mdl Match,"Simples feminino - classe 5, bronze",Women's Singles - Class 5 Bronze Medal Match,"Simples feminino - classe 5, disputa pelo bronze",EventUnit,15,HATH,N,Y,Women's Singles - Class 5 Bronze Medal Match,Bronze Medal Match,Disputa pelo bronze
TT,W,005,2,00,N,0,Women's Singles - Class 5 Semifinals,"Simples fem - classe 5, semifinais",Women's Singles - Class 5 Semifinals,"Simples feminino - classe 5, semifinais",Phase,14,NONE,N,N,Women's Singles - Class 5 Semifinals,Semifinals,Semifinais
TT,W,005,2,01,Y,0,Women's Singles - Class 5 Semifinal 1,"Simples fem - classe 5, semifinal 1",Women's Singles - Class 5 Semifinal 1,"Simples feminino - classe 5, semifinal 1",EventUnit,15,HATH,N,Y,Women's Singles - Class 5 Semifinal 1,Semifinal 1,Semifinal 1
TT,W,005,2,02,Y,0,Women's Singles - Class 5 Semifinal 2,"Simples fem - classe 5, semifinal 2",Women's Singles - Class 5 Semifinal 2,"Simples feminino - classe 5, semifinal 2",EventUnit,15,HATH,N,Y,Women's Singles - Class 5 Semifinal 2,Semifinal 2,Semifinal 2
TT,W,005,3,00,N,0,Women's Singles - Cl 5 Quarterfinals,"Simples fem - classe 5, quartas",Women's Singles - Class 5 Quarterfinals,"Simples feminino - classe 5, quartas de final",Phase,14,NONE,N,N,Women's Singles - Class 5 Quarterfinals,Quarterfinals,Quartas de finais
TT,W,005,3,01,Y,0,Women's Singles - Cl 5 Quarterfinal 1,"Simples fem - classe 5, quartas 1",Women's Singles - Class 5 Quarterfinal 1,"Simples feminino - classe 5, quartas de final 1",EventUnit,15,HATH,N,Y,Women's Singles - Class 5 Quarterfinal 1,Quarterfinal 1,Quartas de final 1
TT,W,005,3,02,Y,0,Women's Singles - Cl 5 Quarterfinal 2,"Simples fem - classe 5, quartas 2",Women's Singles - Class 5 Quarterfinal 2,"Simples feminino - classe 5, quartas de final 2",EventUnit,15,HATH,N,Y,Women's Singles - Class 5 Quarterfinal 2,Quarterfinal 2,Quartas de final 2
TT,W,005,3,03,Y,0,Women's Singles - Cl 5 Quarterfinal 3,"Simples fem - classe 5, quartas 3",Women's Singles - Class 5 Quarterfinal 3,"Simples feminino - classe 5, quartas de final 3",EventUnit,15,HATH,N,Y,Women's Singles - Class 5 Quarterfinal 3,Quarterfinal 3,Quartas de final 3
TT,W,005,3,04,Y,0,Women's Singles - Cl 5 Quarterfinal 4,"Simples fem - classe 5, quartas 4",Women's Singles - Class 5 Quarterfinal 4,"Simples feminino - classe 5, quartas de final 4",EventUnit,15,HATH,N,Y,Women's Singles - Class 5 Quarterfinal 4,Quarterfinal 4,Quartas de final 4
