Discipline,Gender,Event,order,ENG Description,POR Description,ENG longdescription,POR longdescription,Team Event
SW,M,187,27,Men's 400m Freestyle - S7,400m livre masculino - S7,Men's 400m Freestyle - S7,400m livre masculino - S7,N
SW,M,188,28,Men's 400m Freestyle - S8,400m livre masculino - S8,Men's 400m Freestyle - S8,400m livre masculino - S8,N
SW,M,189,29,Men's 400m Freestyle - S9,400m livre masculino - S9,Men's 400m Freestyle - S9,400m livre masculino - S9,N
SW,M,190,30,Men's 400m Freestyle - S10,400m livre masculino - S10,Men's 400m Freestyle - S10,400m livre masculino - S10,N
SW,M,191,31,Men's 400m Freestyle - S11,400m livre masculino - S11,Men's 400m Freestyle - S11,400m livre masculino - S11,N
SW,M,193,32,Men's 400m Freestyle - S13,400m livre masculino - S13,Men's 400m Freestyle - S13,400m livre masculino - S13,N
SW,M,205,61,Men's 50m Butterfly - S5,50m borboleta masculino - S5,Men's 50m Butterfly - S5,50m borboleta masculino - S5,N
SW,M,206,62,Men's 50m Butterfly - S6,50m borboleta masculino - S6,Men's 50m Butterfly - S6,50m borboleta masculino - S6,N
SW,M,207,63,Men's 50m Butterfly - S7,50m borboleta masculino - S7,Men's 50m Butterfly - S7,50m borboleta masculino - S7,N
SW,M,228,64,Men's 100m Butterfly - S8,100m borboleta masculino - S8,Men's 100m Butterfly - S8,100m borboleta masculino - S8,N
SW,M,229,65,Men's 100m Butterfly - S9,100m borboleta masculino - S9,Men's 100m Butterfly - S9,100m borboleta masculino - S9,N
SW,M,230,66,Men's 100m Butterfly - S10,100m borboleta masculino - S10,Men's 100m Butterfly - S10,100m borboleta masculino - S10,N
SW,M,231,67,Men's 100m Butterfly - S11,100m borboleta masculino - S11,Men's 100m Butterfly - S11,100m borboleta masculino - S11,N
SW,M,233,68,Men's 100m Butterfly - S13,100m borboleta masculino - S13,Men's 100m Butterfly - S13,100m borboleta masculino - S13,N
SW,M,302,49,Men's 50m Breaststroke - SB2,50m peito masculino - SB2,Men's 50m Breaststroke - SB2,50m peito masculino - SB2,N
SW,M,303,50,Men's 50m Breaststroke - SB3,50m peito masculino - SB3,Men's 50m Breaststroke - SB3,50m peito masculino - SB3,N
SW,M,324,51,Men's 100m Breaststroke - SB4,100m peito masculino - SB4,Men's 100m Breaststroke - SB4,100m peito masculino - SB4,N
SW,M,325,52,Men's 100m Breaststroke - SB5,100m peito masculino - SB5,Men's 100m Breaststroke - SB5,100m peito masculino - SB5,N
