Discipline,Gender,Event,phase,Eventunit,ENG Description,FRA Description,POR Description,ENG longdescription,FRA longdescription,POR longdescription,Level,Order,schedule,medalflag,Eventunittype,cisSchedule,infoSchedule,Competition Schedule Description,ENG unit Description,FRA unit Description,POR unit Description
BV,W,400,2,02,Women's Semifinal - Match 52,"Femmes, demi-finale - match 52","Feminino, semifinal - jogo 52",Women's Semifinal - Match 52,"Femmes, demi-finale - match 52","Feminino, semifinal - jogo 52",EventUnit,15,Y,0,HTEAM,Y,Y,Women's Semifinal 2,Semifinal,Demi-finale,Semifinal
BV,W,400,3,00,Women's Quarterfinals,"Femmes, quarts de finale","Feminino, quartas de final",Women's Quarterfinals,"Femmes, quarts de finale","Feminino, quartas de final",Phase,14,N,0,NONE,N,N,Women's Quarterfinals,Quarterfinals,Quarts de finale,Quartas de Final
BV,W,400,3,01,Women's Quarterfinal - Match 47,"Femmes, quart de finale - match 47","Feminino, quartas de final - jogo 47",Women's Quarterfinal - Match 47,"Femmes, quart de finale - match 47","Feminino, quartas de final - jogo 47",EventUnit,15,Y,0,HTEAM,Y,Y,Women's Quarterfinal 1,Quarterfinal,Quart de finale,Quartas de Final
BV,W,400,3,02,Women's Quarterfinal - Match 48,"Femmes, quart de finale - match 48","Feminino, quartas de final - jogo 48",Women's Quarterfinal - Match 48,"Femmes, quart de finale - match 48","Feminino, quartas de final - jogo 48",EventUnit,15,Y,0,HTEAM,Y,Y,Women's Quarterfinal 2,Quarterfinal,Quart de finale,Quartas de Final
BV,W,400,3,03,Women's Quarterfinal - Match 49,"Femmes, quart de finale - match 49","Feminino, quartas de final - jogo 49",Women's Quarterfinal - Match 49,"Femmes, quart de finale - match 49","Feminino, quartas de final - jogo 49",EventUnit,15,Y,0,HTEAM,Y,Y,Women's Quarterfinal 3,Quarterfinal,Quart de finale,Quartas de Final
BV,W,400,3,04,Women's Quarterfinal - Match 50,"Femmes, quart de finale - match 50","Feminino, quartas de final - jogo 50",Women's Quarterfinal - Match 50,"Femmes, quart de finale - match 50","Feminino, quartas de final - jogo 50",EventUnit,15,Y,0,HTEAM,Y,Y,Women's Quarterfinal 4,Quarterfinal,Quart de finale,Quartas de Final
BV,W,400,4,00,Women's Round of 16,"Femmes, 8e de finale","Feminino, oitavas de final",Women's Round of 16,"Femmes, 8e de finale","Feminino, oitavas de final",Phase,14,N,0,NONE,N,N,Women's Round of 16,Round of 16,8e de finale,Oitavas de Final
BV,W,400,4,01,Women's Round of 16 - Match 39,"Femmes, 8e de finale - match 39","Feminino, oitavas de final - jogo 39",Women's Round of 16 - Match 39,"Femmes, 8e de finale - match 39","Feminino, oitavas de final - jogo 39",EventUnit,15,Y,0,HTEAM,Y,Y,Women's Round of 16 - Match 1,Round of 16,8e de finale,Oitavas de Final
BV,W,400,4,02,Women's Round of 16 - Match 40,"Femmes, 8e de finale - match 40","Feminino, oitavas de final - jogo 40",Women's Round of 16 - Match 40,"Femmes, 8e de finale - match 40","Feminino, oitavas de final - jogo 40",EventUnit,15,Y,0,HTEAM,Y,Y,Women's Round of 16 - Match 2,Round of 16,8e de finale,Oitavas de Final
BV,W,400,4,03,Women's Round of 16 - Match 41,"Femmes, 8e de finale - match 41","Feminino, oitavas de final - jogo 41",Women's Round of 16 - Match 41,"Femmes, 8e de finale - match 41","Feminino, oitavas de final - jogo 41",EventUnit,15,Y,0,HTEAM,Y,Y,Women's Round of 16 - Match 3,Round of 16,8e de finale,Oitavas de Final
BV,W,400,4,04,Women's Round of 16 - Match 42,"Femmes, 8e de finale - match 42","Feminino, oitavas de final - jogo 42",Women's Round of 16 - Match 42,"Femmes, 8e de finale - match 42","Feminino, oitavas de final - jogo 42",EventUnit,15,Y,0,HTEAM,Y,Y,Women's Round of 16 - Match 4,Round of 16,8e de finale,Oitavas de Final
BV,W,400,4,05,Women's Round of 16 - Match 43,"Femmes, 8e de finale - match 43","Feminino, oitavas de final - jogo 43",Women's Round of 16 - Match 43,"Femmes, 8e de finale - match 43","Feminino, oitavas de final - jogo 43",EventUnit,15,Y,0,HTEAM,Y,Y,Women's Round of 16 - Match 5,Round of 16,8e de finale,Oitavas de Final
BV,W,400,4,06,Women's Round of 16 - Match 44,"Femmes, 8e de finale - match 44","Feminino, oitavas de final - jogo 44",Women's Round of 16 - Match 44,"Femmes, 8e de finale - match 44","Feminino, oitavas de final - jogo 44",EventUnit,15,Y,0,HTEAM,Y,Y,Women's Round of 16 - Match 6,Round of 16,8e de finale,Oitavas de Final
BV,W,400,4,07,Women's Round of 16 - Match 45,"Femmes, 8e de finale - match 45","Feminino, oitavas de final - jogo 45",Women's Round of 16 - Match 45,"Femmes, 8e de finale - match 45","Feminino, oitavas de final - jogo 45",EventUnit,15,Y,0,HTEAM,Y,Y,Women's Round of 16 - Match 7,Round of 16,8e de finale,Oitavas de Final
