Id,type,ENG Description,FRA Description,KOR Description,ENG longdescription,FRA longdescription,KOR longdescription
UWW,IF,UWW,FILA,국제레슬링연맹,United World Wrestling,Fédération Internationale des Luttes Associées,국제레슬링연맹,,,,,,,,
UZB,OC,Uzbekistan,Ouzbékistan,우즈베키스탄,Uzbekistan,Ouzbékistan,우즈베키스탄,,,,,,,,
VAN,OC,Vanuatu,Vanuatu,바누아투,Vanuatu,Vanuatu,바누아투
VEN,OC,Venezuela,Venezuela,베네수엘라,Venezuela,Venezuela,베네수엘라
VIE,OC,Vietnam,Viet Nam,베트남,Vietnam,Viet Nam,베트남
VIN,OC,St Vincent & Gren.,St-Vincent-Gr.,세인트빈센트그레나딘,St Vincent and the Grenadines,Saint-Vincent-et-les-Grenadines,세인트빈센트그레나딘
WA,IF,WA,WA,세계양궁협회,World Archery,World Archery Federation,세계양궁협회
WCF,IF,WCF,WCF,세계컬링연맹,World Curling Federation,Fédération mondiale de curling,세계컬링연맹
WR,IF,WR,WR,세계럭비협회,World Rugby,Fédération internationale de rugby,세계럭비협회
WS,IF,WS,FIV,국제요트연맹,World Sailing,Fédération internationale de voile,국제요트연맹
WT,IF,WT,WT,세계태권도연맹,World Taekwondo,Fédération mondiale de taekwondo,세계태권도연맹
YEM,OC,Yemen,Yémen,예멘,Yemen,Yémen,예멘,,,,,,,,
YUG,OC,Yugoslavia,Yougoslavie,유고슬라비아연방,The Federal Republic of Yugoslavia,Yougoslavie,유고슬라비아연방,,,,,,,,
ZAM,OC,Zambia,Zambie,잠비아,Zambia,Zambie,잠비아,,,,,,,,
ZIM,OC,Zimbabwe,Zimbabwe,짐바브웨,Zimbabwe,Zimbabwe,짐바브웨,,,,,,,,
