Discipline,ORIS_NO,ENG Description,FRA Description,KOR Description
BTH,N03,Course Map and Profile,Tracé et profil du parcours,코스 지도 및 프로필
BTH,N10,Medallists from previous Olympic Winter Games,Médaillé(e)s aux Jeux Olympiques d'hiver précédents,역대올림픽 메달리스트
BTH,N11,Medals by NOC,Historique des médailles par CNO,NOC별 메달
BTH,N15,Multi-Medallists,Multimédaillé(e)s,멀티 메달리스트
BTH,N17A1,Results in Last Olympic Cycle,Résultats au dernier cycle olympique,지난 올림픽 주기 경기결과
BTH,N17A2,Results in Last Olympic Cycle,Résultats au dernier cycle olympique,지난 올림픽 주기 경기결과
BTH,N17A3,World Cup Total Score,Classement de la coupe du monde,현 월드컵 점수
BTH,N17A4,World Cup Relay Score,Classement de la coupe du monde - relais,현 월드컵 점수
BTH,N20,Athlete Biography,Biographie d’athlète,선수 바이오그래피
BTH,N24,NOC Profile,Profil du CNO,NOC 프로필
BTH,N51A,Opening Ceremony Flag Bearers,Porte-drapeaux à la cérémonie d'ouverture,개회식 국기 게양요원
BTH,N51B,Closing Ceremony Flag Bearers,Porte-drapeaux à la cérémonie de clôture,폐회식 국기 게양요원
BTH,N59A,Extended Start List,Liste de départ détaillée,상세 스타트리스트
BTH,N59B,Extended Start List,Liste de départ détaillée,상세 스타트리스트
BTH,N59B1,Extended Start List by Leg,Liste de départ détaillée par relais,주자별 상세 스타트리스트
BTH,N86A,History,Histoire du sport,스포츠 역사
BTH,N86B,IBU - Federation Facts,Informations sur la Fédération - IBU,IBU - 연맹 현황
BTH,N86C,Qualification Criteria,Systèmes de qualification,출전자격 획득 절차
BTH,N86D,Facility Description,Description du site de compétition,시설 정보
BTH,N86E,Media Information,Informations aux médias,미디어 정보
BTH,N86F,Birthdays during the Games,Anniversaires durant les Jeux,대회 중 생일
BTH,N87A,Flash Quotes,Déclarations express,플래시 선수소감
BTH,N87B,Quotes of the Day,Citations du jour,오늘의 선수소감
BTH,N88,Press Conference Highlights,Extraits de la conférence de presse,기자회견 하이라이트
BTH,N89,Preview / Review,Présentation / Compte rendu,프리뷰/리뷰
BTH,N90A,Media Communication,Communication aux médias,미디어 전달사항
BTH,N90B,News Article,Article de presse,일반 기사
BTH,N90C,IOC News,Actualités du CIO,IOC 뉴스
BTH,P91A,Victory Ceremony Presenters,Remettants à la cérémonie des vainqueurs,메달 시상식 시상자
BTH,P91B,In-venue Ceremony Presenters,Remettants à la cérémonie sur site,경기장 내 시상식 시상자
CCS,C06,Activity List,Liste des activités,활동 리스트
CCS,C07,Training Schedule,Horaire des entraînements,연습 일정
CCS,C08,Competition Schedule,Horaire des compétitions,경기 일정
CCS,C30,Number of Entries by NOC,Nombre d'inscriptions par CNO,NOC별 엔트리 인원
CCS,C31A,Entries,Inscriptions,엔트리
CCS,C32A,Entry List by NOC,Liste d'inscriptions par CNO,NOC별 엔트리 리스트
CCS,C35,Competition Officials,Officiels de compétition,경기임원
CCS,C38A,Entry Data Checklist,Formulaire de contrôle des données d'inscription,엔트리 데이터 체크리스트
CCS,C38C,Entry Data Checklist - Teams,Formulaire de contrôle des données d'inscription - équipes,엔트리 데이터 체크리스트- 팀
CCS,C38D,Entry Data Checklist - Headshot Photographs,Liste de contrôle des données d’inscription - photos portraits,엔트리 데이터 체크리스트 - 상반신 사진
CCS,C39,Entry Data Checklist - Competition Officials,Formulaire de contrôle des données d'inscription - officiels de compétition,엔트리 데이터 체크리스트- 심판
CCS,C45A,Entry Form,Formulaire d'inscription,엔트리 양식
CCS,C45B,Relay Entry Form,Formulaire d'inscription - relais,계주 엔트리 양식
CCS,C45C,Team Sprint Entry Form,Formulaire d'inscription - sprint par équipe,팀 스프린트 엔트리 양식
CCS,C49,Weather,Météo,기상
CCS,C50A,Individual Entry Checklist,Liste de vérifications des inscriptions individuelles,개인 엔트리 체크리스트
CCS,C50B,Individual Entry Checklist,Liste de vérifications des inscriptions individuelles,개인 엔트리 체크리스트
CCS,C50C,Relay Entry Checklist,Liste de vérifications des inscriptions - relais,계주 엔트리 체크리스트
CCS,C50D,Team Sprint Entry Checklist,Liste de vérifications des inscriptions - sprint par équipe,팀 스프린트 엔트리 체크리스트
CCS,C51A,Start List,Liste de départ,스타트 리스트
CCS,C51C,Start List,Liste de départ,스타트 리스트
CCS,C51D1,Start List,Liste de départ,스타트 리스트
CCS,C51E,Start List,Liste de départ,스타트 리스트
CCS,C51F,Start List,Liste de départ,스타트 리스트
CCS,C55,Bib Distribution List by NOC,Liste de distribution des dossards par CNO,NOC별 빕 배포 리스트
CCS,C67,Official Communication,Communication officielle,공식 전달사항
CCS,C68,Sport Communication,Communication sportive,종목 전달사항
CCS,C71B,Unofficial Partial Results,Résultats partiels non officiels,비공식 부분 경기결과
CCS,C71E,Unofficial Partial Results,Résultats partiels non officiels,비공식 부분 경기결과
CCS,C72A,Unofficial Results,Résultats non officiels,비공식 경기결과
CCS,C72B,Unofficial Results,Résultats non officiels,비공식 경기결과
CCS,C72C,Unofficial Results,Résultats non officiels,비공식 경기결과
CCS,C72D1,Unofficial Results,Résultats non officiels,비공식 경기결과
CCS,C72D3,Unofficial Results,Résultats non officiels,비공식 경기결과
CCS,C72E,Unofficial Results,Résultats non officiels,비공식 경기결과
CCS,C72F2,Unofficial Results,Résultats non officiels,비공식 경기결과
CCS,C72F3,Unofficial Results,Résultats non officiels,비공식 경기결과
CCS,C73A,Results,Résultats,경기결과
CCS,C73B,Results,Résultats,경기결과
CCS,C73C,Results,Résultats,경기결과
CCS,C73D1,Results,Résultats,경기결과
CCS,C73D3,Results,Résultats,경기결과
CCS,C73E,Results,Résultats,경기결과
CCS,C73F2,Results,Résultats,경기결과
CCS,C73F3,Results,Résultats,경기결과
CCS,C75D,Results Bracket,Tableau des résultats,경기결과 대진표
CCS,C75F,Results Bracket,Tableau des résultats,경기결과 대진표
CCS,C77A,Competition Analysis,Analyse de la course,경기 분석
CCS,C77B,Competition Analysis,Analyse de la course,경기 분석
CCS,C77C,Competition Analysis,Analyse de la course,경기 분석
CCS,C92A,Medallists,Médaillé(e)s,메달리스트
CCS,C92B,Medallists,Médaillé(e)s,메달리스트
CCS,C93,Medallists by Event,Médaillé(e)s par épreuve,세부종목별 메달리스트
CCS,C95,Medal Standings,Classement des médailles,메달 순위
CCS,C97,FIS Nordic Events Medal Standings,Classement des médailles - épreuves nordiques de la FIS,FIS 노르딕 종목 메달 랭킹
CCS,N02,Competition Format and Rules,Format et règlements des compétitions,경기방식 및 규정
CCS,N03,Course Map and Profile,Tracé et profil du parcours,코스 지도 및 프로필
CCS,N10,Medallists from previous Olympic Winter Games,Médaillé(e)s aux Jeux Olympiques d'hiver précédents,역대올림픽 메달리스트
CCS,N11,Medals by NOC,Historique des médailles par CNO,NOC별 메달
CCS,N12,FIS Nordic Events Medals by NOC,Historique des médailles - épreuves nordiques de la FIS,NOC별 FIS 노르딕 종목 메달
CCS,N15,Multi-Medallists,Multimédaillé(e)s,멀티 메달리스트
CCS,N15A,FIS Nordic Events Multi-Medallists,Multimédaillé(e)s - épreuves nordiques de la FIS,FIS 노르딕 종목 멀티 메달리스트
CCS,N17A1,Results in Last Olympic Cycle,Résultats au dernier cycle olympique,지난 올림픽 주기 경기결과
CCS,N17A2,Results in Last Olympic Cycle,Résultats au dernier cycle olympique,지난 올림픽 주기 경기결과
CCS,N17B,Current FIS World Cup Standings,Classement actuel de la Coupe du monde FIS,현 FIS 월드컵 랭킹
CCS,N17C,Current FIS Nations Standings,Classement actuel de la Coupe du monde FIS des nations,현 FIS 나라별 랭킹
CCS,N20,Athlete Biography,Biographie d’athlète,선수 바이오그래피
CCS,N24,NOC Profile,Profil du CNO,NOC 프로필
CCS,N51A,Opening Ceremony Flag Bearers,Porte-drapeaux à la cérémonie d'ouverture,개회식 국기 게양요원
CCS,N51B,Closing Ceremony Flag Bearers,Porte-drapeaux à la cérémonie de clôture,폐회식 국기 게양요원
CCS,N59A,Extended Start List,Liste de départ détaillée,상세 스타트리스트
CCS,N59B,Extended Start List,Liste de départ détaillée,상세 스타트리스트
CCS,N86A,History,Histoire du sport,스포츠 역사
CCS,N86B,FIS - Federation Facts,Informations de la Fédération - FIS,FIS - 연맹 현황
CCS,N86C,Qualification Criteria,Système de qualification,출전자격 획득 절차
CCS,N86D,Facility Description,Description du site de compétition,시설 정보
CCS,N86E,Media Information,Informations aux médias,미디어 정보
CCS,N86F,Birthdays during the Games,Anniversaires durant les Jeux,대회 중 생일
CCS,N87A,Flash Quotes,Déclarations express,플래시 선수소감
CCS,N87B,Quotes of the Day,Citations du jour,오늘의 선수소감
