Discipline,Gender,Event,phase,type,ENG Description,POR Description,SPA Description,ENG longdescription,POR longdescription,SPA longdescription,ENG phase Description,POR phase Description,SPA phase Description
SW,M,544,M,6,Men's 150m IM - SM4 VC,"150m medley masc - SM4, cer. premiação","150m comb. ind. masc-SM4, cer. medallas",Men's 150m Individual Medley - SM4 Victory Ceremony,"150m medley masculino - SM4, cerimônia de premiação","150m combinado individual masculino - SM4, ceremonia de entrega de medallas",Victory Ceremony,Cerimônia de premiação,Ceremonia de entrega de medallas
SW,M,566,0,8,Men's 200m IM -SM6,200m medley masculino - SM6,200m combinado individual masc - SM6,Men's 200m Individual Medley - SM6,200m medley masculino - SM6,200m combinado individual masculino - SM6,"","",
SW,M,566,1,3,Men's 200m IM -SM6 Final,"200m medley masculino - SM6, final","200m combinado ind. masc - SM6, final",Men's 200m Individual Medley - SM6 Final,"200m medley masculino - SM6, final","200m combinado individual masculino - SM6, final",Final,Final,Final
SW,M,566,9,3,Men's 200m IM -SM6 Heats,"200m medley masculino-SM6, eliminatórias","200m combinado ind. masc - SM6, elim.",Men's 200m Individual Medley - SM6 Heats,"200m medley masculino - SM6, eliminatórias","200m combinado individual masculino - SM6, eliminatorias",Heats,Eliminatórias,Eliminatorias
SW,M,566,M,6,Men's 200m IM -SM6 VC,"200m medley masc - SM6, cer. premiação","200m comb. ind. masc-SM6, cer. medallas",Men's 200m Individual Medley - SM6 Victory Ceremony,"200m medley masculino - SM6, cerimônia de premiação","200m combinado individual masculino - SM6, ceremonia de entrega de medallas",Victory Ceremony,Cerimônia de premiação,Ceremonia de entrega de medallas
SW,M,567,0,8,Men's 200m IM -SM7,200m medley masculino - SM7,200m combinado individual masc - SM7,Men's 200m Individual Medley - SM7,200m medley masculino - SM7,200m combinado individual masculino - SM7,"","",
SW,M,567,1,3,Men's 200m IM -SM7 Final,"200m medley masculino - SM7, final","200m combinado ind. masc - SM7, final",Men's 200m Individual Medley - SM7 Final,"200m medley masculino - SM7, final","200m combinado individual masculino - SM7, final",Final,Final,Final
SW,M,567,9,3,Men's 200m IM -SM7 Heats,"200m medley masculino-SM7, eliminatórias","200m combinado ind. masc - SM7, elim.",Men's 200m Individual Medley - SM7 Heats,"200m medley masculino - SM7, eliminatórias","200m combinado individual masculino - SM7, eliminatorias",Heats,Eliminatórias,Eliminatorias
SW,M,567,M,6,Men's 200m IM -SM7 VC,"200m medley masc - SM7, cer. premiação","200m comb. ind. masc-SM7, cer. medallas",Men's 200m Individual Medley - SM7 Victory Ceremony,"200m medley masculino - SM7, cerimônia de premiação","200m combinado individual masculino - SM7, ceremonia de entrega de medallas",Victory Ceremony,Cerimônia de premiação,Ceremonia de entrega de medallas
SW,M,568,0,8,Men's 200m IM -SM8,200m medley masculino - SM8,200m combinado individual masc - SM8,Men's 200m Individual Medley - SM8,200m medley masculino - SM8,200m combinado individual masculino - SM8,"","",
SW,M,568,1,3,Men's 200m IM -SM8 Final,"200m medley masculino - SM8, final","200m combinado ind. masc - SM8, final",Men's 200m Individual Medley - SM8 Final,"200m medley masculino - SM8, final","200m combinado individual masculino - SM8, final",Final,Final,Final
SW,M,568,9,3,Men's 200m IM -SM8 Heats,"200m medley masculino-SM8, eliminatórias","200m combinado ind. masc - SM8, elim.",Men's 200m Individual Medley - SM8 Heats,"200m medley masculino - SM8, eliminatórias","200m combinado individual masculino - SM8, eliminatorias",Heats,Eliminatórias,Eliminatorias
SW,M,568,M,6,Men's 200m IM -SM8 VC,"200m medley masc - SM8, cer. premiação","200m comb. ind. masc-SM8, cer. medallas",Men's 200m Individual Medley - SM8 Victory Ceremony,"200m medley masculino - SM8, cerimônia de premiação","200m combinado individual masculino - SM8, ceremonia de entrega de medallas",Victory Ceremony,Cerimônia de premiação,Ceremonia de entrega de medallas
SW,M,569,0,8,Men's 200m IM -SM9,200m medley masculino - SM9,200m combinado individual masc - SM9,Men's 200m Individual Medley - SM9,200m medley masculino - SM9,200m combinado individual masculino - SM9,"","",
SW,M,569,1,3,Men's 200m IM -SM9 Final,"200m medley masculino - SM9, final","200m combinado ind. masc - SM9, final",Men's 200m Individual Medley - SM9 Final,"200m medley masculino - SM9, final","200m combinado individual masculino - SM9, final",Final,Final,Final
