Id,Related Event,order,ENG Description,POR Description,SPA Description
SWW121000,SWW000,158,Women's 100m Freestyle - S1,100m livre feminino - S1,100m estilo libre femenino - S1
SWW122000,SWW000,159,Women's 100m Freestyle - S2,100m livre feminino - S2,100m estilo libre femenino - S2
SWW123000,SWW123,160,Women's 100m Freestyle - S3,100m livre feminino - S3,100m estilo libre femenino - S3
SWW124000,SWW000,161,Women's 100m Freestyle - S4,100m livre feminino - S4,100m estilo libre femenino - S4
SWW125000,SWW125,162,Women's 100m Freestyle - S5,100m livre feminino - S5,100m estilo libre femenino - S5
SWW126000,SWW126,163,Women's 100m Freestyle - S6,100m livre feminino - S6,100m estilo libre femenino - S6
SWW127000,SWW127,164,Women's 100m Freestyle - S7,100m livre feminino - S7,100m estilo libre femenino - S7
SWW128000,SWW128,165,Women's 100m Freestyle - S8,100m livre feminino - S8,100m estilo libre femenino - S8
SWW129000,SWW129,166,Women's 100m Freestyle - S9,100m livre feminino - S9,100m estilo libre femenino - S9
SWW130000,SWW130,167,Women's 100m Freestyle - S10,100m livre feminino - S10,100m estilo libre femenino - S10
SWW131000,SWW131,168,Women's 100m Freestyle - S11,100m livre feminino - S11,100m estilo libre femenino - S11
SWW132000,SWW000,169,Women's 100m Freestyle - S12,100m livre feminino - S12,100m estilo libre femenino - S12
SWW133000,SWW133,170,Women's 100m Freestyle - S13,100m livre feminino - S13,100m estilo libre femenino - S13
SWW134000,SWW174,171,Women's 100m Freestyle - S14,100m livre feminino - S14,100m estilo libre femenino - S14
SWW161000,SWW000,172,Women's 200m Freestyle - S1,200m livre feminino - S1,200m estilo libre femenino - S1
SWW162000,SWW000,173,Women's 200m Freestyle - S2,200m livre feminino - S2,200m estilo libre femenino - S2
SWW163000,SWW000,174,Women's 200m Freestyle - S3,200m livre feminino - S3,200m estilo libre femenino - S3
SWW164000,SWW000,175,Women's 200m Freestyle - S4,200m livre feminino - S4,200m estilo libre femenino - S4
SWW165000,SWW165,176,Women's 200m Freestyle - S5,200m livre feminino - S5,200m estilo libre femenino - S5
SWW166000,SWW186,177,Women's 200m Freestyle - S6,200m livre feminino - S6,200m estilo libre femenino - S6
SWW167000,SWW187,178,Women's 200m Freestyle - S7,200m livre feminino - S7,200m estilo libre femenino - S7
SWW168000,SWW188,179,Women's 200m Freestyle - S8,200m livre feminino - S8,200m estilo libre femenino - S8
SWW169000,SWW189,180,Women's 200m Freestyle - S9,200m livre feminino - S9,200m estilo libre femenino - S9
SWW170000,SWW190,181,Women's 200m Freestyle - S10,200m livre feminino - S10,200m estilo libre femenino - S10
SWW171000,SWW191,182,Women's 200m Freestyle - S11,200m livre feminino - S11,200m estilo libre femenino - S11
SWW172000,SWW000,183,Women's 200m Freestyle - S12,200m livre feminino - S12,200m estilo libre femenino - S12
SWW173000,SWW193,184,Women's 200m Freestyle - S13,200m livre feminino - S13,200m estilo libre femenino - S13
SWW174000,SWW174,185,Women's 200m Freestyle - S14,200m livre feminino - S14,200m estilo libre femenino - S14
SWW186000,SWW186,186,Women's 400m Freestyle - S6,400m livre feminino - S6,400m estilo libre femenino - S6
SWW187000,SWW187,187,Women's 400m Freestyle - S7,400m livre feminino - S7,400m estilo libre femenino - S7
SWW188000,SWW188,188,Women's 400m Freestyle - S8,400m livre feminino - S8,400m estilo libre femenino - S8
SWW189000,SWW189,189,Women's 400m Freestyle - S9,400m livre feminino - S9,400m estilo libre femenino - S9
SWW190000,SWW190,190,Women's 400m Freestyle - S10,400m livre feminino - S10,400m estilo libre femenino - S10
SWW191000,SWW191,191,Women's 400m Freestyle - S11,400m livre feminino - S11,400m estilo libre femenino - S11
SWW192000,SWW000,192,Women's 400m Freestyle - S12,400m livre feminino - S12,400m estilo libre femenino - S12
