Id,competition,ENG Description,FRA Description,POR Description,SPA Description,ENG longdescription,FRA longdescription,POR longdescription,SPA longdescription,IndoorOutdoor,Cluster,City
INS,N,Independência Stadium-BH,Stade Independência (BH),Estádio Independência-BH,Estadio Independência-BH,Independência Stadium (Belo Horizonte),Stade Independência (Belo Horizonte),Estádio Independência (Belo Horizonte),Estadio Independência (Belo Horizonte),,FBC,Belo Horizonte
LAG,Y,Lagoa Stadium,Stade de Lagoa,Estádio da Lagoa,Estadio de Lagoa,Lagoa Stadium,Stade de Lagoa,Estádio da Lagoa,Estadio de Lagoa,O,COP,Rio de Janeiro
LDT,N,Lanna Drumond Trn Center,Ctr de form Lanna Drumond,Lanna Drumond Trn Center,Lanna Drumond Trn Center,Lanna Drumond Training Center,Centre de formation Lanna Drumond,Lanna Drumond Training Center,Lanna Drumond Training Center,,,
MAO,N,Manaus Intl Airport,Aéroport inter. de Manaus,Aeroporto Intl Manaus,Aeropuerto Int. de Manaus,Manaus International Airport,Aéroport international de Manaus,Aeroporto Internacional de Manaus,Aeropuerto Internacional de Manaus,,FBC,Manaus
MBT,Y,Mountain Bike Centre,Centre de mountain bike,Centro de Mountain Bike,Ctro Ciclismo de Montaña,Mountain Bike Centre,Centre de mountain bike,Centro de Mountain Bike,Centro de Ciclismo de Montaña,O,DEO,Rio de Janeiro
MCD,N,Maracanã Common Domain,Zone publique de Maracanã,Área Comum do Maracanã,Espacio Común Maracanã,Maracanã Common Domain,Zone publique de Maracanã,Área Comum do Maracanã,Espacio Común del Maracanã,,MRZ,Rio de Janeiro
MGA,Y,Mané Garrincha Stadium,Stade Mané Garrincha,Estádio Mané Garrincha,Estadio Mané Garrincha,Mané Garrincha Stadium,Stade Mané Garrincha,Estádio Mané Garrincha,Estadio Mané Garrincha,O,FBC,Brasília
MIN,Y,Mineirão,Mineirão,Mineirão,Mineirão,Mineirão,Mineirão,Mineirão,Mineirão,O,FBC,Belo Horizonte
MNZ,Y,Maracanãzinho,Maracanãzinho,Maracanãzinho,Maracanãzinho,Maracanãzinho,Maracanãzinho,Maracanãzinho,Maracanãzinho,I,MRZ,Rio de Janeiro
MOC,N,Main Operations Centre,Ctre Principal Opérations,Ctr. Principal Operações,Ctro Principal de Op.,Main Operations Centre,Centre Principal des Opérations,Centro Principal de Operações,Centro Principal de Operaciones,,MRZ,Rio de Janeiro
MPC,N,Main Press Centre (MPC),Ctre Princ. Presse (CPP),Ctr Principal de Imprensa,Ctro Princ. Prensa (MPC),Main Press Centre (MPC),Centre Principal de Presse (CPP),Centro Principal de Imprensa (MPC),Centro Principal de Prensa (MPC),,BAT,Rio de Janeiro
MRC,Y,Maracanã,Maracanã,Maracanã,Maracanã,Maracanã,Maracanã,Maracanã,Maracanã,O,MRZ,Rio de Janeiro
