Id,Venue,LocationOrder,competition,ENG Description,POR Description,SPA Description,ENG longdescription,POR longdescription,SPA longdescription,Source
INS,INS,,N,Independência Stadium-BH,Estádio Independência-BH,Estadio Independência-BH,Independência Stadium (Belo Horizonte),Estádio Independência (Belo Horizonte),Estadio Independência (Belo Horizonte),
JU1,CA3,1,Y,Carioca Arena 3 - Mat 1,Arena Carioca 3 - Tatame 1,Arena Carioca 3- Tatami 1,Carioca Arena 3 - Mat 1,Arena Carioca 3 - Tatame 1,Arena Carioca 3- Tatami 1,CA3JU1
JU2,CA3,2,Y,Carioca Arena 3 - Mat 2,Arena Carioca 3 - Tatame 2,Arena Carioca 3- Tatami 2,Carioca Arena 3 - Mat 2,Arena Carioca 3 - Tatame 2,Arena Carioca 3- Tatami 2,CA3JU1
JU3,OVP,,N,Athletes' Park - JU,Athletes' Park - JU,Athletes' Park - JU,Athletes' Park - Judo,Athletes' Park - Judo,Athletes' Park - Judo,
LAG,LAG,,Y,Lagoa Stadium,Estádio da Lagoa,Estadio de Lagoa,Lagoa Stadium,Estádio da Lagoa,Estadio de Lagoa,LAGRO1
MAO,MAO,,N,Manaus Intl Airport,Aeroporto Intl Manaus,Aeropuerto Int. de Manaus,Manaus International Airport,Aeroporto Internacional de Manaus,Aeropuerto Internacional de Manaus,
MCD,MCD,,N,Maracanã Common Domain,Área Comum do Maracanã,Espacio Común Maracanã,Maracanã Common Domain,Área Comum do Maracanã,Espacio Común del Maracanã,
MOC,MOC,,N,Main Operations Centre,Ctr. Principal Operações,Ctro Principal de Op.,Main Operations Centre,Centro Principal de Operações,Centro Principal de Operaciones,
MPC,MPC,,N,Main Press Centre (MPC),Ctr Principal de Imprensa,Ctro Princ. Prensa (MPC),Main Press Centre (MPC),Centro Principal de Imprensa (MPC),Centro Principal de Prensa (MPC),
MUL,MUL,,N,Multiple Venues,Multiple Venues,Multiple Venues,Multiple Venues,Multiple Venues,Multiple Venues,
OAS,OAS,,Y,Olympic Aquatics Stadium,Estádio Aquático Olímpico,Estadio Acuático Olímpico,Olympic Aquatics Stadium,Estádio Aquático Olímpico,Estadio Acuático Olímpico,OASSW1
OF2,OF2,,N,Olympic Family Hotel 2,Hotel Família Olímpica 2,Hotel Familia Olímpica 2,Olympic Family Hotel 2 - Windsor Barra & Oceânico,Hotel Fam Olímp 2 - Windsor Barra&Windsor Oceânico,Hotel Fam. Olímpica 2 - Windsor Barra & Oceânico,
OF3,OF3,,N,IOC Staff Hotel,Hotel Funcionários do COI,Hotel del Personal COI,IOC Staff Hotel - Novotel Barra,Hotel dos Funcionários do COI - Novotel Barra,Hotel del Personal del COI - Novotel Barra,
OFH,OFH,,N,Main Olympic Family Hotel,Hotel Princ Família Olímp,Hotel Princ Fam. Olímpica,Main Olympic Family Hotel - Windsor Marapendi,Hotel Princ. Família Olímpica - Windsor Marapendi,Hotel Princ. Familia Olímpica - Windsor Marapendi,
OH1,OH1,,N,Olym. Designated Hospital,Hosp. Olím. de Referência,Olímp. Hospital Designado,Olympic Designated Hospital,Hospital Olímpico de Referência,Olímpico Hospital Designado,
OH2,OH2,,N,Olympic Hospital 2,Hospital Olímpico 2,Olímpico Hospital 2,Olympic Hospital 2,Hospital Olímpico 2,Olímpico Hospital 2,
OH3,OH3,,N,Olympic Hospital 3,Hospital Olímpico 3,Olímpico Hospital 3,Olympic Hospital 3,Hospital Olímpico 3,Olímpico Hospital 3,
OLS,OLS,,Y,Olympic Stadium,Estádio Olímpico,Estadio Olímpico,Olympic Stadium,Estádio Olímpico,Estadio Olímpico,OLSAT1
OLV,OLV,,N,Olympic&Paralympic Vill,Vila Olímpica&Paralímpica,Villa Olímp./Paralímpica,Olympic and Paralympic Village,Vila Olímpica e Paralímpica,Villa Olímpica y Paralímpica,
OSC,OSC,,Y,Olympic Shooting Centre,Centro Olímpico de Tiro,Centro Olímpico de Tiro,Olympic Shooting Centre,Centro Olímpico de Tiro,Centro Olímpico de Tiro,OSCSH1
OTN,OTN,,Y,Olympic Tennis Centre,Centro Olímpico de Tênis,Centro Olímpico de Tenis,Olympic Tennis Centre,Centro Olímpico de Tênis,Centro Olímpico de Tenis,
OVP,OVP,,N,Athletes' Park,Parque dos Atletas,Parque de los atletas,Athletes' Park,Parque dos Atletas,Parque de los atletas,
PBS,PBS,,N,Pacaembu Stadium-SP,Estádio Pacaembu-SP,Estadio Pacaembu-SP,Pacaembu Stadium (São Paulo),Estádio Pacaembu (São Paulo),Estadio Pacaembu (São Paulo),
PEC,PEC,,N,Physical Ed. Centre CEFAN,Ctr Educação Física CEFAN,Ctro Ed. Física (CEFAN),Navy Physical Education Centre (CEFAN),Centro de Educação Físicas (CEFAN),Centro de Educación Física (CEFAN),
PF2,PF2,,N,Paralympic Family Hotel,Hotel Família Paralímpica,Hotel Familia Paralímpica,Paralympic Family Hotel - Windsor Barra,Hotel da Família Paralímpica - Windsor Barra,Hotel de la Familia Paralímpica - Windsor Barra,
PFH,PFH,,N,Windsor Oceânico,Windsor Oceânico,Windsor Oceânico,Main Paralympic Family Hotel - Windsor Oceânico,Hotel Oficial Família Paralímpica-Windsor Oceânico,Hotel Princ. Fam. Paralímpica - Windsor Oceânico,
PIS,PIS,,N,Pituaçu Stadium-SA,Estádio Pituaçu-SA,Estadio Pituaçu-SA,Pituaçu Stadium (Salvador),Estádio Pituaçu (Salvador),Estadio Pituaçu (Salvador),
PMC,PMC,,N,Cruise Accommodations,Acomodação de Navios ,Acomodaciones de Navíos,Pier Mauá Cruise Accommodations,Acomodação de Navios do Pier Mauá,Acomodaciones de Navíos Pier Mauá,
PO1,RC2,1,Y,Riocentro - Pavilion 2,Riocentro - Pavilhão 2,Riocentro - Pabellón 2,Riocentro - Pavilion 2,Riocentro - Pavilhão 2,Riocentro - Pabellón 2,RC2PO1
PO2,RC5,,N,Riocentro - Pavilion 5,Riocentro - Pavilion 5,Riocentro - Pavilion 5,Riocentro - Pavilion 5,Riocentro - Pavilion 5,Riocentro - Pavilion 5,
PON,PON,,Y,Pontal,Pontal,Pontal,Pontal,Pontal,Pontal,
RC2,RC2,,Y,Riocentro - Pavilion 2,Riocentro - Pavilhão 2,Riocentro - Pabellón 2,Riocentro - Pavilion 2,Riocentro - Pavilhão 2,Riocentro - Pabellón 2,RC2PO1
RC3,RC3,,Y,Riocentro - Pavilion 3,Riocentro - Pavilhão 3,Riocentro - Pabellón 3,Riocentro - Pavilion 3,Riocentro - Pavilhão 3,Riocentro - Pabellón 3,RC3TT1
RC5,RC5,,N,Riocentro - Pavilion 5,Riocentro - Pavilhão 5,Riocentro - Pabellón 5,Riocentro - Pavilion 5,Riocentro - Pavilhão 5,Riocentro - Pabellón 5,
RC6,RC6,,Y,Riocentro - Pavilion 6,Riocentro - Pavilhão 6,Riocentro - Pabellón 6,Riocentro - Pavilion 6,Riocentro - Pavilhão 6,Riocentro - Pabellón 6,RC6VS1
RCD,RCD,,N,BPK Common Domain,Área Comum BPK,Espacio Común BPK,Barra Olympic Park Common Domain,Área Comum do Parque Olímpico da Barra,Espacio Común del Parque Olímpico de Barra,
RHQ,RHQ,,N,Rio 2016 Office,Escritório Rio 2016,Oficina Rio 2016,Rio 2016 Office,Escritório Rio 2016,Oficina Rio 2016,
