Id,Venue,LocationOrder,competition,ENG Description,FRA Description,POR Description,SPA Description,ENG longdescription,FRA longdescription,POR longdescription,SPA longdescription,Source,Sub-Locations
FB4,FNA,4,Y,Fonte Nova Arena - FB,Arène Fonte Nova - FB,Arena Fonte Nova - FB,Arena Fonte Nova - FB,Fonte Nova Arena - Football,Arène Fonte Nova - Football,Arena Fonte Nova - Futebol,Arena Fonte Nova - Fútbol,FNAFB1,
FB5,SPA,5,Y,Corinthians Arena - FB,Stade des Corinthians - FB,Arena Corinthians - FB,Arena Corinthians - FB,Corinthians Arena - Football,Stade des Corinthians - Football,Arena Corinthians - Futebol,Arena Corinthians - Fútbol,SPAFB1,
FB6,AMZ,6,Y,Amazônia Arena - FB,Arena da Amazônia - FB,Arena da Amazônia - FB,Arena da Amazônia - FB,Amazônia Arena - Football,Arena da Amazônia - Football,Arena da Amazônia - Futebol,Arena da Amazônia - Fútbol,AMZFB1,
FB7,OLS,7,Y,Olympic Stadium - FB,Stade Olympique - FB,Estádio Olímpico - FB,Estadio Olímpico - FB,Olympic Stadium - Football,Stade Olympique - Football,Estádio Olímpico - Futebol,Estadio Olímpico - Fútbol,OLSFB1,
FE1,RC5,,N,Riocentro - Pavilion 5 - FE,Riocentro - pavilion 5-escrime,Riocentro - Pavilion 5 - FE,Riocentro - Pavilion 5 - FE,Riocentro - Pavilion 5 - Fencing,Riocentro - pavilion 5 - escrime,Riocentro - Pavilion 5 - Fencing,Riocentro - Pavilion 5 - Fencing,,
FEA,CA3,5,Y,Carioca Arena 3-FE Finals Pist,Aréna Carioca 3-FE Piste Final,Arena Carioca 3-FE Pista Finai,Arena Carioca 3-FE Pista fin.,Carioca Arena 3 - Fencing Finals Piste,Aréna Carioca 3 - Escrime Piste Finale,Arena Carioca 3 - Esgrima Pista das Finais,Arena Carioca 3 - Esgrima Pista de las finales,CA3FE1,
FEB,CA3,1,Y,Carioca Arena 3-FE Blue Piste,Aréna Carioca 3-FE Piste Bleue,Arena Carioca 3-FE Pista Azul,Arena Carioca 3-FE Pista azul,Carioca Arena 3 - Fencing Blue Piste,Aréna Carioca 3 - Escrime Piste Bleue,Arena Carioca 3 - Esgrima Pista Azul,Arena Carioca 3 - Esgrima Pista azul,CA3FE1,
FEG,CA3,3,Y,Carioca Arena 3-FE Green Piste,Aréna Carioca 3-FE Piste Verte,Arena Carioca 3-FE Pista Verde,Arena Carioca 3-FE Pista verde,Carioca Arena 3 - Fencing Green Piste,Aréna Carioca 3 - Escrime Piste Verte,Arena Carioca 3 - Esgrima Pista Verde,Arena Carioca 3 - Esgrima Pista verde,CA3FE1,
FER,CA3,4,Y,Carioca Arena 3-FE Red Piste,Aréna Carioca 3-FE Piste Rouge,Arena Carioca 3-FE Pista Verme,Arena Carioca 3-FE Pista roja,Carioca Arena 3 - Fencing Red Piste,Aréna Carioca 3 - Escrime Piste Rouge,Arena Carioca 3 - Esgrima Pista Vermelha,Arena Carioca 3 - Esgrima Pista roja,CA3FE1,
FEY,CA3,2,Y,Carioca Arena 3-FE Yellow Pist,Aréna Carioca 3-FE Piste Jaune,Arena Carioca 3-FE Pista Amare,Arena Carioca 3-FE Pista amar.,Carioca Arena 3 - Fencing Yellow Piste,Aréna Carioca 3 - Escrime Piste Jaune,Arena Carioca 3 - Esgrima Pista Amarela,Arena Carioca 3 - Esgrima Pista amarilla,CA3FE1,
FH1,FH1,,N,Hotel FB - Belo Horizonte,Hôtel FB - Belo Horizonte,Hotel FB - Belo Horizonte,Hotel FB - Belo Horizonte,Football City Hotel - Belo Horizonte,Hôtel - Ville Belo Horizonte (rencontres football),Hotel da Cidade do Futebol - Belo Horizonte,Hotel de la Ciudad del Fútbol - Belo Horizonte,,
FH2,FH2,,N,Hotel FB - Brasília,Hôtel FB - Brasília,Hotel FB - Brasília,Hotel FB - Brasília,Football City Hotel - Brasília,Hôtel - Ville de Brasília (rencontres de football),Hotel da Cidade do Futebol - Brasília,Hotel de la Ciudad del Fútbol - Brasília,,
FH3,FH3,,N,Hotel FB - Salvador,Hôtel FB - Salvador,Hotel FB - Salvador,Hotel FB - Salvador,Football City Hotel - Salvador,Hôtel - Ville de Salvador (rencontres de football),Hotel da Cidade do Futebol - Salvador,Hotel de la Ciudad del Fútbol - Salvador,,
FH4,FH4,,N,Hotel FB - São Paulo,Hôtel FB - São Paulo,Hotel FB - São Paulo,Hotel FB - São Paulo,Football City Hotel - São Paulo,Hôtel -Ville de São Paulo (rencontres de football),Hotel da Cidade do Futebol - São Paulo,Hotel de la Ciudad del Fútbol - São Paulo,,
FH5,FH5,,N,Hotel FB - Manaus,Hôtel FB - Manaus,Hotel FB - Manaus,Hotel FB - Manaus,Football City Hotel - Manaus,Hôtel - Ville de Manaus (rencontres de football),Hotel da Cidade do Futebol - Manaus,Hotel de la Ciudad del Fútbol - Manaus,,
FNA,FNA,,Y,Fonte Nova Arena,Arène Fonte Nova,Arena Fonte Nova,Arena Fonte Nova,Fonte Nova Arena,Arène Fonte Nova,Arena Fonte Nova,Arena Fonte Nova,FNAFB1,
FPT,FPT,,N,Physical Trn Ctr Brasilia,Ctre pr physique Brasília,Ctr. Cap. Física Brasília,Ctro Entr Físico Brasília,Fireman Physical Training Centre (Brasília),Ctre préparation physique des pompiers (Brasília),Centro Capacitação Física dos Bombeiros (Brasília),Centro Entrenamiento Físico de Bomberos (Brasília),,
FTA,FTA,,Y,Future Arena,Arène du Futur,Arena do Futuro,Arena del Futuro,Future Arena,Arène du Futur,Arena do Futuro,Arena del Futuro,FTAHB1,
FTC,FTC,,Y,Fort Copacabana,Fort de Copacabana,Forte de Copacabana,Fuerte de Copacabana,Fort Copacabana,Fort de Copacabana,Forte de Copacabana,Fuerte de Copacabana,,
FTS,FTS,,N,George Helal Trn Site,Site d'entra George Helal,George Helal Trn Site,George Helal Trn Site,George Helal Training Site,Site d'entrainement George Helal,George Helal Training Site,George Helal Training Site,,
FUR,FUR,,N,Federal University of Rio,Univ. Fédérale de Rio,Universidade Federal Rio,Univ. Federal de Río,Federal University of Rio de Janeiro,Université Fédérale de Rio de Janeiro,Universidade Federal do Rio de Janeiro (UFRJ),Universidad Federal de Río de Janeiro (UFRJ),,
G01,OVP,,N,Athletes' Park MAG Hall 1,Parc des athletes MAG halle 1,Athletes' Park MAG Hall 1,Athletes' Park MAG Hall 1,Athletes' Park MAG Hall 1,Parc des athletes MAG halle 1,Athletes' Park MAG Hall 1,Athletes' Park MAG Hall 1,,
G02,OVP,,N,Athletes' Park MAG Hall 2,Parc des athletes MAG halle 2,Athletes' Park MAG Hall 2,Athletes' Park MAG Hall 2,Athletes' Park MAG Hall 2,Parc des athletes MAG halle 2,Athletes' Park MAG Hall 2,Athletes' Park MAG Hall 2,,
G03,OVP,,N,Athletes' Park WAG Hall 3,Parc des athletes WAG halle 3,Athletes' Park WAG Hall 3,Athletes' Park WAG Hall 3,Athletes' Park WAG Hall 3,Parc des athletes WAG halle 3,Athletes' Park WAG Hall 3,Athletes' Park WAG Hall 3,,
G04,OVP,,N,Athletes' Park WAG Hall 4,Parc des athletes WAG halle 4,Athletes' Park WAG Hall 4,Athletes' Park WAG Hall 4,Athletes' Park WAG Hall 4,Parc des athletes WAG halle 4,Athletes' Park WAG Hall 4,Athletes' Park WAG Hall 4,,
G05,OVP,,N,Athletes' Park GT,Parc des athletes - trampoline,Athletes' Park GT,Athletes' Park GT,Athletes' Park Gymnastic c,Parc des athletes - trampoline,Athletes' Park Gymnastic c,Athletes' Park Gymnastic c,,
G06,OVP,,N,Athletes' Park GR Hall 1,Parc des athletes - GR halle 1,Athletes' Park GR Hall 1,Athletes' Park GR Hall 1,Athletes' Park Rhythmic Gymnastics Hall 1,Parc des athletes - gymnastique rythmique halle 1,Athletes' Park Rhythmic Gymnastics Hall 1,Athletes' Park Rhythmic Gymnastics Hall 1,,
G07,OVP,,N,Athletes' Park GR Hall 2,Parc des athletes - GR halle 2,Athletes' Park GR Hall 2,Athletes' Park GR Hall 2,Athletes' Park Rhythmic Gymnastics Hall 2,Parc des athletes - gymnastique rythmique halle 2,Athletes' Park Rhythmic Gymnastics Hall 2,Athletes' Park Rhythmic Gymnastics Hall 2,,
G08,OVP,,N,Athletes' Park GR Hall 3,Parc des athletes - GR halle 3,Athletes' Park GR Hall 3,Athletes' Park GR Hall 3,Athletes' Park Rhythmic Gymnastics Hall 3,Parc des athletes - gymnastique rythmique halle 3,Athletes' Park Rhythmic Gymnastics Hall 3,Athletes' Park Rhythmic Gymnastics Hall 3,,
G09,ROA,,N,ROA Overlay GR Hall 4, Halle olympique Rio-GR halle4,ROA Overlay GR Hall 4,ROA Overlay GR Hall 4,ROA Overlay Rhythmic Gymnastics Hall 4,ROA - gymnastique rythmique halle 4,ROA Overlay Rhythmic Gymnastics Hall 4,ROA Overlay Rhythmic Gymnastics Hall 4,,
G10,ROA,,N,ROA Overlay GR Hall 5, Halle olympique Rio-GR halle5,ROA Overlay GR Hall 5,ROA Overlay GR Hall 5,ROA Overlay Rhythmic Gymnastics Hall 5,ROA - gymnastique rythmique halle 5,ROA Overlay Rhythmic Gymnastics Hall 5,ROA Overlay Rhythmic Gymnastics Hall 5,,
G11,ROA,,N,ROA Overlay GR Hall 6, Halle olympique Rio-GR halle6,ROA Overlay GR Hall 6,ROA Overlay GR Hall 6,ROA Overlay Rhythmic Gymnastics Hall 6,ROA - gymnastique rythmique halle 6,ROA Overlay Rhythmic Gymnastics Hall 6,ROA Overlay Rhythmic Gymnastics Hall 6,,
G12,ROA,,N,ROA Warm up Hall GT,ROA halle d'échauffement - GR,ROA Warm up Hall GT,ROA Warm up Hall GT,ROA Warm up Hall Rhythmic Gymnastics,ROA halle d'échauffement - gymnastique rythmique,ROA Warm up Hall Rhythmic Gymnastics,ROA Warm up Hall Rhythmic Gymnastics,,
G13,ROA,,N,ROA Warm up Hall MAG,ROA halle d'échauffement MAG,ROA Warm up Hall MAG,ROA Warm up Hall MAG,ROA Warm up Hall MAG,ROA halle d'échauffement MAG,ROA Warm up Hall MAG,ROA Warm up Hall MAG,,
G14,ROA,,N,ROA Warm up Hall WAG,ROA halle d'échauffement WAG,ROA Warm up Hall WAG,ROA Warm up Hall WAG,ROA Warm up Hall WAG,ROA halle d'échauffement WAG,ROA Warm up Hall WAG,ROA Warm up Hall WAG,,
G15,ROA,,N,ROA Warm up GR Hall Final,ROA halle d'échauffement - GR,ROA Warm up GR Hall Final,ROA Warm up GR Hall Final,ROA Warm up GR Hall Final,ROA halle d'échauffement - gymnastique rythmique,ROA Warm up GR Hall Final,ROA Warm up GR Hall Final,,
GA1,ROA,1,Y,Rio Olympic Arena-GA Floor,Rio Olympic Arena-GA Sol,Rio Olympic Arena-GA Solo,Ar. Olímpica de Río-GA Suelo,Rio Olympic Arena - GA Floor,Rio Olympic Arena - GA Exercices au sol,Rio Olympic Arena - GA Solo,Arena Olímpica de Río - GA Suelo,ROAGA1,
GA2,ROA,2,Y,Rio Olympic Arena-GA Pommel Ho,Rio Olympic Arena-GA Cheval d,Rio Olympic Arena-GA Cavalo,Ar. Olímpica de Río-GA Caballo,Rio Olympic Arena - GA Pommel Horse,Rio Olympic Arena - GA Cheval d'arçons,Rio Olympic Arena - GA Cavalo,Arena Olímpica de Río - GA Caballo con arzones,ROAGA1,
GA3,ROA,3,Y,Rio Olympic Arena-GA Rings,Rio Olympic Arena-GA Anneaux,Rio Olympic Arena-GA Argolas,Ar. Olímpica de Río-GA Anillas,Rio Olympic Arena - GA Rings,Rio Olympic Arena - GA Anneaux,Rio Olympic Arena - GA Argolas,Arena Olímpica de Río - GA Anillas,ROAGA1,
GA4,ROA,4,Y,Rio Olympic Arena-GA Balance B,Rio Olympic Arena-GA Poutre,Rio Olympic Arena-GA Barra equ,Ar. Olímpica de Río-GA Viga eq,Rio Olympic Arena - GA Balance Beam,Rio Olympic Arena - GA Poutre,Rio Olympic Arena - GA Barra de equilíbrio,Arena Olímpica de Río - GA Viga de equilibrio,ROAGA1,
GA5,ROA,5,Y,Rio Olympic Arena-GA Vault,Rio Olympic Arena GA Cheval sa,Rio Olympic Arena-GA Salto,Ar. Olímpica de Río-GA Salto,Rio Olympic Arena - GA Vault,Rio Olympic Arena - GA Saut de cheval,Rio Olympic Arena - GA Salto,Arena Olímpica de Río - GA Salto,ROAGA1,
GA6,ROA,6,Y,Rio Olympic Arena-GA Parallel,Rio Olympic Arena-GA Barres pa,Rio Olympic Arena-GA Barras pa,Ar. Olímpica de Río-GA B. par.,Rio Olympic Arena - GA Parallel Bar,Rio Olympic Arena - GA Barres parallèles,Rio Olympic Arena - GA Barras paralelas,Arena Olímpica de Río - GA Barras paralelas,ROAGA1,
GA7,ROA,7,Y,Rio Olympic Arena-GA Uneven Ba,Rio Olympic Arena-GA Barre ass,Rio Olympic Arena-GA Barra ass,Ar. Olímpica de Río-GA B. asi.,Rio Olympic Arena - GA Uneven Bars,Rio Olympic Arena - GA Barres asymétriques,Rio Olympic Arena - GA Barras assimétricas,Arena Olímpica de Río - GA Barras asimétricas,ROAGA1,
GA8,ROA,8,Y,Rio Olympic Arena-GA Horizonta,Rio Olympic Arena-GA Barre fix,Rio Olympic Arena-GA Barra fix,Ar. Olímpica de Río-GA B. fija,Rio Olympic Arena - GA Horizontal Bar,Rio Olympic Arena - GA Barre fixe,Rio Olympic Arena - GA Barra fixa,Arena Olímpica de Río - GA Barra fija,ROAGA1,
GAM,ROA,9,Y,Rio Olympic Arena - GA Men,Rio Olympic Arena - GA Hommes,Rio Olympic Arena-GA Masculino,Ar. Olímpica de Río-GA Masc.,Rio Olympic Arena - GA Men's competition,Rio Olympic Arena - GA Hommes,Rio Olympic Arena - GA Masculino,Arena Olímpica de Río - GA Competencia masculina,ROAGA1,"GA1,GA2,GA3,GA5,GA6,GA8"
GAW,ROA,10,Y,Rio Olympic Arena - GA Women,Rio Olympic Arena - GA Femmes,Rio Olympic Arena-GA Feminino,Ar. Olímpica de Río-GA Fem.,Rio Olympic Arena - GA Women's competition,Rio Olympic Arena - GA Femmes,Rio Olympic Arena - GA Feminino,Arena Olímpica de Río - GA Competencia femenina,ROAGA1,"GA1,GA4,GA5,GA7"
GIG,GIG,,N,Tom Jobim Intl Airport,Aéroport Inter. Tom Jobim,Aeroporto Intl Tom Jobim,Aeropuerto Int. Tom Jobim,Tom Jobim International Airport,Aéroport International Tom Jobim,Aeroporto Internacional Tom Jobim,Aeropuerto Internacional Tom Jobim,,
GLO,GLO,,Y,Marina da Glória,Marina da Glória,Marina da Glória,Marina da Glória,Marina da Glória,Marina da Glória,Marina da Glória,Marina da Glória,GLOSA1,
GO1,OGC,1,Y,Olympic Golf Course,Parcours Olympique de Golf,Campo Olímpico de Golfe,Campo Olímpico de Golf,Olympic Golf Course,Parcours Olympique de Golf,Campo Olímpico de Golfe,Campo Olímpico de Golf,OGCGO1,
GO2,OGC,,N,Olympic Golf Course - Training,OGC - parcours d'échauffement,Olympic Golf Course - Training,Olympic Golf Course - Training,Olympic Golf Course - Training,Parcours olympique de golf - échauffement,Olympic Golf Course - Training,Olympic Golf Course - Training,,
GR1,ROA,1,Y,Rio Olympic Arena - GR,Arène Olympique de Rio - GR,Arena Olímpica do Rio - GR,Arena Olímpica de Río - GR,Rio Olympic Arena - Rhythmic Gymnastics,Arène Olympique de Rio - Gymnastique rythmique,Arena Olímpica do Rio - Ginástica Rítmica,Arena Olímpica de Río - Gimnasia rítmica,ROAGR1,
GRA,GRA,,N,Grooms Accommodation,Hébergement palefreniers,Acomodação dos Tratadores,Acomodación palafreneros,Grooms Accommodation,Hébergement des palefreniers,Acomodação dos Tratadores,Acomodación de los palafreneros,,
GRU,GRU,,N,Guarulhos Intl Airport,Aéroport inter. Guarulhos,Aeroporto Intl Guarulhos,Aeropuerto Int. Guarulhos,Guarulhos International Airport,Aéroport international de Guarulhos,Aeroporto Internacional de Guarulhos,Aeropuerto Internacional de Guarulhos,,
GT1,ROA,1,Y,Rio Olympic Arena - GT,Arène Olympique de Rio - GT,Arena Olímpica do Rio - GT,Arena Olímpica de Río - GT,Rio Olympic Arena - Trampoline Gymnastics,Arène Olympique de Rio - Trampoline,Arena Olímpica do Rio - Ginástica de Trampolim,Arena Olímpica de Río - Gimnasia en trampolín,ROAGT1,
HB1,FTA,1,Y,Future Arena,Arène du Futur,Arena do Futuro,Arena del Futuro,Future Arena,Arène du Futur,Arena do Futuro,Arena del Futuro,FTAHB1,
HB2,FTA,,N,Future Arena - Warm Up Court,FTA - court d'échauffement,Future Arena - Warm Up Court,Future Arena - Warm Up Court,Future Arena - Warm Up Court,Halle du futur - court d'échauffement,Future Arena - Warm Up Court,Future Arena - Warm Up Court,,
HB3,OVP,,N,Athletes' Park - Court 1,Parc des athletes - court 1,Athletes' Park - Court 1,Athletes' Park - Court 1,Athletes' Park - Court 1,Parc des athletes - court 1,Athletes' Park - Court 1,Athletes' Park - Court 1,,
HB4,OVP,,N,Athletes' Park - Court 2,Parc des athletes - court 2,Athletes' Park - Court 2,Athletes' Park - Court 2,Athletes' Park - Court 2,Parc des athletes - court 2,Athletes' Park - Court 2,Athletes' Park - Court 2,,
HB5,OVP,,N,Athletes' Park - Court 3,Parc des athletes - court 3,Athletes' Park - Court 3,Athletes' Park - Court 3,Athletes' Park - Court 3,Parc des athletes - court 3,Athletes' Park - Court 3,Athletes' Park - Court 3,,
HO1,OHK,1,Y,Olympic Hockey Centre - Pitch1,Centre Olymp. Hockey-Terrain1,Centro Olímpico Hóquei-Campo 1,Ctro Olímpico Hockey - campo 1,Olympic Hockey Centre - Hockey Pitch 1,Centre Olympique de Hockey - Hockey Terrain 1,Centro Olímpico Hóquei-Hóquei sobre Grama Campo 1,Centro Olímpico Hockey-Hockey sobre césped campo 1,OHKHO1,
HO2,OHK,2,Y,Olympic Hockey Centre - Pitch2,Centre Olymp. Hockey-Terrain2,Centro Olímpico Hóquei-Campo 2,Ctro Olímpico Hockey - campo 2,Olympic Hockey Centre - Hockey Pitch 2,Centre Olympique de Hockey - Hockey Terrain 2,Centro Olímpico Hóquei-Hóquei sobre Grama Campo 2,Centro Olímpico Hockey-Hockey sobre césped campo 2,OHKHO1,
HO3,OHK,3,Y,Olympic Hockey Centre - Pitch3,Centre Olymp. Hockey-Terrain3,Centro Olímpico Hóquei-Campo 3,Ctro Olímpico Hockey - campo 3,Olympic Hockey Centre - Hockey Pitch 3,Centre Olympique de Hockey - Hockey Terrain 3,Centro Olímpico Hóquei-Hóquei sobre Grama Campo 3,Centro Olímpico Hockey-Hockey sobre césped campo 3,OHKHO1,
HO4,FUR,,N,Federal University of Rio - HO,Uni de Rio de Janeiro - hockey,Federal University of Rio - HO,Federal University of Rio - HO,Federal University of Rio - Hockey,Université fédérale de Rio de Janeiro - hockey,Federal University of Rio - Hockey,Federal University of Rio - Hockey,,
IBC,IBC,,N,Intl Broadcast Centre,Ctre Inter. Radio et TV,Centro Intl Radiodifusão,Ctro Int. Radiodifusión,International Broadcast Centre (IBC),Ctre International de Radio et Télévision (CIRTV),Centro Internacional de Radiodifusão (IBC),Centro Internacional de Radiodifusión (IBC),,
INS,INS,,N,Independência Stadium-BH,Stade Independência (BH),Estádio Independência-BH,Estadio Independência-BH,Independência Stadium (Belo Horizonte),Stade Independência (Belo Horizonte),Estádio Independência (Belo Horizonte),Estadio Independência (Belo Horizonte),,
JU1,CA2,1,Y,Carioca Arena 2 - Judo Mat 1,Aréna Carioca 2 - Judo Tapis 1,Arena Carioca 2-Judô Tatame 1,Arena Carioca 2- Judo Tatami 1,Carioca Arena 2 - Judo Mat 1,Aréna Carioca 2 - Judo Tapis 1,Arena Carioca 2 - Judô Tatame 1,Arena Carioca 2 - Judo Tatami 1,CA2JU1,
JU2,CA2,2,Y,Carioca Arena 2 - Judo Mat 2,Aréna Carioca 2 - Judo Tapis 2,Arena Carioca 2-Judô Tatame 2,Arena Carioca 2- Judo Tatami 2,Carioca Arena 2 - Judo Mat 2,Aréna Carioca 2 - Judo Tapis 2,Arena Carioca 2 - Judô Tatame 2,Arena Carioca 2 - Judo Tatami 2,CA2JU1,
JU3,OVP,,N,Athletes' Park - JU,Parc des athletes - judo,Athletes' Park - JU,Athletes' Park - JU,Athletes' Park - Judo,Parc des athletes - judo,Athletes' Park - Judo,Athletes' Park - Judo,,
LAG,LAG,,Y,Lagoa Stadium,Stade de Lagoa,Estádio da Lagoa,Estadio de Lagoa,Lagoa Stadium,Stade de Lagoa,Estádio da Lagoa,Estadio de Lagoa,,
LDT,LDT,,N,Lanna Drumond Trn Center,Ctr de form Lanna Drumond,Lanna Drumond Trn Center,Lanna Drumond Trn Center,Lanna Drumond Training Center,Centre de formation Lanna Drumond,Lanna Drumond Training Center,Lanna Drumond Training Center,,
MAO,MAO,,N,Manaus Intl Airport,Aéroport inter. de Manaus,Aeroporto Intl Manaus,Aeropuerto Int. de Manaus,Manaus International Airport,Aéroport international de Manaus,Aeroporto Internacional de Manaus,Aeropuerto Internacional de Manaus,,
MBT,MBT,,Y,Mountain Bike Centre,Centre de Mountain Bike,Centro de Mountain Bike,Centro de Ciclismo de Montaña,Mountain Bike Centre,Centre de Mountain Bike,Centro de Mountain Bike,Centro de Ciclismo de Montaña,MBTCM1,
MCD,MCD,,N,Maracanã Common Domain,Zone publique de Maracanã,Área Comum do Maracanã,Espacio Común Maracanã,Maracanã Common Domain,Zone publique de Maracanã,Área Comum do Maracanã,Espacio Común del Maracanã,,
MGA,MGA,,Y,Mané Garrincha Stadium,Stade Mané Garrincha,Estádio Mané Garrincha,Estadio Mané Garrincha,Mané Garrincha Stadium,Stade Mané Garrincha,Estádio Mané Garrincha,Estadio Mané Garrincha,MGAFB1,
MIN,MIN,,Y,Mineirão,Mineirão,Mineirão,Mineirão,Mineirão,Mineirão,Mineirão,Mineirão,MINFB1,
MNZ,MNZ,,Y,Maracanãzinho,Maracanãzinho,Maracanãzinho,Maracanãzinho,Maracanãzinho,Maracanãzinho,Maracanãzinho,Maracanãzinho,MNZVO1,
MOC,MOC,,N,Main Operations Centre,Ctre Principal Opérations,Ctr. Principal Operações,Ctro Principal de Op.,Main Operations Centre,Centre Principal des Opérations,Centro Principal de Operações,Centro Principal de Operaciones,,
MP1,DAQ,1,Y,Deodoro Aquatics Centre - MP,Centre Aquatique Deodoro - MP,Centro Aquático Deodoro - MP,Centro Acuático de Deodoro-MP,Deodoro Aquatics Centre - Modern Pentathlon,Centre Aquatique de Deodoro - Pentathlon moderne,Centro Aquático de Deodoro - Pentatlo Moderno,Centro Acuático de Deodoro - Pentatlón moderno,DAQMP1,
MP2,DES,2,Y,Deodoro Stadium - MP,Stade de Deodoro - MP,Estádio de Deodoro - MP,Estadio de Deodoro - MP,Deodoro Stadium - Modern Pentathlon,Stade de Deodoro - Pentathlon moderne,Estádio de Deodoro - Pentatlo Moderno,Estádio de Deodoro - Pentatlón moderno,DESMP1,
MP3,YOA,3,Y,Youth Arena - MP,Arène de Jeunesse - MP,Arena da Juventude - MP,Arena de la Juventud - MP,Youth Arena - Modern Pentathlon,Arène de la Jeunesse - Pentathlon moderne,Arena da Juventude - Pentatlo Moderno,Arena de la Juventud - Pentatlón moderno,YOAMP1,
MP4,CIG,,N,Gerinicó Instruction Camp,Camp d'instrcution Gerinic,Gerinicó Instruction Camp,Gerinicó Instruction Camp,Gerinicó Instruction Camp,Camp d'instrcution Gerinic,Gerinicó Instruction Camp,Gerinicó Instruction Camp,,
MPC,MPC,,N,Main Press Centre (MPC),Ctre Princ. Presse (CPP),Ctr Principal de Imprensa,Ctro Princ. Prensa (MPC),Main Press Centre (MPC),Centre Principal de Presse (CPP),Centro Principal de Imprensa (MPC),Centro Principal de Prensa (MPC),,
MRC,MRC,,Y,Maracanã,Maracanã,Maracanã,Maracanã,Maracanã,Maracanã,Maracanã,Maracanã,MRCFB1,
MSJ,MSJ,,N,Mata de São João Trn Site,Mata de São João,Mata de São João Trn Site,Mata de São João Trn Site,Mata de São João Training Site,Site d'entrainement Mata de São João,Mata de São João Training Site,Mata de São João Training Site,,
MUL,MUL,,N,Multiple Venues,Site multiples,Multiple Venues,Multiple Venues,Multiple Venues,Site multiples,Multiple Venues,Multiple Venues,,
OAS,OAS,,Y,Olympic Aquatics Stadium,Stade Aquatique Olympique,Estádio Aquático Olímpico,Estadio Acuático Olímpico,Olympic Aquatics Stadium,Stade Aquatique Olympique,Estádio Aquático Olímpico,Estadio Acuático Olímpico,,
OF2,OF2,,N,Olympic Family Hotel 2,Hôtel 2 famille olympique,Hotel Família Olímpica 2,Hotel Familia Olímpica 2,Olympic Family Hotel 2 - Windsor Barra & Oceânico,Hôtel 2 famille olympique - Windsor Barra&Oceânico,Hotel Fam Olímp 2 - Windsor Barra&Windsor Oceânico,Hotel Fam. Olímpica 2 - Windsor Barra & Oceânico,,
OF3,OF3,,N,IOC Staff Hotel,Hôtel du personnel du CIO,Hotel Funcionários do COI,Hotel del Personal COI,IOC Staff Hotel - Novotel Barra,Hôtel du personnel du CIO - Novotel Barra,Hotel dos Funcionários do COI - Novotel Barra,Hotel del Personal del COI - Novotel Barra,,
OFH,OFH,,N,Main Olympic Family Hotel,Hôtel princ fam olympique,Hotel Princ Família Olímp,Hotel Princ Fam. Olímpica,Main Olympic Family Hotel - Windsor Marapendi,Hôtel principal fam. olympique - Windsor Marapendi,Hotel Princ. Família Olímpica - Windsor Marapendi,Hotel Princ. Familia Olímpica - Windsor Marapendi,,
OFS,OFS,,N,Antonio Otoni Filho Stad,Stade Antonio Otoni Filho,Antonio Otoni Filho Stad,Antonio Otoni Filho Stad,Antonio Otoni Filho Stadium,Stade Antonio Otoni Filho,Antonio Otoni Filho Stadium,Antonio Otoni Filho Stadium,,
OGC,OGC,,Y,Olympic Golf Course,Parcours Olympique de Golf,Campo Olímpico de Golfe,Campo Olímpico de Golf,Olympic Golf Course,Parcours Olympique de Golf,Campo Olímpico de Golfe,Campo Olímpico de Golf,OGCGO1,
OH1,OH1,,N,Olym. Designated Hospital,Hôpital Désigné Olympique,Hosp. Olím. de Referência,Olímp. Hospital Designado,Olympic Designated Hospital,Hôpital Désigné Olympique,Hospital Olímpico de Referência,Olímpico Hospital Designado,,
OH2,OH2,,N,Olympic Hospital 2,Hôpital Olympique 2,Hospital Olímpico 2,Olímpico Hospital 2,Olympic Hospital 2,Hôpital Olympique 2,Hospital Olímpico 2,Olímpico Hospital 2,,
OH3,OH3,,N,Olympic Hospital 3,Hôpital Olympique 3,Hospital Olímpico 3,Olímpico Hospital 3,Olympic Hospital 3,Hôpital Olympique 3,Hospital Olímpico 3,Olímpico Hospital 3,,
OHK,OHK,,Y,Olympic Hockey Centre,Centre Olympique de Hockey,Centro Olímpico de Hóquei,Centro Olímpico de Hockey,Olympic Hockey Centre,Centre Olympique de Hockey,Centro Olímpico de Hóquei,Centro Olímpico de Hockey,OHKHO1,
OLS,OLS,,Y,Olympic Stadium,Stade Olympique,Estádio Olímpico,Estadio Olímpico,Olympic Stadium,Stade Olympique,Estádio Olímpico,Estadio Olímpico,,
OLV,OLV,,N,Olympic&Paralympic Vill,Vil. olympique&paralymp.,Vila Olímpica&Paralímpica,Villa Olímp./Paralímpica,Olympic and Paralympic Village,Village olympique et paralympique,Vila Olímpica e Paralímpica,Villa Olímpica y Paralímpica,,
OSC,OSC,,Y,Olympic Shooting Centre,Centre Olympique de Tir,Centro Olímpico de Tiro,Centro Olímpico de Tiro,Olympic Shooting Centre,Centre Olympique de Tir,Centro Olímpico de Tiro,Centro Olímpico de Tiro,OSCSH1,
