Discipline,Gender,Event,phase,type,ENG Description,POR Description,ENG longdescription,POR longdescription,ENG phase Description,POR phase Description
AT,M,654,0,8,Men's Discus Throw - F54/55/56,Lançamento disco masc - F54/55/56,Men's Discus Throw - F54/55/56,Lançamento do disco masculino - F54/55/56,"",""
AT,M,654,1,3,Men's Discus Throw - F54/55/56 Final,"Lançamento disco masc - F54/55/56, final",Men's Discus Throw - F54/55/56 Final,"Lançamento do disco masculino - F54/55/56, final",Final,Final
AT,M,654,9,3,Men's Discus Throw- F54/55/56 Qualifying,"Lançamento disco masc - F54/55/56, class",Men's Discus Throw - F54/55/56 Qualifying,"Lançamento do disco masculino - F54/55/56, classificatórias",Qualifying,Classificatória
AT,M,654,M,6,Men's Discus Throw - F54/55/56 VC,"Lançamento disco masc-F54/55/56,premiaçã",Men's Discus Throw - F54/55/56 Victory Ceremony,"Lançamento do disco masculino - F54/55/56, cerimônia de premiação",Victory Ceremony,Cerimônia de premiação
AT,M,654,N,7,Men's Discus Throw - F54/55/56 Draw,"Lançamento disco masc-F54/55/56, sorteio",Men's Discus Throw - F54/55/56 Draw,"Lançamento do disco masculino - F54/55/56, sorteio",Draw,Sorteio
AT,M,660,0,8,Men's Javelin Throw - F12/13,Lançamento dardo masc - F12/13,Men's Javelin Throw - F12/13,Lançamento do dardo masculino - F12/13,"",""
AT,M,660,1,3,Men's Javelin Throw - F12/13 Final,"Lançamento dardo masc - F12/13, final",Men's Javelin Throw - F12/13 Final,"Lançamento do dardo masculino - F12/13, final",Final,Final
AT,M,660,9,3,Men's Javelin Throw - F12/13 Qualifying,"Lançamento dardo masc - F12/13, class",Men's Javelin Throw - F12/13 Qualifying,"Lançamento do dardo masculino - F12/13, classificatórias",Qualifying,Classificatória
AT,M,660,M,6,Men's Javelin Throw - F12/13 VC,"Lançamento dardo masc - F12/13,premiação",Men's Javelin Throw - F12/13 Victory Ceremony,"Lançamento do dardo masculino - F12/13, cerimônia de premiação",Victory Ceremony,Cerimônia de premiação
AT,M,660,N,7,Men's Javelin Throw - F12/13 Draw,"Lançamento dardo masc - F12/13, sorteio",Men's Javelin Throw - F12/13 Draw,"Lançamento do dardo masculino - F12/13, sorteio",Draw,Sorteio
AT,M,662,0,8,Men's Javelin Throw - F42,Lançamento dardo masc - F42,Men's Javelin Throw - F42,Lançamento do dardo masculino - F42,"",""
AT,M,662,1,3,Men's Javelin Throw - F42 Final,"Lançamento dardo masc - F42, final",Men's Javelin Throw - F42 Final,"Lançamento do dardo masculino - F42, final",Final,Final
AT,M,662,9,3,Men's Javelin Throw - F42 Qualifying,"Lançamento dardo masc - F42, class",Men's Javelin Throw - F42 Qualifying,"Lançamento do dardo masculino - F42, classificatórias",Qualifying,Classificatória
AT,M,662,M,6,Men's Javelin Throw - F42 VC,"Lançamento dardo masc - F42, premiação",Men's Javelin Throw - F42 Victory Ceremony,"Lançamento do dardo masculino - F42, cerimônia de premiação",Victory Ceremony,Cerimônia de premiação
AT,M,662,N,7,Men's Javelin Throw - F42 Draw,"Lançamento dardo masc - F42, sorteio",Men's Javelin Throw - F42 Draw,"Lançamento do dardo masculino - F42, sorteio",Draw,Sorteio
AT,M,664,0,8,Men's Javelin Throw - F44,Lançamento dardo masc - F44,Men's Javelin Throw - F44,Lançamento do dardo masculino - F44,"",""
AT,M,664,1,3,Men's Javelin Throw - F44 Final,"Lançamento dardo masc - F44, final",Men's Javelin Throw - F44 Final,"Lançamento do dardo masculino - F44, final",Final,Final
AT,M,664,9,3,Men's Javelin Throw - F44 Qualifying,"Lançamento dardo masc - F44, class",Men's Javelin Throw - F44 Qualifying,"Lançamento do dardo masculino - F44, classificatórias",Qualifying,Classificatória
AT,M,664,M,6,Men's Javelin Throw - F44 VC,"Lançamento dardo masc - F44, premiação",Men's Javelin Throw - F44 Victory Ceremony,"Lançamento do dardo masculino - F44, cerimônia de premiação",Victory Ceremony,Cerimônia de premiação
AT,M,664,N,7,Men's Javelin Throw - F44 Draw,"Lançamento dardo masc - F44, sorteio",Men's Javelin Throw - F44 Draw,"Lançamento do dardo masculino - F44, sorteio",Draw,Sorteio
AT,M,667,0,8,Men's Javelin Throw - F57/58,Lançamento dardo masc - F57/58,Men's Javelin Throw - F57/58,Lançamento do dardo masculino - F57/58,"",""
AT,M,667,1,3,Men's Javelin Throw - F57/58 Final,"Lançamento dardo masc - F57/58, final",Men's Javelin Throw - F57/58 Final,"Lançamento do dardo masculino - F57/58, final",Final,Final
AT,M,667,9,3,Men's Javelin Throw - F57/58 Qualifying,"Lançamento dardo masc - F57/58, class",Men's Javelin Throw - F57/58 Qualifying,"Lançamento do dardo masculino - F57/58, classificatórias",Qualifying,Classificatória
