Discipline,Gender,Event,phase,type,ENG Description,POR Description,ENG longdescription,POR longdescription,ENG phase Description,POR phase Description
SW,W,752,9,3,Women's 4x100m Medley - 34pts Heats,"4x100m medley fem-34 pont,eliminatórias",Women's 4x100m Medley Relay - 34 Points Heats,"Revezamento 4x100m medley feminino - 34 pontos, eliminatórias",Heats,Séries
SW,W,752,M,6,Women's 4x100m Medley -34pts VC,"4x100m medley fem-34 pontos,premiação",Women's 4x100m Medley Relay - 34 Points Victory Ceremony,"Revezamento 4x100m medley feminino - 34 pontos, cerimônia de premiação",Victory Ceremony,Cerimônia de premiação
SW,X,000,0,8,Mixed Swimming,Natação mista,Mixed Swimming,Natação mista,"",""
SW,X,611,0,8,Mixed 4x50m Freestyle Relay - 20 Points,Revezamento 4x50m livre misto-20 pontos,Mixed 4x50m Freestyle Relay - 20 Points,Revezamento 4x50m livre misto - 20 pontos,"",""
SW,X,611,1,3,Mixed 4x50m Freestyle - 20 Points Final,"4x50m livre misto-20 pontos, final",Mixed 4x50m Freestyle Relay - 20 Points Final,"Revezamento 4x50m livre misto - 20 pontos, final",Final,Final
SW,X,611,9,3,Mixed 4x50m Freestyle - 20 Points Heats,"4x50m livre misto-20 pont,eliminatórias",Mixed 4x50m Freestyle Relay - 20 Points Heats,"Revezamento 4x50m livre misto - 20 pontos ,eliminatórias",Heats,Séries
SW,X,611,M,6,Mixed 4x50m Freestyle - 20 Points VC,4x50m livre misto-20 pontos VC,Mixed 4x50m Freestyle Relay - 20 Points Victory Ceremony,"Revezamento 4x50m livre misto - 20 pontos, cerimônia de premiação",Victory Ceremony,Cerimônia de premiação
TR,0,000,0,8,Triathlon,Triatlo,Triathlon,Triatlo,"",""
TR,0,FTC,0,8,Fort Copacabana,Forte de Copacabana,Fort Copacabana,Forte de Copacabana,"",""
TR,M,000,0,8,Men,Masculino,Men,Masculino,"",""
TR,M,001,0,8,Men - PT1,Masculino - PT1,Men - PT1,Masculino - PT1,"",""
TR,M,001,1,3,Men - PT1 Final,Masculino - PT1 Final,Men - PT1 Final,Masculino - PT1 Final,Final,Final
TR,M,001,M,6,Men - PT1 Victory Ceremony,Masculino - PT1 Cerimônia de premiação,Men - PT1 Victory Ceremony,Masculino - PT1 Cerimônia de premiação,Victory Ceremony,Cerimônia de premiação
TR,M,002,0,8,Men - PT2,Masculino - PT2,Men - PT2,Masculino - PT2,"",""
TR,M,002,1,3,Men - PT2 Final,Masculino - PT2 Final,Men - PT2 Final,Masculino - PT2 Final,Final,Final
TR,M,002,M,6,Men - PT2 Victory Ceremony,Masculino - PT2 Cerimônia de premiação,Men - PT2 Victory Ceremony,Masculino - PT2 Cerimônia de premiação,Victory Ceremony,Cerimônia de premiação
TR,M,004,0,8,Men - PT4,Masculino - PT4,Men - PT4,Masculino - PT4,"",""
TR,M,004,1,3,Men - PT4 Final,Masculino - PT4 Final,Men - PT4 Final,Masculino - PT4 Final,Final,Final
TR,M,004,M,6,Men - PT4 Victory Ceremony,Masculino - PT4 Cerimônia de premiação,Men - PT4 Victory Ceremony,Masculino - PT4 Cerimônia de premiação,Victory Ceremony,Cerimônia de premiação
TR,W,000,0,8,Women,Feminino,Women,Feminino,"",""
TR,W,002,0,8,Women - PT2,Feminino - PT2,Women - PT2,Feminino - PT2,"",""
TR,W,002,1,3,Women - PT2 Final,Feminino - PT2 Final,Women - PT2 Final,Feminino - PT2 Final,Final,Final
TR,W,002,M,6,Women - PT2 Victory Ceremony,Feminino - PT2 Cerimônia de premiação,Women - PT2 Victory Ceremony,Feminino - PT2 Cerimônia de premiação,Victory Ceremony,Cerimônia de premiação
TR,W,004,0,8,Women - PT4,Feminino - PT4,Women - PT4,Feminino - PT4,"",""
TR,W,004,1,3,Women - PT4 Final,Feminino - PT4 Final,Women - PT4 Final,Feminino - PT4 Final,Final,Final
TR,W,004,M,6,Women - PT4 Victory Ceremony,Feminino - PT4 Cerimônia de premiação,Women - PT4 Victory Ceremony,Feminino - PT4 Cerimônia de premiação,Victory Ceremony,Cerimônia de premiação
TR,W,005,0,8,Women - PT5,Feminino - PT5,Women - PT5,Feminino - PT5,"",""
TR,W,005,1,3,Women - PT5 Final,Feminino - PT5 Final,Women - PT5 Final,Feminino - PT5 Final,Final,Final
TR,W,005,M,6,Women - PT5 Victory Ceremony,Feminino - PT5 Cerimônia de premiação,Women - PT5 Victory Ceremony,Feminino - PT5 Cerimônia de premiação,Victory Ceremony,Cerimônia de premiação
TT,0,000,0,8,Table Tennis,Tênis de mesa,Table Tennis,Tênis de mesa,,
TT,0,000,N,7,Table Tennis Draw,"Tênis de mesa, sorteio",Table Tennis Draw,"Tênis de mesa, sorteio",,
TT,0,000,Z,8,Table Tennis - Session,"Tênis de mesa, sessão",Table Tennis - Session,"Tênis de mesa, sessão",,
TT,0,001,0,8,Singles,Simples,Singles,Simples,,
TT,0,001,Y,8,Singles Daily Schedule,"TT, simples, programação diária",Singles Daily Schedule,"Tênis de mesa, simples, programação diária",,
TT,0,400,0,8,Teams,Equipes,Teams,Equipes,,
TT,0,400,Y,8,Teams Daily Schedule,"TT, equipes, programação diária",Teams Daily Schedule,"Tênis de mesa, equipes, programação diária",,
TT,0,RC3,0,8,Riocentro - Pavilion 3,Riocentro - Pavilhão 3,Riocentro - Pavilion 3,Riocentro - Pavilhão 3,,
TT,M,000,0,8,Men's Table Tennis,Tênis de mesa masculino,Men's Table Tennis,Tênis de mesa masculino,,
TT,M,000,M,6,Men's Table Tennis VC,"Tênis de mesa masculino, cer. premiação",Men's Table Tennis Victory Ceremony,"Tênis de mesa masculino, cerimônia de premiação",,
TT,M,001,0,8,Men's Singles - Class 1,Simples masculino - classe 1,Men's Singles - Class 1,Simples masculino - classe 1,,
TT,M,001,1,3,Men's Singles - Class 1 Finals,"Simples masculino - classe 1, finais",Men's Singles - Class 1 Finals,"Simples masculino - classe 1, finais",Finals,Finais
TT,M,001,2,3,Men's Singles - Class 1 Semifinals,"Simples masc - classe 1, semifinais",Men's Singles - Class 1 Semifinals,"Simples masculino - classe 1, semifinais",Semifinals,Semifinais
TT,M,001,3,3,Men's Singles - Class 1 Q-finals,"Simples masc - classe 1, quartas",Men's Singles - Class 1 Quarterfinals,"Simples masculino - classe 1, quartas de final",Quarterfinals,Quartas de finais
TT,M,001,4,3,Men's Singles - Class 1 First Round,"Simples masc - classe 1, oitavas",Men's Singles - Class 1 First Round,"Simples masculino - classe 1, oitavas de final",First Round,Oitavas de final
TT,M,001,9,3,Men's Singles - Class 1 Preliminaries,"Simples masc - classe 1, fase de grupos",Men's Singles - Class 1 Preliminaries,"Simples masculino - classe 1, fase de grupos",Preliminaries,Fase de grupos
TT,M,001,A,3,Men's Singles - Class 1 Group A,"Simples masc - classe 1, grupo A",Men's Singles - Class 1 Group A,"Simples masculino - classe 1, grupo A",Group A,Grupo A
TT,M,001,B,3,Men's Singles - Class 1 Group B,"Simples masc - classe 1, grupo B",Men's Singles - Class 1 Group B,"Simples masculino - classe 1, grupo B",Group B,Grupo B
TT,M,001,C,3,Men's Singles - Class 1 Group C,"Simples masc - classe 1, grupo C",Men's Singles - Class 1 Group C,"Simples masculino - classe 1, grupo C",Group C,Grupo C
TT,M,001,D,3,Men's Singles - Class 1 Group D,"Simples masc - classe 1, grupo D",Men's Singles - Class 1 Group D,"Simples masculino - classe 1, grupo D",Group D,Grupo D
TT,M,001,E,3,Men's Singles - Class 1 Group E,"Simples masc - classe 1, grupo E",Men's Singles - Class 1 Group E,"Simples masculino - classe 1, grupo E",Group E,Grupo E
TT,M,001,F,3,Men's Singles - Class 1 Group F,"Simples masc - classe 1, grupo F",Men's Singles - Class 1 Group F,"Simples masculino - classe 1, grupo F",Group F,Grupo F
TT,M,001,M,6,Men's Singles - Class 1 VC,"Simples masc - classe 1, cer. premiação",Men's Singles - Class 1 Victory Ceremony,"Simples masculino - classe 1, cerimônia de premiação",Victory Ceremony,Cerimônia de premiação
TT,M,002,0,8,Men's Singles - Class 2,Simples masculino - classe 2,Men's Singles - Class 2,Simples masculino - classe 2,"",""
TT,M,002,1,3,Men's Singles - Class 2 Finals,"Simples masculino - classe 2, finais",Men's Singles - Class 2 Finals,"Simples masculino - classe 2, finais",Finals,Finais
TT,M,002,2,3,Men's Singles - Class 2 Semifinals,"Simples masc - classe 2, semifinais",Men's Singles - Class 2 Semifinals,"Simples masculino - classe 2, semifinais",Semifinals,Semifinais
TT,M,002,3,3,Men's Singles - Class 2 Q-finals,"Simples masc - classe 2, quartas",Men's Singles - Class 2 Quarterfinals,"Simples masculino - classe 2, quartas de final",Quarterfinals,Quartas de finais
TT,M,002,4,3,Men's Singles - Class 2 First Round,"Simples masc - classe 2, oitavas",Men's Singles - Class 2 First Round,"Simples masculino - classe 2, oitavas de final",First Round,Oitavas de final
TT,M,002,9,3,Men's Singles - Class 2 Preliminaries,"Simples masc - classe 2, fase de grupos",Men's Singles - Class 2 Preliminaries,"Simples masculino - classe 2, fase de grupos",Preliminaries,Fase de grupos
TT,M,002,A,3,Men's Singles - Class 2 Group A,"Simples masc - classe 2, grupo A",Men's Singles - Class 2 Group A,"Simples masculino - classe 2, grupo A",Group A,Grupo A
TT,M,002,B,3,Men's Singles - Class 2 Group B,"Simples masc - classe 2, grupo B",Men's Singles - Class 2 Group B,"Simples masculino - classe 2, grupo B",Group B,Grupo B
TT,M,002,C,3,Men's Singles - Class 2 Group C,"Simples masc - classe 2, grupo C",Men's Singles - Class 2 Group C,"Simples masculino - classe 2, grupo C",Group C,Grupo C
TT,M,002,D,3,Men's Singles - Class 2 Group D,"Simples masc - classe 2, grupo D",Men's Singles - Class 2 Group D,"Simples masculino - classe 2, grupo D",Group D,Grupo D
TT,M,002,E,3,Men's Singles - Class 2 Group E,"Simples masc - classe 2, grupo E",Men's Singles - Class 2 Group E,"Simples masculino - classe 2, grupo E",Group E,Grupo E
TT,M,002,F,3,Men's Singles - Class 2 Group F,"Simples masc - classe 2, grupo F",Men's Singles - Class 2 Group F,"Simples masculino - classe 2, grupo F",Group F,Grupo F
TT,M,002,M,6,Men's Singles - Class 2 VC,"Simples masc - classe 2, cer. premiação",Men's Singles - Class 2 Victory Ceremony,"Simples masculino - classe 2, cerimônia de premiação",Victory Ceremony,Cerimônia de premiação
TT,M,003,0,8,Men's Singles - Class 3,Simples masculino - classe 3,Men's Singles - Class 3,Simples masculino - classe 3,"",""
TT,M,003,1,3,Men's Singles - Class 3 Finals,"Simples masculino - classe 3, finais",Men's Singles - Class 3 Finals,"Simples masculino - classe 3, finais",Finals,Finais
TT,M,003,2,3,Men's Singles - Class 3 Semifinals,"Simples masc - classe 3, semifinais",Men's Singles - Class 3 Semifinals,"Simples masculino - classe 3, semifinais",Semifinals,Semifinais
TT,M,003,3,3,Men's Singles - Class 3 Q-finals,"Simples masc - classe 3, quartas",Men's Singles - Class 3 Quarterfinals,"Simples masculino - classe 3, quartas de final",Quarterfinals,Quartas de finais
TT,M,003,4,3,Men's Singles - Class 3 First Round,"Simples masc - classe 3, oitavas",Men's Singles - Class 3 First Round,"Simples masculino - classe 3, oitavas de final",First Round,Oitavas de final
TT,M,003,9,3,Men's Singles - Class 3 Preliminaries,"Simples masc - classe 3, fase de grupos",Men's Singles - Class 3 Preliminaries,"Simples masculino - classe 3, fase de grupos",Preliminaries,Fase de grupos
TT,M,003,A,3,Men's Singles - Class 3 Group A,"Simples masc - classe 3, grupo A",Men's Singles - Class 3 Group A,"Simples masculino - classe 3, grupo A",Group A,Grupo A
TT,M,003,B,3,Men's Singles - Class 3 Group B,"Simples masc - classe 3, grupo B",Men's Singles - Class 3 Group B,"Simples masculino - classe 3, grupo B",Group B,Grupo B
TT,M,003,C,3,Men's Singles - Class 3 Group C,"Simples masc - classe 3, grupo C",Men's Singles - Class 3 Group C,"Simples masculino - classe 3, grupo C",Group C,Grupo C
TT,M,003,D,3,Men's Singles - Class 3 Group D,"Simples masc - classe 3, grupo D",Men's Singles - Class 3 Group D,"Simples masculino - classe 3, grupo D",Group D,Grupo D
TT,M,003,E,3,Men's Singles - Class 3 Group E,"Simples masc - classe 3, grupo E",Men's Singles - Class 3 Group E,"Simples masculino - classe 3, grupo E",Group E,Grupo E
TT,M,003,F,3,Men's Singles - Class 3 Group F,"Simples masc - classe 3, grupo F",Men's Singles - Class 3 Group F,"Simples masculino - classe 3, grupo F",Group F,Grupo F
TT,M,003,G,3,Men's Singles - Class 3 Group G,"Simples masc - classe 3, grupo G",Men's Singles - Class 3 Group G,"Simples masculino - classe 3, grupo G",Group G,Grupo G
TT,M,003,H,3,Men's Singles - Class 3 Group H,"Simples masc - classe 3, grupo H",Men's Singles - Class 3 Group H,"Simples masculino - classe 3, grupo H",Group H,Grupo H
TT,M,003,I,3,Men's Singles - Class 3 Group I,"Simples masc - classe 3, grupo I",Men's Singles - Class 3 Group I,"Simples masculino - classe 3, grupo I",Group I,Grupo I
TT,M,003,J,3,Men's Singles - Class 3 Group J,"Simples masc - classe 3, grupo J",Men's Singles - Class 3 Group J,"Simples masculino - classe 3, grupo J",Group J,Grupo J
TT,M,003,M,6,Men's Singles - Class 3 VC,"Simples masc - classe 3, cer. premiação",Men's Singles - Class 3 Victory Ceremony,"Simples masculino - classe 3, cerimônia de premiação",Victory Ceremony,Cerimônia de premiação
TT,M,004,0,8,Men's Singles - Class 4,Simples masculino - classe 4,Men's Singles - Class 4,Simples masculino - classe 4,"",""
TT,M,004,1,3,Men's Singles - Class 4 Finals,"Simples masculino - classe 4, finais",Men's Singles - Class 4 Finals,"Simples masculino - classe 4, finais",Finals,Finais
TT,M,004,2,3,Men's Singles - Class 4 Semifinals,"Simples masc - classe 4, semifinais",Men's Singles - Class 4 Semifinals,"Simples masculino - classe 4, semifinais",Semifinals,Semifinais
TT,M,004,3,3,Men's Singles - Class 4 Quarterfinals,"Simples masc - classe 4, quartas",Men's Singles - Class 4 Quarterfinals,"Simples masculino - classe 4, quartas de final ",Quarterfinals,Quartas de finais
TT,M,004,4,3,Men's Singles - Class 4 First Round,"Simples masc - classe 4, oitavas",Men's Singles - Class 4 First Round,"Simples masculino - classe 4, oitavas de final",First Round,Oitavas de final
TT,M,004,9,3,Men's Singles - Class 4 Preliminaries,"Simples masc - classe 4, fase de grupos",Men's Singles - Class 4 Preliminaries,"Simples masculino - classe 4, fase de grupos",Preliminaries,Fase de grupos
TT,M,004,A,3,Men's Singles - Class 4 Group A,"Simples masc - classe 4, grupo A",Men's Singles - Class 4 Group A,"Simples masculino - classe 4, grupo A",Group A,Grupo A
TT,M,004,B,3,Men's Singles - Class 4 Group B,"Simples masc - classe 4, grupo B",Men's Singles - Class 4 Group B,"Simples masculino - classe 4, grupo B",Group B,Grupo B
TT,M,004,C,3,Men's Singles - Class 4 Group C,"Simples masc - classe 4, grupo C",Men's Singles - Class 4 Group C,"Simples masculino - classe 4, grupo C",Group C,Grupo C
TT,M,004,D,3,Men's Singles - Class 4 Group D,"Simples masc - classe 4, grupo D",Men's Singles - Class 4 Group D,"Simples masculino - classe 4, grupo D",Group D,Grupo D
TT,M,004,E,3,Men's Singles - Class 4 Group E,"Simples masc - classe 4, grupo E",Men's Singles - Class 4 Group E,"Simples masculino - classe 4, grupo E",Group E,Grupo E
TT,M,004,F,3,Men's Singles - Class 4 Group F,"Simples masc - classe 4, grupo F",Men's Singles - Class 4 Group F,"Simples masculino - classe 4, grupo F",Group F,Grupo F
TT,M,004,G,3,Men's Singles - Class 4 Group G,"Simples masc - classe 4, grupo G",Men's Singles - Class 4 Group G,"Simples masculino - classe 4, grupo G",Group G,Grupo G
TT,M,004,H,3,Men's Singles - Class 4 Group H,"Simples masc - classe 4, grupo H",Men's Singles - Class 4 Group H,"Simples masculino - classe 4, grupo H",Group H,Grupo H
TT,M,004,I,3,Men's Singles - Class 4 Group I,"Simples masc - classe 4, grupo I",Men's Singles - Class 4 Group I,"Simples masculino - classe 4, grupo I",Group I,Grupo I
TT,M,004,J,3,Men's Singles - Class 4 Group J,"Simples masc - classe 4, grupo J",Men's Singles - Class 4 Group J,"Simples masculino - classe 4, grupo J",Group J,Grupo J
TT,M,004,K,3,Men's Singles - Class 4 Group K,"Simples masc - classe 4, grupo K",Men's Singles - Class 4 Group K,"Simples masculino - classe 4, grupo K",Group K,Grupo K
TT,M,004,L,3,Men's Singles - Class 4 Group L,"Simples masc - classe 4, grupo L",Men's Singles - Class 4 Group L,"Simples masculino - classe 4, grupo L",Group L,Grupo L
TT,M,004,M,6,Men's Singles- Class 4 VC,"Simples masc - classe 4, cer. premiação",Men's Singles - Class 4 Victory Ceremony,"Simples masculino - classe 4, cerimônia de premiação",Victory Ceremony,Cerimônia de premiação
TT,M,005,0,8,Men's Singles - Class 5,Simples masculino - classe 5,Men's Singles - Class 5,Simples masculino - classe 5,"",""
TT,M,005,1,3,Men's Singles - Class 5 Finals,"Simples masculino - classe 5, finais",Men's Singles - Class 5 Finals,"Simples masculino - classe 5, finais",Finals,Finais
TT,M,005,2,3,Men's Singles - Class 5 Semifinals,"Simples masc - classe 5, semifinais",Men's Singles - Class 5 Semifinals,"Simples masculino - classe 5, semifinais",Semifinals,Semifinais
TT,M,005,3,3,Men's Singles - Class 5 Quarterfinals,"Simples masc - classe 5, quartas",Men's Singles - Class 5 Quarterfinals,"Simples masculino - classe 5, quartas de final ",Quarterfinals,Quartas de finais
TT,M,005,4,3,Men's Singles - Class 5 First Round,"Simples masc - classe 5, oitavas",Men's Singles - Class 5 First Round,"Simples masculino - classe 5, oitavas de final",First Round,Oitavas de final
TT,M,005,9,3,Men's Singles - Class 5 Preliminaries,"Simples masc - classe 5, fase de grupos",Men's Singles - Class 5 Preliminaries,"Simples masculino - classe 5, fase de grupos",Preliminaries,Fase de grupos
TT,M,005,A,3,Men's Singles - Class 5 Group A,"Simples masc - classe 5, grupo A",Men's Singles - Class 5 Group A,"Simples masculino - classe 5, grupo A",Group A,Grupo A
TT,M,005,B,3,Men's Singles - Class 5 Group B,"Simples masc - classe 5, grupo B",Men's Singles - Class 5 Group B,"Simples masculino - classe 5, grupo B",Group B,Grupo B
TT,M,005,C,3,Men's Singles - Class 5 Group C,"Simples masc - classe 5, grupo C",Men's Singles - Class 5 Group C,"Simples masculino - classe 5, grupo C",Group C,Grupo C
TT,M,005,D,3,Men's Singles - Class 5 Group D,"Simples masc - classe 5, grupo D",Men's Singles - Class 5 Group D,"Simples masculino - classe 5, grupo D",Group D,Grupo D
TT,M,005,E,3,Men's Singles - Class 5 Group E,"Simples masc - classe 5, grupo E",Men's Singles - Class 5 Group E,"Simples masculino - classe 5, grupo E",Group E,Grupo E
TT,M,005,F,3,Men's Singles - Class 5 Group F,"Simples masc - classe 5, grupo F",Men's Singles - Class 5 Group F,"Simples masculino - classe 5, grupo F",Group F,Grupo F
TT,M,005,G,3,Men's Singles - Class 5 Group G,"Simples masc - classe 5, grupo G",Men's Singles - Class 5 Group G,"Simples masculino - classe 5, grupo G",Group G,Grupo G
TT,M,005,H,3,Men's Singles - Class 5 Group H,"Simples masc - classe 5, grupo H",Men's Singles - Class 5 Group H,"Simples masculino - classe 5, grupo H",Group H,Grupo H
TT,M,005,I,3,Men's Singles - Class 5 Group I,"Simples masc - classe 5, grupo I",Men's Singles - Class 5 Group I,"Simples masculino - classe 5, grupo I",Group I,Grupo I
TT,M,005,J,3,Men's Singles - Class 5 Group J,"Simples masc - classe 5, grupo J",Men's Singles - Class 5 Group J,"Simples masculino - classe 5, grupo J",Group J,Grupo J
TT,M,005,K,3,Men's Singles - Class 5 Group K,"Simples masc - classe 5, grupo K",Men's Singles - Class 5 Group K,"Simples masculino - classe 5, grupo K",Group K,Grupo K
TT,M,005,L,3,Men's Singles - Class 5 Group L,"Simples masc - classe 5, grupo L",Men's Singles - Class 5 Group L,"Simples masculino - classe 5, grupo L",Group L,Grupo L
TT,M,005,M,6,Men's Singles- Class 5 VC,"Simples masc - classe 5, cer. premiação",Men's Singles - Class 5 Victory Ceremony,"Simples masculino - classe 5, cerimônia de premiação",Victory Ceremony,Cerimônia de premiação
TT,M,006,0,8,Men's Singles - Class 6,Simples masculino - classe 6,Men's Singles - Class 6,Simples masculino - classe 6,"",""
TT,M,006,1,3,Men's Singles - Class 6 Finals,"Simples masculino - classe 6, finais",Men's Singles - Class 6 Finals,"Simples masculino - classe 6, finais",Finals,Finais
TT,M,006,2,3,Men's Singles - Class 6 Semifinals,"Simples masc - classe 6, semifinais",Men's Singles - Class 6 Semifinals,"Simples masculino - classe 6, semifinais",Semifinals,Semifinais
TT,M,006,3,3,Men's Singles - Class 6 Q-finals,"Simples masc - classe 6, quartas",Men's Singles - Class 6 Quarterfinals,"Simples masculino - classe 6, quartas de final",Quarterfinals,Quartas de finais
TT,M,006,4,3,Men's Singles - Class 6 First Round,"Simples masc - classe 6, oitavas",Men's Singles - Class 6 First Round,"Simples masculino - classe 6, oitavas de final",First Round,Oitavas de final
TT,M,006,9,3,Men's Singles - Class 6 Preliminaries,"Simples masc - classe 6, fase de grupos",Men's Singles - Class 6 Preliminaries,"Simples masculino - classe 6, fase de grupos",Preliminaries,Fase de grupos
TT,M,006,A,3,Men's Singles - Class 6 Group A,"Simples masc - classe 6, grupo A",Men's Singles - Class 6 Group A,"Simples masculino - classe 6, grupo A",Group A,Grupo A
TT,M,006,B,3,Men's Singles - Class 6 Group B,"Simples masc - classe 6, grupo B",Men's Singles - Class 6 Group B,"Simples masculino - classe 6, grupo B",Group B,Grupo B
TT,M,006,C,3,Men's Singles - Class 6 Group C,"Simples masc - classe 6, grupo C",Men's Singles - Class 6 Group C,"Simples masculino - classe 6, grupo C",Group C,Grupo C
TT,M,006,D,3,Men's Singles - Class 6 Group D,"Simples masc - classe 6, grupo D",Men's Singles - Class 6 Group D,"Simples masculino - classe 6, grupo D",Group D,Grupo D
TT,M,006,E,3,Men's Singles - Class 6 Group E,"Simples masc - classe 6, grupo E",Men's Singles - Class 6 Group E,"Simples masculino - classe 6, grupo E",Group E,Grupo E
TT,M,006,F,3,Men's Singles - Class 6 Group F,"Simples masc - classe 6, grupo F",Men's Singles - Class 6 Group F,"Simples masculino - classe 6, grupo F",Group F,Grupo F
TT,M,006,M,6,Men's Singles - Class 6 VC,"Simples masc - classe 6, cer. premiação",Men's Singles - Class 6 Victory Ceremony,"Simples masculino - classe 6, cerimônia de premiação",Victory Ceremony,Cerimônia de premiação
TT,M,007,0,8,Men's Singles - Class 7,Simples masculino - classe 7,Men's Singles - Class 7,Simples masculino - classe 7,"",""
TT,M,007,1,3,Men's Singles - Class 7 Finals,"Simples masculino - classe 7, finais",Men's Singles - Class 7 Finals,"Simples masculino - classe 7, finais",Finals,Finais
TT,M,007,2,3,Men's Singles - Class 7 Semifinals,"Simples masc - classe 7, semifinais",Men's Singles - Class 7 Semifinals,"Simples masculino - classe 7, semifinais",Semifinals,Semifinais
TT,M,007,3,3,Men's Singles - Class 7 Q-finals,"Simples masc - classe 7, quartas",Men's Singles - Class 7 Quarterfinals,"Simples masculino - classe 7, quartas de final",Quarterfinals,Quartas de finais
TT,M,007,4,3,Men's Singles - Class 7 First Round,"Simples masc - classe 7, oitavas",Men's Singles - Class 7 First Round,"Simples masculino - classe 7, oitavas de final",First Round,Oitavas de final
TT,M,007,9,3,Men's Singles - Class 7 Preliminaries,"Simples masc - classe 7, fase de grupos",Men's Singles - Class 7 Preliminaries,"Simples masculino - classe 7, fase de grupos",Preliminaries,Fase de grupos
TT,M,007,A,3,Men's Singles - Class 7 Group A,"Simples masc - classe 7, grupo A",Men's Singles - Class 7 Group A,"Simples masculino - classe 7, grupo A",Group A,Grupo A
TT,M,007,B,3,Men's Singles - Class 7 Group B,"Simples masc - classe 7, grupo B",Men's Singles - Class 7 Group B,"Simples masculino - classe 7, grupo B",Group B,Grupo B
TT,M,007,C,3,Men's Singles - Class 7 Group C,"Simples masc - classe 7, grupo C",Men's Singles - Class 7 Group C,"Simples masculino - classe 7, grupo C",Group C,Grupo C
TT,M,007,D,3,Men's Singles - Class 7 Group D,"Simples masc - classe 7, grupo D",Men's Singles - Class 7 Group D,"Simples masculino - classe 7, grupo D",Group D,Grupo D
TT,M,007,E,3,Men's Singles - Class 7 Group E,"Simples masc - classe 7, grupo E",Men's Singles - Class 7 Group E,"Simples masculino - classe 7, grupo E",Group E,Grupo E
TT,M,007,F,3,Men's Singles - Class 7 Group F,"Simples masc - classe 7, grupo F",Men's Singles - Class 7 Group F,"Simples masculino - classe 7, grupo F",Group F,Grupo F
TT,M,007,M,6,Men's Singles - Class 7 VC,"Simples masc - classe 7, cer. premiação",Men's Singles - Class 7 Victory Ceremony,"Simples masculino - classe 7, cerimônia de premiação ",Victory Ceremony,Cerimônia de premiação
TT,M,008,0,8,Men's Singles - Class 8,Simples masculino - classe 8,Men's Singles - Class 8,Simples masculino - classe 8,"",""
TT,M,008,1,3,Men's Singles - Class 8 Finals,"Simples masculino - classe 8, finais",Men's Singles - Class 8 Finals,"Simples masculino - classe 8, finais",Finals,Finais
TT,M,008,2,3,Men's Singles - Class 8 Semifinals,"Simples masc - classe 8, semifinais",Men's Singles - Class 8 Semifinals,"Simples masculino - classe 8, semifinais",Semifinals,Semifinais
TT,M,008,3,3,Men's Singles - Class 8 Q-finals,"Simples masc - classe 8, quartas",Men's Singles - Class 8 Quarterfinals,"Simples masculino - classe 8, quartas de final ",Quarterfinals,Quartas de finais
TT,M,008,4,3,Men's Singles - Class 8 First Round,"Simples masc - classe 8, oitavas",Men's Singles - Class 8 First Round,"Simples masculino - classe 8, oitavas de final ",First Round,Oitavas de final
TT,M,008,9,3,Men's Singles - Class 8 Preliminaries,"Simples masc - classe 8, fase de grupos",Men's Singles - Class 8 Preliminaries,"Simples masculino - classe 8, fase de grupos",Preliminaries,Fase de grupos
TT,M,008,A,3,Men's Singles - Class 8 Group A,"Simples masc - classe 8, grupo A",Men's Singles - Class 8 Group A,"Simples masculino - classe 8, grupo A",Group A,Grupo A
TT,M,008,B,3,Men's Singles - Class 8 Group B,"Simples masc - classe 8, grupo B",Men's Singles - Class 8 Group B,"Simples masculino - classe 8, grupo B",Group B,Grupo B
TT,M,008,C,3,Men's Singles - Class 8 Group C,"Simples masc - classe 8, grupo C",Men's Singles - Class 8 Group C,"Simples masculino - classe 8, grupo C",Group C,Grupo C
TT,M,008,D,3,Men's Singles - Class 8 Group D,"Simples masc - classe 8, grupo D",Men's Singles - Class 8 Group D,"Simples masculino - classe 8, grupo D",Group D,Grupo D
TT,M,008,E,3,Men's Singles - Class 8 Group E,"Simples masc - classe 8, grupo E",Men's Singles - Class 8 Group E,"Simples masculino - classe 8, grupo E",Group E,Grupo E
TT,M,008,F,3,Men's Singles - Class 8 Group F,"Simples masc - classe 8, grupo F",Men's Singles - Class 8 Group F,"Simples masculino - classe 8, grupo F",Group F,Grupo F
TT,M,008,M,6,Men's Singles - Class 8 VC,"Simples masc - classe 8, cer. premiação",Men's Singles - Class 8 Victory Ceremony,"Simples masculino - classe 8, cerimônia de premiação",Victory Ceremony,Cerimônia de premiação
TT,M,009,0,8,Men's Singles - Class 9,Simples masculino - classe 9,Men's Singles - Class 9,Simples masculino - classe 9,"",""
TT,M,009,1,3,Men's Singles - Class 9 Finals,"Simples masculino - classe 9, finais",Men's Singles - Class 9 Finals,"Simples masculino - classe 9, finais",Finals,Finais
TT,M,009,2,3,Men's Singles - Class 9 Semifinals,"Simples masc - classe 9, semifinais",Men's Singles - Class 9 Semifinals,"Simples masculino - classe 9, semifinais",Semifinals,Semifinais
TT,M,009,3,3,Men's Singles - Class 9 Quarterfinals,"Simples masc - classe 9, quartas",Men's Singles - Class 9 Quarterfinals,"Simples masculino - classe 9, quartas de final",Quarterfinals,Quartas de finais
