Discipline,Gender,Event,phase,Eventunit,ENG Description,FRA Description,POR Description,ENG longdescription,FRA longdescription,POR longdescription,Level,Order,schedule,medalflag,Eventunittype,cisSchedule,infoSchedule,ENG unit Description,FRA unit Description,POR unit Description
AT,M,072,1,00,Men's Pole Vault Final,"Saut à la perche - hommes, finale","Salto com vara masculino, final",Men's Pole Vault Final,"Saut à la perche - hommes, finale","Salto com vara masculino, final",Phase,14,N,0,NONE,N,N,Final,Finale,Final 
AT,M,072,1,01,Men's Pole Vault Final,"Saut à la perche - hommes, finale","Salto com vara masculino, final",Men's Pole Vault Final,"Saut à la perche - hommes, finale","Salto com vara masculino, final",EventUnit,15,Y,1,ATH,Y,Y,Final,Finale,Final 
AT,M,072,9,00,Men's Pole Vault Qualifying Round,"Saut à la perche - hom., qualifications","Salto com vara masc, classificatórias",Men's Pole Vault Qualifying Round,"Saut à la perche - hommes, qualifications","Salto com vara masculino, classificatórias",Phase,14,Y,0,NONE,Y,N,Qualifying Round,Qualifications,Classificatórias
AT,M,072,9,01,Men's Pole Vault Qual. Round - Group A,"Saut à la perche - hom., qualif. - gr. A","Salto com vara masc, classific - gp A",Men's Pole Vault Qualifying Round - Group A,"Saut à la perche - hommes, qualifications - groupe A","Salto com vara masculino, classificatórias - grupo A",EventUnit,15,Y,0,ATH,N,Y,Qualifying Round - Group A,Qualifications - groupe A,Classificatórias - grupo A
AT,M,072,9,02,Men's Pole Vault Qual. Round - Group B,"Saut à la perche - hom., qualif. - gr. B","Salto com vara masc, classific - gp B",Men's Pole Vault Qualifying Round - Group B,"Saut à la perche - hommes, qualifications - groupe B","Salto com vara masculino, classificatórias - grupo B",EventUnit,15,Y,0,ATH,N,Y,Qualifying Round - Group B,Qualifications - groupe B,Classificatórias - grupo B
AT,M,072,M,00,Men's Pole Vault Victory Ceremony,"Saut à la perche - hommes, remise méd.","Salto com vara masculino, cer. premiação",Men's Pole Vault Victory Ceremony,"Saut à la perche - hommes, cérémonie de remise des médailles","Salto com vara masculino, cerimônia de entrega das medalhas",Medals,17,Y,0,NONE,N,Y,Victory Ceremony,Cérémonie de remise des médailles,Cerimônia de entrega das medalhas
AT,M,072,N,01,Men's Pole Vault - Draw,"Saut à la perche - hom., tirage au sort","Salto com vara masculino, sorteio",Men's Pole Vault - Draw,"Saut à la perche - hommes, tirage au sort","Salto com vara masculino, sorteio",Draw,18,Y,0,NONE,N,Y,Draw,Tirage au sort,Sorteio
AT,M,092,0,00,Men's 20km Race Walk,20 km marche - hommes,Marcha atlética 20km masculina,Men's 20km Race Walk,20 km marche - hommes,Marcha atlética 20km masculina,Event,13,N,0,NONE,N,N,"","",""
AT,M,092,1,00,Men's 20km Race Walk Final,"20 km marche - hommes, finale","Marcha atlética 20km masculina, final",Men's 20km Race Walk Final,"20 km marche - hommes, finale","Marcha atlética 20km masculina, final",Phase,14,N,0,NONE,N,N,Final,Finale,Final
AT,M,092,1,01,Men's 20km Race Walk Final,"20 km marche - hommes, finale","Marcha atlética 20km masculina, final",Men's 20km Race Walk Final,"20 km marche - hommes, finale","Marcha atlética 20km masculina, final",EventUnit,15,Y,1,ATH,Y,Y,Final,Finale,Final
AT,M,092,M,00,Men's 20km Race Walk Victory Ceremony,"20 km marche - hommes, remise médailles","Marcha atlética 20km masc,cer. premiação",Men's 20km Race Walk Victory Ceremony,"20 km marche - hommes, cérémonie de remise des médailles","Marcha atlética 20km masculina, cerimônia de entrega das medalhas",Medals,17,Y,0,NONE,N,Y,Victory Ceremony,Cérémonie de remise des médailles,Cerimônia de entrega das medalhas
AT,M,092,N,01,Men's 20km Race Walk - Draw,"20 km marche - hommes, tirage au sort","Marcha atlética 20km masculina, sorteio",Men's 20km Race Walk - Draw,"20 km marche - hommes, tirage au sort","Marcha atlética 20km masculina, sorteio",Draw,18,Y,0,NONE,N,Y,Draw,Tirage au sort,Sorteio
AT,M,095,0,00,Men's 50km Race Walk,50 km marche - hommes,Marcha atlética 50km masculina,Men's 50km Race Walk,50 km marche - hommes,Marcha atlética 50km masculina,Event,13,N,0,NONE,N,N,"","",""
AT,M,095,1,00,Men's 50km Race Walk Final,"50 km marche - hommes, finale","Marcha atlética 50km masculina, final",Men's 50km Race Walk Final,"50 km marche - hommes, finale","Marcha atlética 50km masculina, final",Phase,14,N,0,NONE,N,N,Final,Finale,Final
AT,M,095,1,01,Men's 50km Race Walk Final,"50 km marche - hommes, finale","Marcha atlética 50km masculina, final",Men's 50km Race Walk Final,"50 km marche - hommes, finale","Marcha atlética 50km masculina, final",EventUnit,15,Y,1,ATH,Y,Y,Final,Finale,Final
AT,M,095,M,00,Men's 50km Race Walk Victory Ceremony,"50 km marche - hommes, remise médailles","Marcha atlética 50km masc,cer. premiação",Men's 50km Race Walk Victory Ceremony,"50 km marche - hommes, cérémonie de remise des médailles","Marcha atlética 50km masculina, cerimônia de entrega das medalhas",Medals,17,Y,0,NONE,N,Y,Victory Ceremony,Cérémonie de remise des médailles,Cerimônia de entrega das medalhas
AT,M,095,N,01,Men's 50km Race Walk - Draw,"50 km marche - hommes, tirage au sort","Marcha atlética 50km masculina, sorteio",Men's 50km Race Walk - Draw,"50 km marche - hommes, tirage au sort","Marcha atlética 50km masculina, sorteio",Draw,18,Y,0,NONE,N,Y,Draw,Tirage au sort,Sorteio
AT,M,099,0,00,Men's Marathon,Marathon - hommes,Maratona masculina,Men's Marathon,Marathon - hommes,Maratona masculina,Event,13,N,0,NONE,N,N,"","",""
AT,M,099,1,00,Men's Marathon Final,"Marathon - hommes, finale","Maratona masculina, final",Men's Marathon Final,"Marathon - hommes, finale","Maratona masculina, final",Phase,14,N,0,NONE,N,N,Final,Finale,Final
AT,M,099,1,01,Men's Marathon Final,"Marathon - hommes, finale","Maratona masculina, final",Men's Marathon Final,"Marathon - hommes, finale","Maratona masculina, final",EventUnit,15,Y,1,ATH,Y,Y,Final,Finale,Final
AT,M,099,M,00,Men's Marathon Victory Ceremony,"Marathon - hommes, remise méd.","Maratona masc, cer. premiação",Men's Marathon Victory Ceremony,"Marathon - hommes, cérémonie de remise des médailles","Maratona masculina, cerimônia de entrega das medalhas",Medals,17,Y,0,NONE,N,Y,Victory Ceremony,Cérémonie de remise des médailles,cerimônia de entrega das medalhas
AT,M,099,N,01,Men's Marathon - Draw,"Marathon - hommes, tirage au sort","Maratona masculina, sorteio",Men's Marathon - Draw,"Marathon - hommes, tirage au sort","Maratona masculina, sorteio",Draw,18,Y,0,NONE,N,Y,Draw,Tirage au sort,Sorteio
AT,M,100,0,00,"Men's 10,000m",10 000 m - hommes,10.000m rasos masculino,"Men's 10,000m",10 000 m - hommes,10.000m rasos masculino,Event,13,N,0,NONE,N,N,"","",""
AT,M,100,1,00,"Men's 10,000m Final","10 000 m - hommes, finale","10.000m rasos masculino, final","Men's 10,000m Final","10 000 m - hommes, finale","10.000m rasos masculino, final",Phase,14,N,0,NONE,N,N,Final,Finale,Final
AT,M,100,1,01,"Men's 10,000m Final","10 000 m - hommes, finale","10.000m rasos masculino, final","Men's 10,000m Final","10 000 m - hommes, finale","10.000m rasos masculino, final",EventUnit,15,Y,1,ATH,Y,Y,Final,Finale,Final
AT,M,100,M,00,"Men's 10,000m Victory Ceremony","10 000 m - hommes, remise méd.","10.000m masculino, cer. premiação","Men's 10,000m Victory Ceremony","10 000 m - hommes, cérémonie de remise des médailles","10.000m rasos masculino, cerimônia de entrega das medalhas",Medals,17,Y,0,NONE,N,Y,Victory Ceremony,Cérémonie de remise des médailles,Cerimônia de entrega das medalhas
AT,M,100,N,01,"Men's 10,000m - Draw","10 000 m - hommes, tirage au sort","10.000m rasos masculino, sorteio","Men's 10,000m - Draw","10 000 m - hommes, tirage au sort","10.000m rasos masculino, sorteio",Draw,18,Y,0,NONE,N,Y,Draw,Tirage au sort,Sorteio
AT,M,401,0,00,Men's 4 x 100m Relay,Relais 4 x 100 m - hommes,Revezamento 4x100m masculino,Men's 4 x 100m Relay,Relais 4 x 100 m - hommes,Revezamento 4x100m masculino,Event,13,N,0,NONE,N,N,"","",""
AT,M,401,1,00,Men's 4 x 100m Relay Final,"Relais 4 x 100 m - hommes, finale","Revezamento 4x100m masculino, final",Men's 4 x 100m Relay Final,"Relais 4 x 100 m - hommes, finale","Revezamento 4x100m masculino, final",Phase,14,N,0,NONE,N,N,Final,Finale,Final
AT,M,401,1,01,Men's 4 x 100m Relay Final,"Relais 4 x 100 m - hommes, finale","Revezamento 4x100m masculino, final",Men's 4 x 100m Relay Final,"Relais 4 x 100 m - hommes, finale","Revezamento 4x100m masculino, final",EventUnit,15,Y,1,NOC,Y,Y,Final,Finale,Final
AT,M,401,9,00,Men's 4 x 100m Relay Round 1,"Relais 4 x 100 m - hommes, 1er tour","Revezamento 4x100m masculino, 1a fase",Men's 4 x 100m Relay Round 1,"Relais 4 x 100 m - hommes, 1er tour","Revezamento 4x100m masculino, primeira fase",Phase,14,Y,0,NONE,Y,N,Round 1,1er tour,Primeira fase
AT,M,401,9,01,Men's 4 x 100m Relay Round 1 - Heat 1,"Relais 4x100 m hom., 1er tr - 1re série","Revezamento 4x100m masc, 1a fase-série 1",Men's 4 x 100m Relay Round 1 - Heat 1,"Relais 4 x 100 m - hommes, 1er tour - 1re série","Revezamento 4x100m masculino, primeira fase - série 1",EventUnit,15,Y,0,NOC,N,Y,Round 1 - Heat 1,1er tour - 1re série,Primeira fase - série 1
AT,M,401,9,02,Men's 4 x 100m Relay Round 1 - Heat 2,"Relais 4x100 m hom., 1er tr - 2e série","Revezamento 4x100m masc, 1a fase-série 2",Men's 4 x 100m Relay Round 1 - Heat 2,"Relais 4 x 100 m - hommes, 1er tour - 2e série","Revezamento 4x100m masculino, primeira fase - série 2",EventUnit,15,Y,0,NOC,N,Y,Round 1 - Heat 2,1er tour - 2e série,Primeira fase - série 2
AT,M,401,9,03,Men's 4 x 100m Relay Round 1 - Heat 3,"Relais 4x100 m hom., 1er tr - 3e série","Revezamento 4x100m masc, 1a fase-série 3",Men's 4 x 100m Relay Round 1 - Heat 3,"Relais 4 x 100 m - hommes, 1er tour - 3e série","Revezamento 4x100m masculino, primeira fase - série 3",EventUnit,15,Y,0,NOC,N,Y,Round 1 - Heat 3,1er tour - 3e série,Primeira fase - série 3
AT,M,401,9,04,Men's 4 x 100m Relay Round 1 - Heat 4,"Relais 4x100 m hom., 1er tr - 4e série","Revezamento 4x100m masc, 1a fase-série 4",Men's 4 x 100m Relay Round 1 - Heat 4,"Relais 4 x 100 m - hommes, 1er tour - 4e série","Revezamento 4x100m masculino, primeira fase - série 4",EventUnit,15,Y,0,NOC,N,Y,Round 1 - Heat 4,1er tour - 4e série,Primeira fase - série 4
