Id,Venue,LocationOrder,competition,ENG Description,FRA Description,KOR Description,ENG longdescription,FRA longdescription,KOR longdescription,Source,Sub-Locations
OHC,OHC,,N,Olympic Hospitality Club,Club d'hospitalité olympique,알펜시아 트룬 골프&컨트리 클럽하우스,Olympic Hospitality Club,Club de l'hospitalité olympique,알펜시아 트룬 골프&컨트리 클럽하우스,,
PDC,PDC,,N,Primary Data Centre,Cntr principal de données,주 데이터센터,Primary Data Centre,Centre principal de données,주 데이터센터,,
POP,POP,,N,PyeongChang Olympic Plaza,Espla. olym. PyeongChang,평창 올림픽 플라자,PyeongChang Olympic Plaza,Esplanade olympique de PyeongChang,평창 올림픽 플라자,,
POS,POS,,N,PyeongChang Olympic Stad.,Stad. olym. PyeongChang,평창 올림픽 스타디움,PyeongChang Olympic Stadium,Stade olympique de PyeongChang,평창 올림픽 스타디움,,
PVL,PVL,,N,Pyeongchang Olympic Vill.,Vill. olym. PyeongChang,평창 올림픽 선수촌,Pyeongchang Olympic Village,Village olympique de PyeongChang,평창 올림픽 선수촌,,
SDC,SDC,,N,Secondary Data Centre,Cntr secondaire données,보조 데이터센터,Secondary Data Centre,Centre secondaire de données,보조 데이터센터,,
SEV,SEV,,N,Severance Hospital,Hôpital Severance ,세브란스병원,Severance Hospital,Hôpital Severance ,세브란스병원,,
STO,STO,,N,Seoul Ticketing Outlet,Billetterie de Séoul,서울 입장권판매점,Seoul Ticketing Outlet,Billetterie de Séoul,서울 입장권판매점,,
STT,STT,,N,Gangeung Yeongdong U. Gym,Cntr Gangneung Yeongdong,강릉영동 쇼트트랙 연습경기장,Gangneung Yeongdong Short Track Training Venue,Cntr entraînement short-track Gangneung Yeongdong,강릉영동 쇼트트랙 연습경기장,,
SUS,SUS,,N,Seoul Station,Gare de Séoul,서울역,Seoul Station,Gare de Séoul,서울역,,
THG,THG,,N,Gangneung Transport Hub,Pôle transport Gangneung,강릉 수송허브,Gangneung Transport Hub,Pôle de transport de Gangneung,강릉 수송허브,,
THJ,THJ,,N,Jinbu Transport hub,Pôle transport Jinbu,진부 수송허브,Jinbu Transport hub,Pôle de transport de Jinbu,진부 수송허브,,
TOC,TOC,,N,Tech Operations Centre,Ctr exploitation techno.,기술운영센터,Main Technology Operations Centre,Centre d’exploitation technologique,기술운영센터,,
TSD,TSD,,N,Technology Service Desk,Bureau services techno.,정보통신 서비스데스크,Technology Service Desk,Bureau des services technologiques,정보통신 서비스데스크,,
WSC,WSC,,N,Wonju Severance Hospital,Hôpital Severance Wonju,원주세브란스기독병원,Wonju Severance Christian Hospital,Hôpital Severance de Wonju,원주세브란스기독병원,,
YAL,YAL,,Y,Yongpyong Alpine Centre,Centre alpin de Yongpyong,용평 알파인 경기장,Yongpyong Alpine Centre,Centre alpin de Yongpyong,용평 알파인 경기장,YALALP1,
YNY,YNY,,N,YangYang Int’l Airport,Aéroport intl. Yangyang,양양국제공항,YangYang International Airport,Aéroport international de Yangyang,양양국제공항,,
