Id,type,ENG Description,FRA Description,POR Description,SPA Description,ENG longdescription,FRA longdescription,POR longdescription,SPA longdescription
UIPM,IF,UIPM,UIPM,UIPM,UIPM,International Modern Pentathlon Union,Union Internationale de Pentathlon Moderne,International Modern Pentathlon Union,Unión Internacional de Pentatlón Moderno
UKR,OC,Ukraine,Ukraine,Ucrânia,Ucrania,Ukraine,Ukraine,Ucrânia,Ucrania
URS,OC,USSR,U.R.S.S.,U.R.S.S.,URSS,USSR,U.R.S.S.,União das Repúblicas Socialistas Soviéticas,URSS
URU,OC,Uruguay,Uruguay,Uruguai,Uruguay,Uruguay,Uruguay,Uruguai,Uruguay
USA,OC,United States,États-Unis,Estados Unidos,Estados Unidos,United States of America,États-Unis d'Amérique,Estados Unidos da América,Estados Unidos de América
UWW,IF,UWW,UWW,UWW,UWW,United World Wrestling,Fédération Mondiale de Lutte,Federação Internacional de Lutas Associadas,Unión Mundial de Lucha
UZB,OC,Uzbekistan,Ouzbékistan,Uzbequistão,Uzbekistán,Uzbekistan,Ouzbékistan,Uzbequistão,Uzbekistán
VAN,OC,Vanuatu,Vanuatu,Vanuatu,Vanuatu,Vanuatu,Vanuatu,Vanuatu,Vanuatu
VEN,OC,Venezuela,Venezuela,Venezuela,Venezuela,Venezuela,Venezuela,Venezuela,Venezuela
VIE,OC,Vietnam,Vietnam,Vietnã,Vietnam,Vietnam,Vietnam,Vietnã,Vietnam
VIN,OC,St Vinc & Grenadines,St Vinc & Grenadines,São Vicente e Granad,S. Vicente y Gran.,St Vincent and the Grenadines,Saint-Vincent-et-les-Grenadines,São Vicente e Granadinas,San Vicente y las Granadinas
WA,IF,WA,WA,WA,WA,World Archery,Fédération Internationale de Tir à l'arc,Federação Internacional de Tiro com Arco,Federación Internacional de Tiro con arco
WR,IF,WR,WR,WR,WR,World Rugby,Fédération Internationale de Rugby,Federação Internacional de Rugby,Federación Internacional de Rugby
WS,IF,WS,WS,WS,WS,World Sailing,Fédération Internationale de Voile,Federação Internacional de Vela,Federación Internacional de Vela
WTF,IF,WTF,WTF,WTF,WTF,World Taekwondo Federation,Fédération Mondiale de Taekwondo,Federação Internacional de Taekwondo,Federación Mundial de Taekwondo
YEM,OC,Yemen,Yémen,Iêmen,Yemen,Yemen,Yémen,Iêmen,Yemen
YUG,OC,Yugoslavia,Yougoslavie,Iugoslávia,Yugoslavia,The Federal Republic of Yugoslavia,Yougoslavie,República Socialista Federativa da Iugoslávia,República Federativa de Yugoslavia
ZAM,OC,Zambia,Zambie,Zâmbia,Zambia,Zambia,Zambie,Zâmbia,Zambia
ZIM,OC,Zimbabwe,Zimbabwe,Zimbábue,Zimbabue,Zimbabwe,Zimbabwe,Zimbábue,Zimbabue
