Discipline,Gender,Event,phase,Eventunit,schedule,medalflag,ENG Description,POR Description,ENG longdescription,POR longdescription,Level,Order,Eventunittype,cisSchedule,infoSchedule,ENG unit Description,POR unit Description
TT,M,008,4,01,Y,0,Men's Singles - Class 8 First Round,"Individual masc - classe 8, 1/8 final",Men's Singles - Class 8 First Round,"Individual masculino - classe 8, oitavas de final",EventUnit,15,HATH,N,Y,First Round,Oitavas de final
TT,M,008,4,02,Y,0,Men's Singles - Class 8 First Round,"Individual masc - classe 8, 1/8 final",Men's Singles - Class 8 First Round,"Individual masculino - classe 8, oitavas de final",EventUnit,15,HATH,N,Y,First Round,Oitavas de final
TT,M,008,4,03,Y,0,Men's Singles - Class 8 First Round,"Individual masc - classe 8, 1/8 final",Men's Singles - Class 8 First Round,"Individual masculino - classe 8, oitavas de final",EventUnit,15,HATH,N,Y,First Round,Oitavas de final
TT,M,008,4,04,Y,0,Men's Singles - Class 8 First Round,"Individual masc - classe 8, 1/8 final",Men's Singles - Class 8 First Round,"Individual masculino - classe 8, oitavas de final",EventUnit,15,HATH,N,Y,First Round,Oitavas de final
TT,M,008,4,05,Y,0,Men's Singles - Class 8 First Round,"Individual masc - classe 8, 1/8 final",Men's Singles - Class 8 First Round,"Individual masculino - classe 8, oitavas de final",EventUnit,15,HATH,N,Y,First Round,Oitavas de final
TT,M,008,4,06,Y,0,Men's Singles - Class 8 First Round,"Individual masc - classe 8, 1/8 final",Men's Singles - Class 8 First Round,"Individual masculino - classe 8, oitavas de final",EventUnit,15,HATH,N,Y,First Round,Oitavas de final
TT,M,008,4,07,Y,0,Men's Singles - Class 8 First Round,"Individual masc - classe 8, 1/8 final",Men's Singles - Class 8 First Round,"Individual masculino - classe 8, oitavas de final",EventUnit,15,HATH,N,Y,First Round,Oitavas de final
TT,M,008,4,08,Y,0,Men's Singles - Class 8 First Round,"Individual masc - classe 8, 1/8 final",Men's Singles - Class 8 First Round,"Individual masculino - classe 8, oitavas de final",EventUnit,15,HATH,N,Y,First Round,Oitavas de final
TT,M,008,9,00,N,0,Men's Singles - Class 8 Preliminaries,"Individual masc-classe 8, fase de grupos",Men's Singles - Class 8 Preliminaries,"Individual masculino - classe 8, fase de grupos",Phase,14,NONE,N,N,Preliminaries,Fase de grupos
TT,M,008,A,01,Y,0,Men's Singles - Class 8 Group A,"Individual masc - classe 8, grupo A",Men's Singles - Class 8 Group A,"Individual masculino - classe 8, grupo A",EventUnit,15,HATH,N,Y,Group A,Grupo A
TT,M,008,A,02,Y,0,Men's Singles - Class 8 Group A,"Individual masc - classe 8, grupo A",Men's Singles - Class 8 Group A,"Individual masculino - classe 8, grupo A",EventUnit,15,HATH,N,Y,Group A,Grupo A
TT,M,008,A,03,Y,0,Men's Singles - Class 8 Group A,"Individual masc - classe 8, grupo A",Men's Singles - Class 8 Group A,"Individual masculino - classe 8, grupo A",EventUnit,15,HATH,N,Y,Group A,Grupo A
TT,M,008,A,04,Y,0,Men's Singles - Class 8 Group A,"Individual masc - classe 8, grupo A",Men's Singles - Class 8 Group A,"Individual masculino - classe 8, grupo A",EventUnit,15,HATH,N,Y,Group A,Grupo A
TT,M,008,A,05,Y,0,Men's Singles - Class 8 Group A,"Individual masc - classe 8, grupo A",Men's Singles - Class 8 Group A,"Individual masculino - classe 8, grupo A",EventUnit,15,HATH,N,Y,Group A,Grupo A
TT,M,008,A,06,Y,0,Men's Singles - Class 8 Group A,"Individual masc - classe 8, grupo A",Men's Singles - Class 8 Group A,"Individual masculino - classe 8, grupo A",EventUnit,15,HATH,N,Y,Group A,Grupo A
TT,M,008,B,01,Y,0,Men's Singles - Class 8 Group B,"Individual masc - classe 8, grupo B",Men's Singles - Class 8 Group B,"Individual masculino - classe 8, grupo B",EventUnit,15,HATH,N,Y,Group B,Grupo B
TT,M,008,B,02,Y,0,Men's Singles - Class 8 Group B,"Individual masc - classe 8, grupo B",Men's Singles - Class 8 Group B,"Individual masculino - classe 8, grupo B",EventUnit,15,HATH,N,Y,Group B,Grupo B
TT,M,008,B,03,Y,0,Men's Singles - Class 8 Group B,"Individual masc - classe 8, grupo B",Men's Singles - Class 8 Group B,"Individual masculino - classe 8, grupo B",EventUnit,15,HATH,N,Y,Group B,Grupo B
TT,M,008,B,04,Y,0,Men's Singles - Class 8 Group B,"Individual masc - classe 8, grupo B",Men's Singles - Class 8 Group B,"Individual masculino - classe 8, grupo B",EventUnit,15,HATH,N,Y,Group B,Grupo B
TT,M,008,B,05,Y,0,Men's Singles - Class 8 Group B,"Individual masc - classe 8, grupo B",Men's Singles - Class 8 Group B,"Individual masculino - classe 8, grupo B",EventUnit,15,HATH,N,Y,Group B,Grupo B
TT,M,008,B,06,Y,0,Men's Singles - Class 8 Group B,"Individual masc - classe 8, grupo B",Men's Singles - Class 8 Group B,"Individual masculino - classe 8, grupo B",EventUnit,15,HATH,N,Y,Group B,Grupo B
TT,M,008,C,01,Y,0,Men's Singles - Class 8 Group C,"Individual masc - classe 8, grupo C",Men's Singles - Class 8 Group C,"Individual masculino - classe 8, grupo C",EventUnit,15,HATH,N,Y,Group C,Grupo C
TT,M,008,C,02,Y,0,Men's Singles - Class 8 Group C,"Individual masc - classe 8, grupo C",Men's Singles - Class 8 Group C,"Individual masculino - classe 8, grupo C",EventUnit,15,HATH,N,Y,Group C,Grupo C
TT,M,008,C,03,Y,0,Men's Singles - Class 8 Group C,"Individual masc - classe 8, grupo C",Men's Singles - Class 8 Group C,"Individual masculino - classe 8, grupo C",EventUnit,15,HATH,N,Y,Group C,Grupo C
TT,M,008,C,04,Y,0,Men's Singles - Class 8 Group C,"Individual masc - classe 8, grupo C",Men's Singles - Class 8 Group C,"Individual masculino - classe 8, grupo C",EventUnit,15,HATH,N,Y,Group C,Grupo C
TT,M,008,C,05,Y,0,Men's Singles - Class 8 Group C,"Individual masc - classe 8, grupo C",Men's Singles - Class 8 Group C,"Individual masculino - classe 8, grupo C",EventUnit,15,HATH,N,Y,Group C,Grupo C
TT,M,008,C,06,Y,0,Men's Singles - Class 8 Group C,"Individual masc - classe 8, grupo C",Men's Singles - Class 8 Group C,"Individual masculino - classe 8, grupo C",EventUnit,15,HATH,N,Y,Group C,Grupo C
TT,M,008,D,01,Y,0,Men's Singles - Class 8 Group D,"Individual masc - classe 8, grupo D",Men's Singles - Class 8 Group D,"Individual masculino - classe 8, grupo D",EventUnit,15,HATH,N,Y,Group D,Grupo D
TT,M,008,D,02,Y,0,Men's Singles - Class 8 Group D,"Individual masc - classe 8, grupo D",Men's Singles - Class 8 Group D,"Individual masculino - classe 8, grupo D",EventUnit,15,HATH,N,Y,Group D,Grupo D
TT,M,008,D,03,Y,0,Men's Singles - Class 8 Group D,"Individual masc - classe 8, grupo D",Men's Singles - Class 8 Group D,"Individual masculino - classe 8, grupo D",EventUnit,15,HATH,N,Y,Group D,Grupo D
TT,M,008,D,04,Y,0,Men's Singles - Class 8 Group D,"Individual masc - classe 8, grupo D",Men's Singles - Class 8 Group D,"Individual masculino - classe 8, grupo D",EventUnit,15,HATH,N,Y,Group D,Grupo D
TT,M,008,D,05,Y,0,Men's Singles - Class 8 Group D,"Individual masc - classe 8, grupo D",Men's Singles - Class 8 Group D,"Individual masculino - classe 8, grupo D",EventUnit,15,HATH,N,Y,Group D,Grupo D
TT,M,008,D,06,Y,0,Men's Singles - Class 8 Group D,"Individual masc - classe 8, grupo D",Men's Singles - Class 8 Group D,"Individual masculino - classe 8, grupo D",EventUnit,15,HATH,N,Y,Group D,Grupo D
TT,M,008,E,01,Y,0,Men's Singles - Class 8 Group E,"Individual masc - classe 8, grupo E",Men's Singles - Class 8 Group E,"Individual masculino - classe 8, grupo E",EventUnit,15,HATH,N,Y,Group E,Grupo E
TT,M,008,E,02,Y,0,Men's Singles - Class 8 Group E,"Individual masc - classe 8, grupo E",Men's Singles - Class 8 Group E,"Individual masculino - classe 8, grupo E",EventUnit,15,HATH,N,Y,Group E,Grupo E
TT,M,008,E,03,Y,0,Men's Singles - Class 8 Group E,"Individual masc - classe 8, grupo E",Men's Singles - Class 8 Group E,"Individual masculino - classe 8, grupo E",EventUnit,15,HATH,N,Y,Group E,Grupo E
TT,M,008,E,04,Y,0,Men's Singles - Class 8 Group E,"Individual masc - classe 8, grupo E",Men's Singles - Class 8 Group E,"Individual masculino - classe 8, grupo E",EventUnit,15,HATH,N,Y,Group E,Grupo E
TT,M,008,E,05,Y,0,Men's Singles - Class 8 Group E,"Individual masc - classe 8, grupo E",Men's Singles - Class 8 Group E,"Individual masculino - classe 8, grupo E",EventUnit,15,HATH,N,Y,Group E,Grupo E
TT,M,008,E,06,Y,0,Men's Singles - Class 8 Group E,"Individual masc - classe 8, grupo E",Men's Singles - Class 8 Group E,"Individual masculino - classe 8, grupo E",EventUnit,15,HATH,N,Y,Group E,Grupo E
TT,M,008,F,01,Y,0,Men's Singles - Class 8 Group F,"Individual masc - classe 8, grupo F",Men's Singles - Class 8 Group F,"Individual masculino - classe 8, grupo F",EventUnit,15,HATH,N,Y,Group F,Grupo F
TT,M,008,F,02,Y,0,Men's Singles - Class 8 Group F,"Individual masc - classe 8, grupo F",Men's Singles - Class 8 Group F,"Individual masculino - classe 8, grupo F",EventUnit,15,HATH,N,Y,Group F,Grupo F
TT,M,008,F,03,Y,0,Men's Singles - Class 8 Group F,"Individual masc - classe 8, grupo F",Men's Singles - Class 8 Group F,"Individual masculino - classe 8, grupo F",EventUnit,15,HATH,N,Y,Group F,Grupo F
TT,M,008,F,04,Y,0,Men's Singles - Class 8 Group F,"Individual masc - classe 8, grupo F",Men's Singles - Class 8 Group F,"Individual masculino - classe 8, grupo F",EventUnit,15,HATH,N,Y,Group F,Grupo F
TT,M,008,F,05,Y,0,Men's Singles - Class 8 Group F,"Individual masc - classe 8, grupo F",Men's Singles - Class 8 Group F,"Individual masculino - classe 8, grupo F",EventUnit,15,HATH,N,Y,Group F,Grupo F
TT,M,008,F,06,Y,0,Men's Singles - Class 8 Group F,"Individual masc - classe 8, grupo F",Men's Singles - Class 8 Group F,"Individual masculino - classe 8, grupo F",EventUnit,15,HATH,N,Y,Group F,Grupo F
TT,M,008,M,00,Y,0,Men's Singles - Class 8 VC,"Individual masc-classe 8, cer. premiação",Men's Singles - Class 8 Victory Ceremony,"Individual masculino - classe 8, cerimônia de premiação",Medals,17,NONE,N,Y,Victory Ceremony,Cerimônia de premiação
TT,M,009,0,00,N,0,Men's Singles - Class 9,Individual masculino - classe 9,Men's Singles - Class 9,Individual masculino - classe 9,Event,13,NONE,N,N,"",""
TT,M,009,1,00,N,0,Men's Singles - Class 9 Finals,"Individual masculino - classe 9, finais",Men's Singles - Class 9 Finals,"Individual masculino - classe 9, finais",Phase,14,NONE,N,N,Finals,Finais
