Id,Venue,LocationOrder,competition,ENG Description,FRA Description,POR Description,ENG longdescription,FRA longdescription,POR longdescription,Source,Sub-Locations
GA6,ROA,6,Y,Rio Olympic Arena-GA Parallel,Rio Olympic Arena-GA Barres pa,Rio Olympic Arena-GA Barras pa,Rio Olympic Arena - GA Parallel Bar,Rio Olympic Arena - GA Barres parallèles,Rio Olympic Arena - GA Barras paralelas,ROAGA1,
GA7,ROA,7,Y,Rio Olympic Arena-GA Uneven Ba,Rio Olympic Arena-GA Barre ass,Rio Olympic Arena-GA Barra ass,Rio Olympic Arena - GA Uneven Bars,Rio Olympic Arena - GA Barres asymétriques,Rio Olympic Arena - GA Barras assimétricas,ROAGA1,
GA8,ROA,8,Y,Rio Olympic Arena-GA Horizonta,Rio Olympic Arena-GA Barre fix,Rio Olympic Arena-GA Barra fix,Rio Olympic Arena - GA Horizontal Bar,Rio Olympic Arena - GA Barre fixe,Rio Olympic Arena - GA Barra fixa,ROAGA1,
GAM,ROA,9,Y,Rio Olympic Arena - GA Men,Rio Olympic Arena - GA Hommes,Rio Olympic Arena-GA Masculino,Rio Olympic Arena - GA Men's competition,Rio Olympic Arena - GA Hommes,Rio Olympic Arena - GA Masculino,ROAGA1,"GA1,GA2,GA3,GA5,GA6,GA8"
GAW,ROA,10,Y,Rio Olympic Arena - GA Women,Rio Olympic Arena - GA Femmes,Rio Olympic Arena-GA Feminino,Rio Olympic Arena - GA Women's competition,Rio Olympic Arena - GA Femmes,Rio Olympic Arena - GA Feminino,ROAGA1,"GA1,GA4,GA5,GA7"
GLO,GLO,,Y,Marina da Glória,Marina da Glória,Marina da Glória,Marina da Glória,Marina da Glória,Marina da Glória,GLOSA1,
GO1,OGC,1,Y,Olympic Golf Course,Parcours Olympique de Golf,Campo Olímpico de Golfe,Olympic Golf Course,Parcours Olympique de Golf,Campo Olímpico de Golfe,OGCGO1,
GR1,ROA,1,Y,Rio Olympic Arena - GR,Arène Olympique de Rio - GR,Arena Olímpica do Rio - GR,Rio Olympic Arena - Rhythmic Gymnastics,Arène Olympique de Rio - Gymnastique rythmique,Arena Olímpica do Rio - Ginástica Rítmica,ROAGR1,
GT1,ROA,1,Y,Rio Olympic Arena - GT,Arène Olympique de Rio - GT,Arena Olímpica do Rio - GT,Rio Olympic Arena - Trampoline Gymnastics,Arène Olympique de Rio - Trampoline,Arena Olímpica do Rio - Ginástica de Trampolim,ROAGT1,
HB1,FTA,1,Y,Future Arena,Arène du Futur,Arena do Futuro,Future Arena,Arène du Futur,Arena do Futuro,FTAHB1,
HO1,OHK,1,Y,Olympic Hockey Centre - Pitch1,Centre Olymp. Hockey-Terrain1,Centro Olímpico Hóquei-Campo 1,Olympic Hockey Centre - Hockey Pitch 1,Centre Olympique de Hockey - Hockey Terrain 1,Centro Olímpico Hóquei-Hóquei sobre Grama Campo 1,OHKHO1,
HO2,OHK,2,Y,Olympic Hockey Centre - Pitch2,Centre Olymp. Hockey-Terrain2,Centro Olímpico Hóquei-Campo 2,Olympic Hockey Centre - Hockey Pitch 2,Centre Olympique de Hockey - Hockey Terrain 2,Centro Olímpico Hóquei-Hóquei sobre Grama Campo 2,OHKHO1,
HO3,OHK,3,Y,Olympic Hockey Centre - Pitch3,Centre Olymp. Hockey-Terrain3,Centro Olímpico Hóquei-Campo 3,Olympic Hockey Centre - Hockey Pitch 3,Centre Olympique de Hockey - Hockey Terrain 3,Centro Olímpico Hóquei-Hóquei sobre Grama Campo 3,OHKHO1,
JU1,CA2,1,Y,Carioca Arena 2 - Judo Mat 1,Aréna Carioca 2 - Judo Tapis 1,Arena Carioca 2-Judô Tatame 1,Carioca Arena 2 - Judo Mat 1,Aréna Carioca 2 - Judo Tapis 1,Arena Carioca 2 - Judô Tatame 1,CA2JU1,
JU2,CA2,2,Y,Carioca Arena 2 - Judo Mat 2,Aréna Carioca 2 - Judo Tapis 2,Arena Carioca 2-Judô Tatame 2,Carioca Arena 2 - Judo Mat 2,Aréna Carioca 2 - Judo Tapis 2,Arena Carioca 2 - Judô Tatame 2,CA2JU1,
LAG,LAG,,Y,Lagoa Stadium,Stade de Lagoa,Estádio da Lagoa,Lagoa Stadium,Stade de Lagoa,Estádio da Lagoa,,
MBT,MBT,,Y,Mountain Bike Centre,Centre de Mountain Bike,Centro de Mountain Bike,Mountain Bike Centre,Centre de Mountain Bike,Centro de Mountain Bike,MBTCM1,
MGA,MGA,,Y,Mané Garrincha Stadium,Stade Mané Garrincha,Estádio Mané Garrincha,Mané Garrincha Stadium,Stade Mané Garrincha,Estádio Mané Garrincha,MGAFB1,
MIN,MIN,,Y,Mineirão,Mineirão,Mineirão,Mineirão,Mineirão,Mineirão,MINFB1,
MNZ,MNZ,,Y,Maracanãzinho,Maracanãzinho,Maracanãzinho,Maracanãzinho,Maracanãzinho,Maracanãzinho,MNZVO1,
MP1,DAQ,1,Y,Deodoro Aquatics Centre - MP,Centre Aquatique Deodoro - MP,Centro Aquático Deodoro - MP,Deodoro Aquatics Centre - Modern Pentathlon,Centre Aquatique de Deodoro - Pentathlon moderne,Centro Aquático de Deodoro - Pentatlo Moderno,DAQMP1,
