Discipline,Gender,Event,phase,type,order,ENG Description,KOR Description,ENG longdescription,KOR longdescription,ENG phase Description,KOR phase Description,Old DDGEEEP
GEN,-,------------------,----,8,,General,일반,General,일반,,,GL00000
IOC,-,MEETINGS----------,----,8,,IPC Meetings,IPC 회의,IPC Meetings,IPC 회의,,,IA0MET0
ISH,-,------------------,----,8,,Ice Hockey,아이스하키,Ice Hockey,아이스하키,,,IH00000
ISH,-,------------------,DRAW,7,D,Ice Hockey Draw,아이스하키 추첨,Ice Hockey Draw,아이스하키 추첨,Draw,추첨,IH0000E
ISH,-,------------------,MEET,9,M,"Ice Hockey, Team Captain Meeting","아이스하키, 팀대표자회의","Ice Hockey, Team Captain Meeting","아이스하키, 팀대표자회의",Team Captain Meeting,팀대표자 회의,IH0000T
ISH,O,------------------,----,8,,Ice Hockey Tournament,아이스하키 토너먼트,Ice Hockey Tournament,아이스하키 토너먼트,Tournament,토너먼트,IHX0000
ISH,O,------------------,MEET,9,M,"Ice Hockey, Team Captain Meeting","아이스하키, 팀대표자회의","Ice Hockey, Team Captain Meeting","아이스하키, 팀대표자회의",Team Captain Meeting,팀대표자 회의,IHX000T
ISH,O,TEAM6---00000-----,----,8,,Ice Hockey,아이스하키,Ice Hockey,아이스하키,,,IHX4000
ISH,O,TEAM6---00000-----,TEAM,8,,Teams,팀 ,Teams,팀 ,Teams,팀,
ISH,O,TEAM6---00000-----,FNL-,3,1,Play-offs Finals,결승전,Play-offs Finals,결승전,Play-offs Finals,결승전,IHX4001
ISH,O,TEAM6---00000-----,GPA-,3,8,Preliminary Round - Group A,조별 예선 - A 조,Preliminary Round - Group A,조별 예선 - A 조,Preliminary Round - Group A,조별 예선 - A 조,IHX400A
ISH,O,TEAM6---00000-----,GPB-,3,8,Preliminary Round - Group B,조별 예선 - B 조,Preliminary Round - Group B,조별 예선 - B 조,Preliminary Round - Group B,조별 예선 - B 조,IHX400B
ISH,O,TEAM6---00000-----,PREL,3,8,Preliminary Round,조별 예선,Preliminary Round,조별 예선,Preliminary Round,조별 예선,IHX4009
ISH,O,TEAM6---00000-----,SF5-,3,2,Classification Games (5-8),순위결정전 (5-8),Classification Games (5-8),순위결정전 (5-8),Classification Games (5-8),순위결정전 (5-8),
ISH,O,TEAM6---00000-----,SFNL,3,2,Play-offs Semifinals,준결승,Play-offs Semifinals,준결승,Play-offs Semifinals,준결승,IHX4002
ISH,O,TEAM6---00000-----,VICT,6,V,Ice Hockey Ceremonies,아이스하키 메달 시상식,Ice Hockey Ceremonies,아이스하키 메달 시상식,Victory Ceremony,메달 시상식,IHX400M
NSK,-,------------------,----,8,,Nordic Skiing,노르딕 스키,Nordic Skiing,노르딕 스키,,,NS00000
OLV,-,ELECTION----------,----,8,,IPC Athletes' Council Election,IPC 선수 위원회 선거,IPC Athletes' Council Election,IPC 선수 위원회 선거,,,OV0IOC0
OLV,-,ENTERTAN----------,----,8,,Entertainment Program,엔터테이먼트 프로그램,Entertainment Program,엔터테이먼트 프로그램,,,OV0ENP0
OLV,-,FAITH-------------,----,8,,Interfaith Centre,종교 센터,Interfaith Centre,종교 센터,,,OV0IFC0
OLV,-,WELCOME-----------,----,8,,Team Welcome Ceremonies,팀 웰컴 세레모니,Team Welcome Ceremonies,팀 웰컴 세레모니,,,OV0TEA0
PCO,-,ALP---------------,----,5,,Alpine Skiing Press Conferences,알파인 스키 기자회견,Alpine Skiing Press Conferences,알파인 스키 기자회견,,,PC0AS00
PCO,-,BTH---------------,----,5,,Biathlon Press Conferences,바이애슬론 기자회견,Biathlon Press Conferences,바이애슬론 기자회견,,,PC0BT00
PCO,-,CCS---------------,----,5,,Cross-Country Skiing Press Conferences,크로스컨트리 스키 기자회견,Cross-Country Skiing Press Conferences,크로스컨트리 스키 기자회견,,,PC0CC00
PCO,-,CUR---------------,----,5,,Wheelchair Curling Press Conferences,휠체어컬링 기자회견,Wheelchair Curling Press Conferences,휠체어컬링 기자회견,,,PC0CU00
PCO,-,GEN---------------,----,5,,General Press Conferences,일반 기자회견,General Press Conferences,일반 기자회견,,,PC0GEN0
PCO,-,IOC---------------,----,5,,IPC Press Conferences,IPC 기자회견,IPC Press Conferences,IPC 기자회견,,,PC0IOC0
PCO,-,ISH---------------,----,5,,Ice Hockey Press Conferences,아이스하키 기자회견,Ice Hockey Press Conferences,아이스하키 기자회견,,,PC0IH00
PCO,-,LOC---------------,----,5,,OCOG Press Conferences,OCOG 기자회견,OCOG Press Conferences,OCOG 기자회견,,,PC0LOC0
PCO,-,SBD---------------,----,5,,Snowboard Press Conferences,스노보드 기자회견,Snowboard Press Conferences,스노보드 기자회견,,,
SBD,-,------------------,----,8,,Snowboard,스노보드,Snowboard,스노보드,,,
SBD,-,------------------,MEET,9,M,"Snowboard, Team Captain Meeting",스노보드 대표자회의,"Snowboard, Team Captain Meeting",스노보드 대표자회의,Team Captain Meeting,대표자 회의,
SBD,-,CANCEL------------,----,3,,No competition,경기 없음,No competition,경기 없음,,,
SBD,M,------------------,----,8,,Men's Snowboard,남자 스노보드,Men's Snowboard,남자 스노보드,,,
SBD,M,BSL---------------,----,8,,Men's Banked Slalom,남자 뱅크드 슬라롬,Men's Banked Slalom,남자 뱅크드 슬라롬,,,
SBD,M,BSL---------------,TRNO,1,T,"Men's Banked Slalom, Training","남자 뱅크드 슬라롬, 공식연습","Men's Banked Slalom, Training","남자 뱅크드 슬라롬, 공식연습",Training,공식연습,
