Discipline,Gender,Event,phase,type,order,ENG Description,KOR Description,ENG longdescription,KOR longdescription,ENG phase Description,KOR phase Description,Old DDGEEEP
ALP,W,SG------12050-----,VICT,6,V,"Women's Super-G, Sitting, Vict. Cer.","여자 슈퍼대회전, 좌식, 메달 시상식","Women's Super-G, Sitting, Victory Ceremony","여자 슈퍼대회전, 좌식, 메달 시상식",Victory Ceremony,메달 시상식,ASW240M
ALP,W,SL----------------,----,8,,Women's Slalom,여자 회전,Women's Slalom,여자 회전,,,ASW0200
ALP,W,SL------03030-----,----,8,,"Women's Slalom, Visually Impaired","여자 회전, 시각 장애","Women's Slalom, Visually Impaired","여자 회전, 시각 장애",,,ASW3200
ALP,W,SL------03030-----,DRAW,7,D,"Women's Slalom, Vis Imp, Draw","여자 회전, 시각 장애, 추첨","Women's Slalom, Visually Impaired, Draw","여자 회전, 시각 장애, 추첨",Draw,추첨,ASW320E
ALP,W,SL------03030-----,FNL-,3,1,"Women's Slalom, Visually Impaired","여자 회전, 시각 장애","Women's Slalom, Visually Impaired","여자 회전, 시각 장애",,,ASW3201
ALP,W,SL------03030-----,VICT,6,V,"Women's Slalom, Vis Imp, Vict. Ceremony","여자 회전, 시각 장애, 메달 시상식","Women's Slalom, Visually Impaired, Victory Ceremony","여자 회전, 시각 장애, 메달 시상식",Victory Ceremony,메달 시상식,ASW320M
ALP,W,SL------09110-----,----,8,,"Women's Slalom, Standing","여자 회전, 입식","Women's Slalom, Standing","여자 회전, 입식",,,ASW1200
ALP,W,SL------09110-----,DRAW,7,D,"Women's Slalom, Standing, Draw","여자 회전, 입식, 추첨","Women's Slalom, Standing, Draw","여자 회전, 입식, 추첨",Draw,추첨,ASW120E
ALP,W,SL------09110-----,FNL-,3,1,"Women's Slalom, Standing","여자 회전, 입식","Women's Slalom, Standing","여자 회전, 입식",,,ASW1201
ALP,W,SL------09110-----,VICT,6,V,"Women's Slalom, Stand., Vict. Ceremony","여자 회전, 입식, 메달 시상식","Women's Slalom, Standing, Victory Ceremony","여자 회전, 입식, 메달 시상식",Victory Ceremony,메달 시상식,ASW120M
ALP,W,SL------12050-----,----,8,,"Women's Slalom, Sitting","여자 회전, 좌식","Women's Slalom, Sitting","여자 회전, 좌식",,,ASW2200
ALP,W,SL------12050-----,DRAW,7,D,"Women's Slalom, Sitting, Draw","여자 회전, 좌식, 추첨","Women's Slalom, Sitting, Draw","여자 회전, 좌식, 추첨",Draw,추첨,ASW220E
ALP,W,SL------12050-----,FNL-,3,1,"Women's Slalom, Sitting","여자 회전, 좌식","Women's Slalom, Sitting","여자 회전, 좌식",,,ASW2201
ALP,W,SL------12050-----,VICT,6,V,"Women's Slalom, Sitting, Vict. Ceremony","여자 회전, 좌식, 메달 시상식","Women's Slalom, Sitting, Victory Ceremony","여자 회전, 좌식, 메달 시상식",Victory Ceremony,메달 시상식,ASW220M
ART,-,CIRCUS------------,----,8,,Circus / Street Arts,서커스 / 거리예술,Circus / Street Arts,서커스 / 거리예술,,,AF0CRC0
ART,-,COMEDY------------,----,8,,Comedy,코메디,Comedy,코메디,,,AF0CMD0
ART,-,CULTURAL----------,----,8,,Cultural Activities,문화 행사,Cultural Activities,문화 행사,,,
ART,-,DANCE-------------,----,8,,Dance,댄스,Dance,댄스,,,AF0DNC0
ART,-,DIGITAL-----------,----,8,,Digital / Film / Video,디지털 / 필름 / 비디오,Digital / Film / Video,디지털 / 필름 / 비디오,,,AF0DGT0
ART,-,LITERARY----------,----,8,,Literary Arts,문화예술,Literary Arts,문화예술,,,AF0LTR0
ART,-,MUSIC-------------,----,8,,Music,음악,Music,음악,,,AF0MSC0
ART,-,SPONSOR-----------,----,8,,Sponsor Activities,스폰서 행사,Sponsor Activities,스폰서 행사,,,
ART,-,THEATRE-----------,----,8,,Theatre,극장,Theatre,극장,,,AF0THT0
ART,-,VISUAL------------,----,8,,Visual Arts,시각예술,Visual Arts,시각예술,,,AF0VSL0
BTH,-,------------------,----,8,,Biathlon,바이애슬론,Biathlon,바이애슬론,,,BT00000
BTH,-,------------------,MEET,9,M,"Biathlon, Team Captain Meeting","바이애슬론, 대표자회의","Biathlon, Team Captain Meeting","바이애슬론, 대표자회의",Team Captain Meeting,대표자 회의,BT0000T
BTH,-,CANCEL------------,----,3,,No competition,경기 없음,No competition,경기 없음,,,
BTH,M,------------------,----,8,,Men's Biathlon,바이애슬론 남자,Men's Biathlon,바이애슬론 남자,,,BTM0000
BTH,M,12.5KM--03030-----,----,8,,"Men's 12.5km, Visually Impaired","남자 12.5km, 시각 장애","Men's 12.5km, Visually Impaired","남자 12.5km, 시각 장애",,,BTM3200
BTH,M,12.5KM--03030-----,FNL-,3,1,"Men's 12.5km, Visually Impaired","남자 12.5km, 시각 장애","Men's 12.5km, Visually Impaired","남자 12.5km, 시각 장애",,,BTM3201
BTH,M,12.5KM--03030-----,TRNO,1,T,"Men's 12.5km, Vis Imp, Off. Training","남자 12.5km, 시각 장애, 공식연습","Men's 12.5km, Visually Impaired, Official Training","남자 12.5km, 시각 장애, 공식연습",Official Training,공식연습,BTM320O
BTH,M,12.5KM--03030-----,VICT,6,V,"Men's 12.5km, Vis Imp, Vict. Ceremony","남자 12.5km, 시각 장애, 메달 시상식","Men's 12.5km, Visually Impaired, Victory Ceremony","남자 12.5km, 시각 장애, 메달 시상식",Victory Ceremony,메달 시상식,BTM320M
BTH,M,12.5KM--09070-----,----,8,,"Men's 12.5km, Standing","남자 12.5km, 입식","Men's 12.5km, Standing","남자 12.5km, 입식",,,BTM1200
BTH,M,12.5KM--09070-----,FNL-,3,1,"Men's 12.5km, Standing","남자 12.5km, 입식","Men's 12.5km, Standing","남자 12.5km, 입식",,,BTM1201
BTH,M,12.5KM--09070-----,TRNO,1,T,"Men's 12.5km, Standing, Off. Training","남자 12.5km, 입식, 공식연습","Men's 12.5km, Standing, Official Training","남자 12.5km, 입식, 공식연습",Official Training,공식연습,BTM120O
BTH,M,12.5KM--09070-----,VICT,6,V,"Men's 12.5km, Standing, Vict. Ceremony","남자 12.5km, 입식, 메달 시상식","Men's 12.5km, Standing, Victory Ceremony","남자 12.5km, 입식, 메달 시상식",Victory Ceremony,메달 시상식,BTM120M
BTH,M,12.5KM--12050-----,----,8,,"Men's 12.5km, Sitting","남자 12.5km, 좌식","Men's 12.5km, Sitting","남자 12.5km, 좌식",,,BTM2200
BTH,M,12.5KM--12050-----,FNL-,3,1,"Men's 12.5km, Sitting","남자 12.5km, 좌식","Men's 12.5km, Sitting","남자 12.5km, 좌식",,,BTM2201
BTH,M,12.5KM--12050-----,TRNO,1,T,"Men's 12.5km, Sitting, Off. Training","남자 12.5km, 좌식, 공식연습","Men's 12.5km, Sitting, Official Training","남자 12.5km, 좌식, 공식연습",Official Training,공식연습,BTM220O
BTH,M,12.5KM--12050-----,VICT,6,V,"Men's 12.5km, Sitting, Vict. Ceremony","남자 12.5km, 좌식, 메달 시상식","Men's 12.5km, Sitting, Victory Ceremony","남자 12.5km, 좌식, 메달 시상식",Victory Ceremony,메달 시상식,BTM220M
BTH,M,15KM----03030-----,----,8,,"Men's 15km, Visually Impaired","남자 15km, 시각 장애","Men's 15km, Visually Impaired","남자 15km, 시각 장애",,,BTM3300
BTH,M,15KM----03030-----,FNL-,3,1,"Men's 15km, Visually Impaired","남자 15km, 시각 장애","Men's 15km, Visually Impaired","남자 15km, 시각 장애",,,BTM3301
BTH,M,15KM----03030-----,TRNO,1,T,"Men's 15km, Vis Imp, Official Training","남자 15km, 시각 장애, 공식연습","Men's 15km, Visually Impaired, Official Training","남자 15km, 시각 장애, 공식연습",Official Training,공식연습,BTM330O
BTH,M,15KM----03030-----,VICT,6,V,"Men's 15km, Vis Imp, Victory Ceremony","남자 15km, 시각 장애, 메달 시상식","Men's 15km, Visually Impaired, Victory Ceremony","남자 15km, 시각 장애, 메달 시상식",Victory Ceremony,메달 시상식,BTM330M
BTH,M,15KM----09070-----,----,8,,"Men's 15km, Standing","남자 15km, 입식","Men's 15km, Standing","남자 15km, 입식",,,BTM1300
BTH,M,15KM----09070-----,FNL-,3,1,"Men's 15km, Standing","남자 15km, 입식","Men's 15km, Standing","남자 15km, 입식",,,BTM1301
BTH,M,15KM----09070-----,TRNO,1,T,"Men's 15km, Standing, Off. Training","남자 15km, 입식, 공식연습","Men's 15km, Standing, Official Training","남자 15km, 입식, 공식연습",Official Training,공식연습,BTM130O
BTH,M,15KM----09070-----,VICT,6,V,"Men's 15km, Standing, Vict. Ceremony","남자 15km, 입식, 메달 시상식","Men's 15km, Standing, Victory Ceremony","남자 15km, 입식, 메달 시상식",Victory Ceremony,메달 시상식,BTM130M
BTH,M,15KM----12050-----,----,8,,"Men's 15km, Sitting","남자 15km, 좌식","Men's 15km, Sitting","남자 15km, 좌식",,,BTM2300
BTH,M,15KM----12050-----,FNL-,3,1,"Men's 15km, Sitting","남자 15km, 좌식","Men's 15km, Sitting","남자 15km, 좌식",,,BTM2301
BTH,M,15KM----12050-----,TRNO,1,T,"Men's 15km, Sitting, Official Training","남자 15km, 좌식, 공식연습","Men's 15km, Sitting, Official Training","남자 15km, 좌식, 공식연습",Official Training,공식연습,BTM230O
BTH,M,15KM----12050-----,VICT,6,V,"Men's 15km, Sitting, Victory Ceremony","남자 15km, 좌식, 메달 시상식","Men's 15km, Sitting, Victory Ceremony","남자 15km, 좌식, 메달 시상식",Victory Ceremony,메달 시상식,BTM230M
BTH,M,7.5KM---03030-----,----,8,,"Men's 7.5km, Visually Impaired","남자 7.5km, 시각 장애","Men's 7.5km, Visually Impaired","남자 7.5km, 시각 장애",,,BTM3100
BTH,M,7.5KM---03030-----,FNL-,3,1,"Men's 7.5km, Visually Impaired","남자 7.5km, 시각 장애","Men's 7.5km, Visually Impaired","남자 7.5km, 시각 장애",,,BTM3101
BTH,M,7.5KM---03030-----,TRNO,1,T,"Men's 7.5km, Vis Imp, Off. Training","남자 7.5km, 시각 장애, 공식연습","Men's 7.5km, Visually Impaired, Official Training","남자 7.5km, 시각 장애, 공식연습",Official Training,공식연습,BTM310O
BTH,M,7.5KM---03030-----,VICT,6,V,"Men's 7.5km, Vis Imp, Vict. Ceremony","남자 7.5km, 시각 장애, 메달 시상식","Men's 7.5km, Visually Impaired, Victory Ceremony","남자 7.5km, 시각 장애, 메달 시상식",Victory Ceremony,메달 시상식,BTM310M
BTH,M,7.5KM---09070-----,----,8,,"Men's 7.5km, Standing","남자 7.5km, 입식","Men's 7.5km, Standing","남자 7.5km, 입식",,,BTM1100
BTH,M,7.5KM---09070-----,FNL-,3,1,"Men's 7.5km, Standing","남자 7.5km, 입식","Men's 7.5km, Standing","남자 7.5km, 입식",,,BTM1101
BTH,M,7.5KM---09070-----,TRNO,1,T,"Men's 7.5km, Standing, Off.Training","남자 7.5km, 입식, 공식연습","Men's 7.5km, Standing, Official Training","남자 7.5km, 입식, 공식연습",Official Training,공식연습,BTM110O
BTH,M,7.5KM---09070-----,VICT,6,V,"Men's 7.5km, Standing, Vict. Ceremony","남자 7.5km, 입식, 메달 시상식","Men's 7.5km, Standing, Victory Ceremony","남자 7.5km, 입식, 메달 시상식",Victory Ceremony,메달 시상식,BTM110M
BTH,M,7.5KM---12050-----,----,8,,"Men's 7.5km, Sitting","남자 7.5km, 좌식","Men's 7.5km, Sitting","남자 7.5km, 좌식",,,BTM2100
BTH,M,7.5KM---12050-----,FNL-,3,1,"Men's 7.5km, Sitting","남자 7.5km, 좌식","Men's 7.5km, Sitting","남자 7.5km, 좌식",,,BTM2101
BTH,M,7.5KM---12050-----,TRNO,1,T,"Men's 7.5km, Sitting, Off. Training","남자 7.5km, 좌식, 공식연습","Men's 7.5km, Sitting, Official Training","남자 7.5km, 좌식, 공식연습",Official Training,공식연습,BTM210O
BTH,M,7.5KM---12050-----,VICT,6,V,"Men's 7.5km, Sitting, Victory Ceremony","남자 7.5km, 좌식, 메달 시상식","Men's 7.5km, Sitting, Victory Ceremony","남자 7.5km, 좌식, 메달 시상식",Victory Ceremony,메달 시상식,BTM210M
BTH,W,------------------,----,8,,Women's Biathlon,바이애슬론 여자,Women's Biathlon,바이애슬론 여자,,,BTW0000
BTH,W,10KM----03030-----,----,8,,"Women's 10km, Visually Impaired","여자 10km, 시각 장애","Women's 10km, Visually Impaired","여자 10km, 시각 장애",,,BTW3200
BTH,W,10KM----03030-----,FNL-,3,1,"Women's 10km, Visually Impaired","여자 10km, 시각 장애","Women's 10km, Visually Impaired","여자 10km, 시각 장애",,,BTW3201
BTH,W,10KM----03030-----,TRNO,1,T,"Women's 10km, Vis Imp, Off. Training","여자 10km, 시각 장애, 공식연습","Women's 10km, Visually Impaired, Official Training","여자 10km, 시각 장애, 공식연습",Official Training,공식연습,BTW320O
BTH,W,10KM----03030-----,VICT,6,V,"Women's 10km, Vis Imp, Vict. Ceremony","여자 10km, 시각 장애, 메달 시상식","Women's 10km, Visually Impaired, Victory Ceremony","여자 10km, 시각 장애, 메달 시상식",Victory Ceremony,메달 시상식,BTW320M
BTH,W,10KM----09070-----,----,8,,"Women's 10km, Standing","여자 10km, 입식","Women's 10km, Standing","여자 10km, 입식",,,BTW1200
BTH,W,10KM----09070-----,FNL-,3,1,"Women's 10km, Standing","여자 10km, 입식","Women's 10km, Standing","여자 10km, 입식",,,BTW1201
BTH,W,10KM----09070-----,TRNO,1,T,"Women's 10km, Standing, Off. Training","여자 10km, 입식, 공식연습","Women's 10km, Standing, Official Training","여자 10km, 입식, 공식연습",Official Training,공식연습,BTW120O
BTH,W,10KM----09070-----,VICT,6,V,"Women's 10km, Standing, Vict. Ceremony","여자 10km, 입식, 메달 시상식","Women's 10km, Standing, Victory Ceremony","여자 10km, 입식, 메달 시상식",Victory Ceremony,메달 시상식,BTW120M
BTH,W,10KM----12050-----,----,8,,"Women's 10km, Sitting","여자 10km, 좌식","Women's 10km, Sitting","여자 10km, 좌식",,,BTW2200
BTH,W,10KM----12050-----,FNL-,3,1,"Women's 10km, Sitting","여자 10km, 좌식","Women's 10km, Sitting","여자 10km, 좌식",,,BTW2201
BTH,W,10KM----12050-----,TRNO,1,T,"Women's 10km, Sitting, Off. Training","여자 10km, 좌식, 공식연습","Women's 10km, Sitting, Official Training","여자 10km, 좌식, 공식연습",Official Training,공식연습,BTW220O
BTH,W,10KM----12050-----,VICT,6,V,"Women's 10km, Sitting, Vict. Ceremony","여자 10km, 좌식, 메달 시상식","Women's 10km, Sitting, Victory Ceremony","여자 10km, 좌식, 메달 시상식",Victory Ceremony,메달 시상식,BTW220M
BTH,W,12.5KM--03030-----,----,8,,"Women's 12.5km, Visually Impaired","여자 12.5km, 시각 장애","Women's 12.5km, Visually Impaired","여자 12.5km, 시각 장애",,,BTW3300
BTH,W,12.5KM--03030-----,FNL-,3,1,"Women's 12.5km, Visually Impaired","여자 12.5km, 시각 장애","Women's 12.5km, Visually Impaired","여자 12.5km, 시각 장애",,,BTW3301
BTH,W,12.5KM--03030-----,TRNO,1,T,"Women's 12.5km, Vis Imp, Off. Training","여자 12.5km, 시각 장애, 공식연습","Women's 12.5km, Visually Impaired, Official Training","여자 12.5km, 시각 장애, 공식연습",Official Training,공식연습,BTW330O
BTH,W,12.5KM--03030-----,VICT,6,V,"Women's 12.5km, Vis Imp, Vict. Cer.","여자 12.5km, 시각 장애, 메달 시상식","Women's 12.5km, Visually Impaired, Victory Ceremony","여자 12.5km, 시각 장애, 메달 시상식",Victory Ceremony,메달 시상식,BTW330M
BTH,W,12.5KM--09070-----,----,8,,"Women's 12.5km, Standing","여자 12.5km, 입식","Women's 12.5km, Standing","여자 12.5km, 입식",,,BTW1300
BTH,W,12.5KM--09070-----,FNL-,3,1,"Women's 12.5km, Standing","여자 12.5km, 입식","Women's 12.5km, Standing","여자 12.5km, 입식",,,BTW1301
BTH,W,12.5KM--09070-----,TRNO,1,T,"Women's 12.5km, Standing, Off. Trng.","여자 12.5km, 입식, 공식연습","Women's 12.5km, Standing, Official Training","여자 12.5km, 입식, 공식연습",Official Training,공식연습,BTW130O
BTH,W,12.5KM--09070-----,VICT,6,V,"Women's 12.5km, Standing, Vict. Cer.","여자 12.5km, 입식, 메달 시상식","Women's 12.5km, Standing, Victory Ceremony","여자 12.5km, 입식, 메달 시상식",Victory Ceremony,메달 시상식,BTW130M
BTH,W,12.5KM--12050-----,----,8,,"Women's 12.5km, Sitting","여자 12.5km, 좌식","Women's 12.5km, Sitting","여자 12.5km, 좌식",,,BTW2300
BTH,W,12.5KM--12050-----,FNL-,3,1,"Women's 12.5km, Sitting","여자 12.5km, 좌식","Women's 12.5km, Sitting","여자 12.5km, 좌식",,,BTW2301
BTH,W,12.5KM--12050-----,TRNO,1,T,"Women's 12.5km, Sitting, Off. Trng.","여자 12.5km, 좌식, 공식연습","Women's 12.5km, Sitting, Official Training","여자 12.5km, 좌식, 공식연습",Official Training,공식연습,BTW230O
BTH,W,12.5KM--12050-----,VICT,6,V,"Women's 12.5km, Sitting, Vict. Cer.","여자 12.5km, 좌식, 메달 시상식","Women's 12.5km, Sitting, Victory Ceremony","여자 12.5km, 좌식, 메달 시상식",Victory Ceremony,메달 시상식,BTW230M
BTH,W,6KM-----03030-----,----,8,,"Women's 6km, Visually Impaired","여자 6km, 시각 장애","Women's 6km, Visually Impaired","여자 6km, 시각 장애",,,BTW3100
BTH,W,6KM-----03030-----,FNL-,3,1,"Women's 6km, Visually Impaired","여자 6km, 시각 장애","Women's 6km, Visually Impaired","여자 6km, 시각 장애",,,BTW3101
BTH,W,6KM-----03030-----,TRNO,1,T,"Women's 6km, Vis Imp, Off. Training","여자 6km, 시각 장애, 공식연습","Women's 6km, Visually Impaired, Official Training","여자 6km, 시각 장애, 공식연습",Official Training,공식연습,BTW310O
BTH,W,6KM-----03030-----,VICT,6,V,"Women's 6km, Vis Imp, Vict. Ceremony","여자 6km, 시각 장애, 메달 시상식","Women's 6km, Visually Impaired, Victory Ceremony","여자 6km, 시각 장애, 메달 시상식",Victory Ceremony,메달 시상식,BTW310M
BTH,W,6KM-----09070-----,----,8,,"Women's 6km, Standing","여자 6km, 입식","Women's 6km, Standing","여자 6km, 입식",,,BTW1100
BTH,W,6KM-----09070-----,FNL-,3,1,"Women's 6km, Standing","여자 6km, 입식","Women's 6km, Standing","여자 6km, 입식",,,BTW1101
BTH,W,6KM-----09070-----,TRNO,1,T,"Women's 6km, Standing, Off. Training","여자 6km, 입식, 공식연습","Women's 6km, Standing, Official Training","여자 6km, 입식, 공식연습",Official Training,공식연습,BTW110O
BTH,W,6KM-----09070-----,VICT,6,V,"Women's 6km, Standing, Vict. Ceremony","여자 6km, 입식, 메달 시상식","Women's 6km, Standing, Victory Ceremony","여자 6km, 입식, 메달 시상식",Victory Ceremony,메달 시상식,BTW110M
BTH,W,6KM-----12050-----,----,8,,"Women's 6km, Sitting","여자 6km, 좌식","Women's 6km, Sitting","여자 6km, 좌식",,,BTW2100
BTH,W,6KM-----12050-----,FNL-,3,1,"Women's 6km, Sitting","여자 6km, 좌식","Women's 6km, Sitting","여자 6km, 좌식",,,BTW2101
BTH,W,6KM-----12050-----,TRNO,1,T,"Women's 6km, Sitting, Off. Training","여자 6km, 좌식, 공식연습","Women's 6km, Sitting, Official Training","여자 6km, 좌식, 공식연습",Official Training,공식연습,BTW210O
BTH,W,6KM-----12050-----,VICT,6,V,"Women's 6km, Sitting, Vict. Ceremony","여자 6km, 좌식, 메달 시상식","Women's 6km, Sitting, Victory Ceremony","여자 6km, 좌식, 메달 시상식",Victory Ceremony,메달 시상식,BTW210M
CCS,-,------------------,----,8,,Cross-Country Skiing,크로스컨트리 스키,Cross-Country Skiing,크로스컨트리 스키,,,CC00000
CCS,-,------------------,MEET,9,M,Cross-Country Skiing TCM,크로스컨트리 스키 대표자회의,Cross-Country Skiing Team Captain Meeting,크로스컨트리 스키 대표자회의,Team Captain Meeting,대표자 회의,CC0000T
CCS,-,CANCEL------------,----,3,,No competition,경기 없음,No competition,경기 없음,,,
CCS,M,------------------,----,8,,Men's Cross-Country Skiing,크로스컨트리 스키 남자경기,Men's Cross-Country Skiing,크로스컨트리 스키 남자경기,,,CCM0000
CCS,M,10KM----03030-----,----,8,,"Men's 10km Classic, Visually Impaired","남자 10km 클래식, 시각 장애","Men's 10km Classic, Visually Impaired","남자 10km 클래식, 시각 장애",,,CCM3100
CCS,M,10KM----03030-----,FNL-,3,1,"Men's 10km Classic, Visually Impaired","남자 10km 클래식, 시각 장애","Men's 10km Classic, Visually Impaired","남자 10km 클래식, 시각 장애",,,CCM3101
CCS,M,10KM----03030-----,VICT,6,V,"Men's 10km Classic, Vis Imp, Vict. Cer.","남자 10km 클래식, 시각 장애, 메달 시상식","Men's 10km Classic, Visually Impaired, Victory Ceremony","남자 10km 클래식, 시각 장애, 메달 시상식",Victory Ceremony,메달 시상식,CCM310M
CCS,M,10KM----12050-----,----,8,,"Men's 10km Classic, Standing","남자 10km 클래식, 입식","Men's 10km Classic, Standing","남자 10km 클래식, 입식",,,CCM1100
CCS,M,10KM----12050-----,FNL-,3,1,"Men's 10km Classic, Standing","남자 10km 클래식, 입식","Men's 10km Classic, Standing","남자 10km 클래식, 입식",,,CCM1101
CCS,M,10KM----12050-----,VICT,6,V,"Men's 10km Classic, Standing, Vict. Cer.","남자 10km 클래식, 입식, 메달 시상식","Men's 10km Classic, Standing, Victory Ceremony","남자 10km 클래식, 입식, 메달 시상식",Victory Ceremony,메달 시상식,CCM110M
CCS,M,15KM----09070-----,----,8,,"Men's 15km, Sitting","남자 15km, 좌식","Men's 15km, Sitting","남자 15km, 좌식",,,CCM2200
CCS,M,15KM----09070-----,FNL-,3,1,"Men's 15km, Sitting","남자 15km, 좌식","Men's 15km, Sitting","남자 15km, 좌식",,,CCM2201
CCS,M,15KM----09070-----,VICT,6,V,"Men's 15km, Sitting, Victory Ceremony","남자 15km, 좌식, 메달 시상식","Men's 15km, Sitting, Victory Ceremony","남자 15km, 좌식, 메달 시상식",Victory Ceremony,메달 시상식,CCM220M
CCS,M,20KM----03030-----,----,8,,"Men's 20km Free, Visually Impaired","남자 20km 프리, 시각 장애","Men's 20km Free, Visually Impaired","남자 20km 프리, 시각 장애",,,CCM3200
CCS,M,20KM----03030-----,FNL-,3,1,"Men's 20km Free, Visually Impaired","남자 20km 프리, 시각 장애","Men's 20km Free, Visually Impaired","남자 20km 프리, 시각 장애",,,CCM3201
