Id,Venue,LocationOrder,competition,ENG Description,KOR Description,ENG longdescription,KOR longdescription,Source
STG,STG,,N,Gangneung Superstore,강릉 수퍼스토어,Gangneung Superstore,강릉 수퍼스토어,
STO,STO,,N,Seoul Ticketing Outlet,서울 입장권판매점,Seoul Ticketing Outlet,서울 입장권판매점,
STT,STT,,N,Gangeung Yeongdong U. Gym,강릉영동 쇼트트랙 연습경기장,Gangneung Yeongdong Short Track Training Venue,강릉영동 쇼트트랙 연습경기장,
SUS,SUS,,N,Seoul Station,서울역,Seoul Station,서울역,
THG,THG,,N,Gangneung Transport Hub,강릉 수송허브,Gangneung Transport Hub,강릉 수송허브,
THJ,THJ,,N,Jinbu Transport hub,진부 수송허브,Jinbu Transport hub,진부 수송허브,
TOC,TOC,,N,Tech Operations Centre,기술운영센터,Main Technology Operations Centre,기술운영센터,
TSD,TSD,,N,Technology Service Desk,정보통신 서비스데스크,Technology Service Desk,정보통신 서비스데스크,
TTC,TTC,,N,Technology Training Ctr,테크놀로지 트레이닝 센터,Technology Training Centre,테크놀로지 트레이닝 센터,
UAC,UAC,,N,Uniform Distribution Ctr,유니폼 배부 및 메인 등록센터,Uniform Distribution and Main Accreditation Center,유니폼 배부 및 메인 등록센터,
WSC,WSC,,N,Wonju Severance Hospital,원주세브란스기독병원,Wonju Severance Christian Hospital,원주세브란스기독병원,
YAL,YAL,,Y,Yongpyong Alpine Centre,용평 알파인 경기장,Yongpyong Alpine Centre,용평 알파인 경기장,YALALP1
YBH,YBH,,N,Yongpyong Birch Hill,용평 버치힐,Yongpyong Birch Hill,용평 버치힐,
YNY,YNY,,N,YangYang Int’l Airport,양양국제공항,YangYang International Airport,양양국제공항,
YRV,YRV,,N,Yeoju Rem Veh Site,여주원거리차량검색시설,Yeoju Remote Vehicle Screening Site,여주원거리차량검색시설,
